names,scores,logfoldchanges,pvals,pvals_adj,cluster,major_type
JCHAIN,113.7991,inf,0.0000,0.0000,0,PC IgA
IGHA1,112.6364,inf,0.0000,0.0000,0,PC IgA
DERL3,104.4386,17.4671,0.0000,0.0000,0,PC IgA
SSR4,104.2851,82.2706,0.0000,0.0000,0,PC IgA
MZB1,104.0088,41.4971,0.0000,0.0000,0,PC IgA
SEC11C,101.0757,18.2870,0.0000,0.0000,0,PC IgA
IGHA2,99.6982,169.0583,0.0000,0.0000,0,PC IgA
SPCS1,98.9216,13.2793,0.0000,0.0000,0,PC IgA
FKBP2,98.6374,13.7132,0.0000,0.0000,0,PC IgA
TNFRSF17,98.6046,8.6496,0.0000,0.0000,0,PC IgA
CD3D,93.2265,6.7785,0.0000,0.0000,1,CD4
CD2,92.2037,5.9090,0.0000,0.0000,1,CD4
TRAC,87.1686,5.3932,0.0000,0.0000,1,CD4
CD3E,84.4154,4.3482,0.0000,0.0000,1,CD4
IL32,84.1630,8.8845,0.0000,0.0000,1,CD4
IL7R,80.8535,8.2717,0.0000,0.0000,1,CD4
S100A4,79.5375,9.5001,0.0000,0.0000,1,CD4
KLRB1,77.1787,7.5296,0.0000,0.0000,1,CD4
PTPRC,76.1287,4.8052,0.0000,0.0000,1,CD4
TRBC2,75.4096,5.2915,0.0000,0.0000,1,CD4
CCL5,103.7205,25.0361,0.0000,0.0000,2,CD8
NKG7,96.7529,11.5863,0.0000,0.0000,2,CD8
GZMA,88.6658,15.7549,0.0000,0.0000,2,CD8
CST7,85.1782,6.1033,0.0000,0.0000,2,CD8
HCST,82.4904,5.3776,0.0000,0.0000,2,CD8
IL32,78.5508,8.0727,0.0000,0.0000,2,CD8
PTPRC,78.4491,5.9371,0.0000,0.0000,2,CD8
CD3D,74.9546,5.7804,0.0000,0.0000,2,CD8
CD3E,72.2428,3.8523,0.0000,0.0000,2,CD8
TMSB4X,70.4374,49.2120,0.0000,0.0000,2,CD8
PLCG2,91.2745,148.7990,0.0000,0.0000,3,Colonocytes
PIGR,81.2048,16.3524,0.0000,0.0000,3,Colonocytes
ELF3,80.0526,8.5500,0.0000,0.0000,3,Colonocytes
KRT8,67.7143,3.7744,0.0000,0.0000,3,Colonocytes
MUC4,66.9188,5.0808,0.0000,0.0000,3,Colonocytes
CLDN4,64.3159,3.6632,0.0000,0.0000,3,Colonocytes
LGALS4,63.2157,3.9873,0.0000,0.0000,3,Colonocytes
KRT18,62.0419,3.5160,0.0000,0.0000,3,Colonocytes
CLDN7,59.3169,2.8879,0.0000,0.0000,3,Colonocytes
PHGR1,58.8221,3.9416,0.0000,0.0000,3,Colonocytes
CD3D,31.9473,1.3913,0.0000,0.0000,4,CD4
PTPRC,29.0573,1.7043,0.0000,0.0000,4,CD4
IL7R,28.9679,1.7954,0.0000,0.0000,4,CD4
CD2,26.4628,1.1765,0.0000,0.0000,4,CD4
TRAC,25.9071,1.3555,0.0000,0.0000,4,CD4
CD3E,24.9957,1.1814,0.0000,0.0000,4,CD4
GIMAP7,24.6343,2.2998,0.0000,0.0000,4,CD4
TRBC2,24.4105,1.3555,0.0000,0.0000,4,CD4
IL32,22.7089,0.6868,0.0000,0.0000,4,CD4
TRBC1,22.2060,1.5192,0.0000,0.0000,4,CD4
IGHG3,87.1778,552.4655,0.0000,0.0000,5,PC IgG
IGHG1,85.7871,inf,0.0000,0.0000,5,PC IgG
IGHG4,81.9512,254.6062,0.0000,0.0000,5,PC IgG
MZB1,73.5925,45.9360,0.0000,0.0000,5,PC IgG
SSR4,70.1394,73.1665,0.0000,0.0000,5,PC IgG
PRDX4,66.5930,12.2635,0.0000,0.0000,5,PC IgG
SEC11C,65.2428,15.2104,0.0000,0.0000,5,PC IgG
XBP1,64.9027,16.2867,0.0000,0.0000,5,PC IgG
IGHG2,64.7996,517.1344,0.0000,0.0000,5,PC IgG
IGKC,64.6626,,0.0000,0.0000,5,PC IgG
CALD1,77.3058,15.8314,0.0000,0.0000,6,S1
COL3A1,75.2307,25.1187,0.0000,0.0000,6,S1
COL1A1,75.0275,18.3734,0.0000,0.0000,6,S1
COL1A2,73.0952,18.5605,0.0000,0.0000,6,S1
C1S,73.0548,15.5303,0.0000,0.0000,6,S1
C1R,70.7384,12.8031,0.0000,0.0000,6,S1
COL6A1,70.4666,12.1879,0.0000,0.0000,6,S1
IFITM3,70.4458,13.0377,0.0000,0.0000,6,S1
A2M,67.7600,13.0953,0.0000,0.0000,6,S1
CXCL14,66.7786,34.0980,0.0000,0.0000,6,S1
FABP1,75.1031,135.6886,0.0000,0.0000,7,Colonocytes
KRT8,71.4171,30.9620,0.0000,0.0000,7,Colonocytes
KRT20,71.0181,16.5181,0.0000,0.0000,7,Colonocytes
IFI27,70.2430,26.2817,0.0000,0.0000,7,Colonocytes
PHGR1,69.7864,95.4426,0.0000,0.0000,7,Colonocytes
TSPAN1,67.6690,14.2100,0.0000,0.0000,7,Colonocytes
CEACAM5,67.1669,16.2289,0.0000,0.0000,7,Colonocytes
CLDN7,66.9804,11.6236,0.0000,0.0000,7,Colonocytes
FXYD3,66.8510,21.5683,0.0000,0.0000,7,Colonocytes
SLC26A3,66.0671,23.7255,0.0000,0.0000,7,Colonocytes
TFF3,78.5882,130.5563,0.0000,0.0000,8,Goblet
MUC2,74.8987,42.1706,0.0000,0.0000,8,Goblet
FCGBP,73.2836,42.0214,0.0000,0.0000,8,Goblet
KRT18,67.0201,13.0289,0.0000,0.0000,8,Goblet
AGR2,62.6371,14.9074,0.0000,0.0000,8,Goblet
KRT8,61.9904,10.6014,0.0000,0.0000,8,Goblet
LGALS4,61.7316,12.5361,0.0000,0.0000,8,Goblet
ZG16,60.9897,111.9790,0.0000,0.0000,8,Goblet
ITLN1,60.6803,19.1335,0.0000,0.0000,8,Goblet
ELF3,58.8259,9.3578,0.0000,0.0000,8,Goblet
MS4A1,73.1164,13.9114,0.0000,0.0000,9,B cell
HLA-DRA,73.1071,37.7091,0.0000,0.0000,9,B cell
CD74,71.5172,26.9340,0.0000,0.0000,9,B cell
HLA-DPB1,71.0564,14.3393,0.0000,0.0000,9,B cell
HLA-DQB1,70.1967,9.7255,0.0000,0.0000,9,B cell
HLA-DPA1,70.1067,14.7281,0.0000,0.0000,9,B cell
HLA-DRB1,69.8910,13.1152,0.0000,0.0000,9,B cell
HLA-DQA1,68.4944,9.3937,0.0000,0.0000,9,B cell
CD37,67.0229,7.6523,0.0000,0.0000,9,B cell
BANK1,60.7401,8.3207,0.0000,0.0000,9,B cell
HLA-DRA,71.0779,60.4332,0.0000,0.0000,10,M0
AIF1,69.4594,16.0321,0.0000,0.0000,10,M0
LYZ,69.1248,42.6543,0.0000,0.0000,10,M0
TYROBP,66.3932,13.4686,0.0000,0.0000,10,M0
HLA-DPB1,66.0661,22.3022,0.0000,0.0000,10,M0
HLA-DPA1,65.4007,23.6683,0.0000,0.0000,10,M0
HLA-DRB1,64.3998,28.1912,0.0000,0.0000,10,M0
FCER1G,60.2453,14.0797,0.0000,0.0000,10,M0
FTL,58.7794,125.0173,0.0000,0.0000,10,M0
CD74,57.6878,31.3466,0.0000,0.0000,10,M0
