cluster,n_cells,med_genes,med_umis,med_mito_pct,pct_HC,pct_UC,pct_CD
0,5723,1435.0,21557.0,2.8,27.9,54.4,17.8
1,5260,1205.0,3609.0,8.3,22.5,37.1,40.4
2,4547,1216.0,3318.0,10.2,36.8,29.2,34.0
3,3814,817.5,1948.0,17.8,52.7,4.9,42.5
4,3036,763.5,2142.5,10.1,20.3,36.0,43.6
5,2955,1393.0,17807.0,2.3,5.9,70.8,23.3
6,2478,1501.0,4067.0,11.7,47.9,24.3,27.8
7,2258,985.0,3427.0,29.4,58.5,10.9,30.7
8,2252,901.5,2962.5,24.8,54.6,6.6,38.8
9,2201,1235.0,4028.0,10.6,16.4,45.7,37.9
10,2167,1289.0,3868.0,8.6,14.2,35.3,50.6
11,1627,1363.0,9654.0,6.6,36.0,34.6,29.4
12,994,489.0,1338.5,18.7,48.0,6.5,45.5
13,874,762.0,2085.5,11.4,46.3,26.2,27.5
14,847,378.0,4260.0,1.0,30.5,21.3,48.3
15,798,1078.0,3004.5,11.5,30.3,33.0,36.7
16,552,320.0,838.5,2.6,0.4,29.9,69.7
17,435,468.0,1053.0,15.1,64.4,6.4,29.2
18,304,1289.5,3231.0,16.5,21.1,41.8,37.2
19,181,983.0,2000.0,14.4,49.2,29.8,21.0
20,85,1719.0,5579.0,20.3,51.8,8.2,40.0
