sample,barcodes_raw,umi_source,umi_prefilt_thr,cells_prefilt,cells_filtered,cells_removed_qc,pct_removed_qc,min_genes,max_genes,min_umis,max_umis,max_mito_pct,min_ribo_pct,max_ribo_pct,min_log10_ratio,remove_doublets,genes_final
GSM6614348_HC-1,737280,X,450,1943,1455,488,25.12,200,2000,450,19800,50.00,0.00,59.50,1.05,True,33538
GSM6614349_HC-2,6794880,X,600,4139,2848,1291,31.19,200,3360,600,50000,50.00,0.00,50.00,0.97,True,33538
GSM6614350_HC-3,6794880,X,600,6028,3082,2946,48.87,200,2300,600,30000,50.00,0.00,50.00,0.95,True,33538
GSM6614351_HC-4,6794880,X,600,4574,2031,2543,55.60,200,2700,600,30000,50.00,0.00,50.00,0.91,True,33538
GSM6614352_HC-5,6794880,X,600,5468,3082,2386,43.64,200,2825,600,28000,50.00,0.00,50.00,0.96,True,33538
GSM6614353_HC-6,6794880,X,600,4104,1604,2500,60.92,200,3000,600,30000,50.00,0.00,50.00,0.78,True,33538
GSM6614354_UC-1,6794880,X,600,1527,1311,216,14.15,200,1625,600,30000,50.00,0.00,50.00,0.90,True,33538
GSM6614355_UC-2,6794880,X,600,3051,2451,600,19.67,200,2200,600,31000,50.00,0.00,50.00,0.94,True,33538
GSM6614356_UC-3,6794880,X,550,2587,2033,554,21.41,200,2308,550,33400,50.00,0.00,50.00,0.91,True,33538
GSM6614357_UC-4,6794880,X,550,3526,2922,604,17.13,200,2900,550,42000,50.00,0.00,50.00,1.08,True,33538
GSM6614358_UC-5,6794880,X,600,3173,2583,590,18.59,200,2925,600,42000,50.00,0.00,50.00,0.93,True,33538
GSM6614359_UC-6,6794880,X,550,4109,2910,1199,29.18,200,3150,550,30000,50.00,0.00,50.00,0.97,True,33538
GSM6614360_CD-1,6794880,X,600,3450,2659,791,22.93,200,3050,600,45700,50.00,0.00,50.00,1.05,True,33538
GSM6614361_CD-2,6794880,X,600,1933,1450,483,24.99,200,2499,600,39900,50.00,0.00,50.00,1.04,True,33538
GSM6614362_CD-3,6794880,X,600,5048,3081,1967,38.97,200,3563,600,30600,50.00,0.00,50.00,0.95,True,33538
GSM6614363_CD-4,6794880,X,600,6866,2226,4640,67.58,200,2474,600,20800,50.00,0.00,50.00,0.60,True,33538
GSM6614364_CD-5,6794880,X,600,1780,1227,553,31.07,200,3650,600,28250,50.00,0.00,50.00,1.05,True,33538
GSM6614365_CD-6,6794880,X,600,8216,4433,3783,46.04,200,2956,600,23500,50.00,0.00,50.00,0.94,True,33538
