sample_id,n_cells,med_genes,med_umis,med_mito_pct,condition
GSM6614348_HC-1,1455,1000.0,3182.0,3.8,HC
GSM6614349_HC-2,2848,1429.0,4784.0,9.0,HC
GSM6614350_HC-3,3082,990.0,3143.5,15.0,HC
GSM6614351_HC-4,2031,966.0,3024.0,18.9,HC
GSM6614352_HC-5,3082,1104.0,3562.0,13.4,HC
GSM6614353_HC-6,1604,1071.0,3598.0,16.2,HC
GSM6614354_UC-1,1311,857.0,2949.0,1.8,UC
GSM6614355_UC-2,2451,1119.0,7143.0,4.5,UC
GSM6614356_UC-3,2033,1096.0,5318.0,6.8,UC
GSM6614357_UC-4,2922,1280.5,4278.0,7.9,UC
GSM6614358_UC-5,2583,1590.0,9897.0,3.6,UC
GSM6614359_UC-6,2910,1068.0,3890.0,8.8,UC
GSM6614360_CD-1,2659,1541.0,4676.0,10.1,CD
GSM6614361_CD-2,1450,1250.0,3748.5,8.6,CD
GSM6614362_CD-3,3081,1178.0,3485.0,7.2,CD
GSM6614363_CD-4,2226,955.0,2790.0,12.0,CD
GSM6614364_CD-5,1227,1104.0,3414.0,4.3,CD
GSM6614365_CD-6,4433,988.0,2695.0,8.7,CD
