cluster,n_cells,med_genes,med_umis,med_mito_pct,pct_HC,pct_UC,pct_CD
0,4865,1207.0,3303.0,10.3,36.3,29.7,34.0
1,4673,774.0,1849.0,18.0,51.5,5.2,43.3
2,4436,1248.5,3715.0,8.3,23.3,35.8,40.9
3,4162,1513.0,17976.5,3.4,30.3,45.5,24.1
4,3675,1284.0,20055.0,2.5,27.7,50.6,21.6
5,3451,920.0,2739.0,9.5,19.8,39.2,41.0
6,2939,1394.0,17686.0,2.3,5.6,70.8,23.6
7,2478,1501.0,4067.0,11.7,47.9,24.3,27.8
8,2421,963.0,3353.0,29.7,58.5,10.5,31.1
9,2226,1240.5,4047.5,10.6,16.2,45.7,38.1
10,2187,864.0,2828.0,24.2,54.6,6.5,38.9
11,2132,1279.5,3824.0,8.7,14.1,35.4,50.5
12,874,762.0,2085.5,11.4,46.3,26.2,27.5
13,663,567.0,1722.0,24.4,42.7,26.5,30.8
14,554,320.0,840.0,2.6,0.4,30.3,69.3
15,505,370.0,919.0,11.9,19.2,25.1,55.6
16,435,468.0,1053.0,15.1,64.4,6.4,29.2
17,304,1289.5,3231.0,16.5,21.1,41.8,37.2
18,182,988.5,2002.5,14.4,49.5,29.7,20.9
19,115,2108.0,20795.0,4.7,29.6,46.1,24.3
20,111,1669.0,5364.0,20.3,51.4,10.8,37.8
