cluster,n_cells,top_sample,top_sample_prop,fold_enrichment,n_samples_present,flag_sample_dominance
0,4865,GSM6614350_HC-3,0.123,1.74,18,False
1,4673,GSM6614365_CD-6,0.211,2.07,18,False
2,4436,GSM6614357_UC-4,0.111,1.65,18,False
3,4162,GSM6614355_UC-2,0.142,2.51,18,False
4,3675,GSM6614355_UC-2,0.138,2.44,18,False
5,3451,GSM6614357_UC-4,0.131,1.94,18,False
6,2939,GSM6614358_UC-5,0.217,3.64,18,False
7,2478,GSM6614352_HC-5,0.174,2.45,18,False
8,2421,GSM6614365_CD-6,0.146,1.43,18,False
9,2226,GSM6614357_UC-4,0.29,4.3,18,False
10,2187,GSM6614365_CD-6,0.169,1.65,18,False
11,2132,GSM6614362_CD-3,0.161,2.27,18,False
12,874,GSM6614352_HC-5,0.134,1.88,18,False
13,663,GSM6614349_HC-2,0.133,2.02,18,False
14,554,GSM6614364_CD-5,0.468,16.53,12,True
15,505,GSM6614363_CD-4,0.257,5.02,18,False
16,435,GSM6614350_HC-3,0.241,3.4,17,False
17,304,GSM6614356_UC-3,0.122,2.6,18,False
18,182,GSM6614352_HC-5,0.192,2.71,18,False
19,115,GSM6614359_UC-6,0.357,5.32,15,True
20,111,GSM6614350_HC-3,0.27,3.8,15,False
