names,scores,logfoldchanges,pvals,pvals_adj,cluster,major_type
CCL5,105.2941,7.0411,0.0000,0.0000,0,CD8
NKG7,96.7990,7.0556,0.0000,0.0000,0,CD8
GZMA,87.9567,6.6107,0.0000,0.0000,0,CD8
HCST,87.1183,3.8852,0.0000,0.0000,0,CD8
CST7,85.0803,4.7973,0.0000,0.0000,0,CD8
PTPRC,82.8391,3.3663,0.0000,0.0000,0,CD8
TMSB4X,82.0953,2.8412,0.0000,0.0000,0,CD8
IL32,81.7542,3.6771,0.0000,0.0000,0,CD8
B2M,78.3614,1.7507,0.0000,0.0000,0,CD8
CD3D,76.8536,3.6868,0.0000,0.0000,0,CD8
PIGR,91.5717,5.7546,0.0000,0.0000,1,Ambiguous (sin identidad clara)
PLCG2,82.6296,6.2635,0.0000,0.0000,1,Ambiguous (sin identidad clara)
ELF3,80.2988,4.8502,0.0000,0.0000,1,Ambiguous (sin identidad clara)
KRT8,74.5664,4.0631,0.0000,0.0000,1,Ambiguous (sin identidad clara)
LGALS4,73.7593,4.1448,0.0000,0.0000,1,Ambiguous (sin identidad clara)
KRT18,71.2020,3.8540,0.0000,0.0000,1,Ambiguous (sin identidad clara)
MTRNR2L12,70.7733,2.6422,0.0000,0.0000,1,Ambiguous (sin identidad clara)
MTRNR2L8,69.9300,2.8262,0.0000,0.0000,1,Ambiguous (sin identidad clara)
PHGR1,68.0649,4.0671,0.0000,0.0000,1,Ambiguous (sin identidad clara)
CLDN4,64.9504,3.8231,0.0000,0.0000,1,Ambiguous (sin identidad clara)
CD2,85.3898,4.1489,0.0000,0.0000,2,CD4
CD3D,84.9114,4.1051,0.0000,0.0000,2,CD4
TRAC,79.9589,3.8193,0.0000,0.0000,2,CD4
S100A4,79.6855,3.6409,0.0000,0.0000,2,CD4
IL32,78.1203,3.6396,0.0000,0.0000,2,CD4
CD3E,78.0528,3.6019,0.0000,0.0000,2,CD4
RPLP1,77.1295,1.7791,0.0000,0.0000,2,CD4
IL7R,76.0904,4.2906,0.0000,0.0000,2,CD4
KLRB1,74.9676,4.6553,0.0000,0.0000,2,CD4
TPT1,74.3456,1.6087,0.0000,0.0000,2,CD4
JCHAIN,96.0336,7.1933,0.0000,0.0000,3,PC IgA
IGHA1,91.5680,6.8250,0.0000,0.0000,3,PC IgA
DERL3,89.1181,4.1221,0.0000,0.0000,3,PC IgA
SSR4,89.0454,3.4495,0.0000,0.0000,3,PC IgA
MZB1,87.7727,4.4632,0.0000,0.0000,3,PC IgA
TNFRSF17,82.6287,3.7485,0.0000,0.0000,3,PC IgA
SEC11C,81.2539,3.1349,0.0000,0.0000,3,PC IgA
IGHA2,78.5045,4.9095,0.0000,0.0000,3,PC IgA
FKBP11,74.0052,2.9316,0.0000,0.0000,3,PC IgA
SSR3,71.9772,2.4971,0.0000,0.0000,3,PC IgA
JCHAIN,85.2064,6.7143,0.0000,0.0000,4,PC IgA
IGHA1,83.1998,6.4879,0.0000,0.0000,4,PC IgA
IGKC,79.5972,7.0757,0.0000,0.0000,4,PC IgA
SSR4,75.2279,3.0475,0.0000,0.0000,4,PC IgA
MZB1,73.6977,3.7966,0.0000,0.0000,4,PC IgA
DERL3,72.1432,3.2455,0.0000,0.0000,4,PC IgA
IGHA2,70.1484,4.6339,0.0000,0.0000,4,PC IgA
TNFRSF17,67.7598,3.0639,0.0000,0.0000,4,PC IgA
SEC11C,65.6280,2.6017,0.0000,0.0000,4,PC IgA
FKBP11,56.6720,2.2368,0.0000,0.0000,4,PC IgA
PTPRC,54.9015,2.6463,0.0000,0.0000,5,CD4
CD3D,53.0704,2.8568,0.0000,0.0000,5,CD4
RPL30,52.7395,1.4482,0.0000,0.0000,5,CD4
RPS27A,51.7532,1.4576,0.0000,0.0000,5,CD4
RPS3A,51.6274,1.4592,0.0000,0.0000,5,CD4
RPS15A,51.4239,1.4391,0.0000,0.0000,5,CD4
RPS27,51.2914,1.4538,0.0000,0.0000,5,CD4
RPL32,51.1091,1.3516,0.0000,0.0000,5,CD4
RPS3,50.6746,1.4083,0.0000,0.0000,5,CD4
EEF1A1,49.6325,1.3266,0.0000,0.0000,5,CD4
IGHG3,86.7437,9.0569,0.0000,0.0000,6,PC IgG
IGHG1,85.3258,9.7241,0.0000,0.0000,6,PC IgG
IGHG4,81.0783,7.6722,0.0000,0.0000,6,PC IgG
MZB1,74.5171,4.3982,0.0000,0.0000,6,PC IgG
SSR4,70.9555,3.2064,0.0000,0.0000,6,PC IgG
PRDX4,65.7358,3.2262,0.0000,0.0000,6,PC IgG
IGHG2,63.4669,6.6110,0.0000,0.0000,6,PC IgG
SEC11C,61.4214,2.7439,0.0000,0.0000,6,PC IgG
DERL3,60.6427,2.9057,0.0000,0.0000,6,PC IgG
FKBP11,58.4955,2.6789,0.0000,0.0000,6,PC IgG
CALD1,77.2923,9.2099,0.0000,0.0000,7,Fibroblast (subtipo indeterminado)
COL3A1,75.2253,10.5763,0.0000,0.0000,7,Fibroblast (subtipo indeterminado)
COL1A1,75.0073,8.9435,0.0000,0.0000,7,Fibroblast (subtipo indeterminado)
COL1A2,73.0512,9.8141,0.0000,0.0000,7,Fibroblast (subtipo indeterminado)
C1S,73.0369,9.9256,0.0000,0.0000,7,Fibroblast (subtipo indeterminado)
