gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.11758,0.63354,2.3748,0.26677,0.78964,0.99992,B cell,CD_vs_HC
AL669831.2,0.020517,0.04707,4.3159,0.010906,0.9913,0.99992,B cell,CD_vs_HC
AL669831.5,2.3798,0.81793,0.82572,0.99057,0.3219,0.99992,B cell,CD_vs_HC
LINC00115,1.0743,-1.1132,1.1176,-0.99601,0.31925,0.99992,B cell,CD_vs_HC
FAM41C,1.6211,-1.2974,1.1117,-1.167,0.2432,0.99992,B cell,CD_vs_HC
AL645608.3,0.076216,-0.54083,2.9785,-0.18157,0.85592,0.99992,B cell,CD_vs_HC
SAMD11,0.042105,0.19471,3.092,0.062972,0.94979,0.99992,B cell,CD_vs_HC
NOC2L,14.297,-0.26898,0.37815,-0.71131,0.47689,0.99992,B cell,CD_vs_HC
KLHL17,0.19603,1.2516,2.1626,0.57875,0.56276,0.99992,B cell,CD_vs_HC
PLEKHN1,0.14226,0.77247,2.4724,0.31244,0.7547,0.99992,B cell,CD_vs_HC
AL645608.8,0.020703,-0.37922,4.3568,-0.087042,0.93064,0.99992,B cell,CD_vs_HC
HES4,1.3968,0.65349,2.6402,0.24751,0.80451,0.99992,B cell,CD_vs_HC
ISG15,30.418,0.097389,0.5805,0.16777,0.86677,0.99992,B cell,CD_vs_HC
AGRN,0.6063,0.85742,1.7146,0.50007,0.61703,0.99992,B cell,CD_vs_HC
C1orf159,0.51242,-0.95779,1.4005,-0.68391,0.49403,0.99992,B cell,CD_vs_HC
LINC01342,0.0113,0.14498,4.2857,0.03383,0.97301,0.99992,B cell,CD_vs_HC
AL390719.2,0.020517,0.04707,4.3159,0.010906,0.9913,0.99992,B cell,CD_vs_HC
TTLL10-AS1,0.12956,0.30573,4.2918,0.071236,0.94321,0.99992,B cell,CD_vs_HC
TTLL10,0.21154,0.76129,2.6174,0.29085,0.77116,0.99992,B cell,CD_vs_HC
TNFRSF18,1.5509,3.5312,1.6832,2.0979,0.035913,0.99992,B cell,CD_vs_HC
TNFRSF4,1.7224,4.4991,2.3174,1.9414,0.052208,0.99992,B cell,CD_vs_HC
SDF4,4.5272,1.2815,0.88083,1.4549,0.1457,0.99992,B cell,CD_vs_HC
B3GALT6,0.71431,0.38314,1.1001,0.34828,0.72763,0.99992,B cell,CD_vs_HC
C1QTNF12,0.073922,0.8032,2.1012,0.38226,0.70227,0.99992,B cell,CD_vs_HC
AL162741.1,0.0113,0.14498,4.2857,0.03383,0.97301,0.99992,B cell,CD_vs_HC
UBE2J2,7.0443,0.14739,0.97875,0.15059,0.8803,0.99992,B cell,CD_vs_HC
LINC01786,0.0113,0.14498,4.2857,0.03383,0.97301,0.99992,B cell,CD_vs_HC
SCNN1D,0.0113,0.14498,4.2857,0.03383,0.97301,0.99992,B cell,CD_vs_HC
ACAP3,1.2754,0.73231,0.87975,0.83241,0.40518,0.99992,B cell,CD_vs_HC
PUSL1,1.9611,0.88042,0.88201,0.9982,0.31818,0.99992,B cell,CD_vs_HC
INTS11,7.9485,0.19666,0.52663,0.37342,0.70883,0.99992,B cell,CD_vs_HC
CPTP,1.3689,0.73069,0.93919,0.778,0.43657,0.99992,B cell,CD_vs_HC
TAS1R3,0.37821,-1.5299,1.4334,-1.0673,0.28585,0.99992,B cell,CD_vs_HC
