gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.11758,0.26688,2.0113,0.13269,0.89444,0.99809,B cell,UC_vs_CD
AL669831.2,0.020517,0.83167,3.9016,0.21316,0.8312,0.99809,B cell,UC_vs_CD
AL669831.5,2.3798,-1.0637,0.78382,-1.3571,0.17474,0.99809,B cell,UC_vs_CD
LINC00115,1.0743,-0.28798,1.1469,-0.25109,0.80174,0.99809,B cell,UC_vs_CD
FAM41C,1.6211,1.465,1.0616,1.38,0.1676,0.99809,B cell,UC_vs_CD
AL645608.3,0.076216,0.58787,2.8362,0.20727,0.8358,0.99809,B cell,UC_vs_CD
SAMD11,0.042105,0.65132,2.7417,0.23756,0.81222,0.99809,B cell,UC_vs_CD
NOC2L,14.297,-0.10971,0.36365,-0.30168,0.7629,0.99809,B cell,UC_vs_CD
KLHL17,0.19603,-0.064346,1.6521,-0.038947,0.96893,0.99809,B cell,UC_vs_CD
PLEKHN1,0.14226,0.48507,2.0425,0.23748,0.81228,0.99809,B cell,UC_vs_CD
AL645608.8,0.020703,1.6328,3.8842,0.42038,0.67421,0.99809,B cell,UC_vs_CD
HES4,1.3968,1.7105,2.2119,0.77331,0.43934,0.99809,B cell,UC_vs_CD
ISG15,30.418,0.3928,0.52978,0.74144,0.45843,0.99809,B cell,UC_vs_CD
AGRN,0.6063,0.17742,1.3841,0.12818,0.89801,0.99809,B cell,UC_vs_CD
C1orf159,0.51242,-0.53743,1.5387,-0.34927,0.72689,0.99809,B cell,UC_vs_CD
LINC01342,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
AL390719.2,0.020517,0.83167,3.9016,0.21316,0.8312,0.99809,B cell,UC_vs_CD
TTLL10-AS1,0.12956,0.5962,3.8699,0.15406,0.87756,0.99809,B cell,UC_vs_CD
TTLL10,0.21154,0.61436,2.1989,0.27939,0.77994,0.99809,B cell,UC_vs_CD
TNFRSF18,1.5509,-2.6609,1.3409,-1.9844,0.047208,0.99809,B cell,UC_vs_CD
TNFRSF4,1.7224,-3.1623,1.823,-1.7347,0.082797,0.99809,B cell,UC_vs_CD
SDF4,4.5272,-0.78777,0.80441,-0.97932,0.32742,0.99809,B cell,UC_vs_CD
B3GALT6,0.71431,-0.85503,1.0025,-0.85292,0.39371,0.99809,B cell,UC_vs_CD
C1QTNF12,0.073922,-0.10827,1.6737,-0.064694,0.94842,0.99809,B cell,UC_vs_CD
AL162741.1,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
UBE2J2,7.0443,-0.0039536,0.90702,-0.0043589,0.99652,0.99927,B cell,UC_vs_CD
LINC01786,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
SCNN1D,0.0113,0.62131,3.8822,0.16004,0.87285,0.99809,B cell,UC_vs_CD
