gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.11758,0.90042,2.5947,0.34703,0.72857,0.9997,B cell,UC_vs_HC
AL669831.2,0.020517,0.87873,4.4894,0.19573,0.84482,0.9997,B cell,UC_vs_HC
AL669831.5,2.3798,-0.24581,0.95462,-0.2575,0.7968,0.9997,B cell,UC_vs_HC
LINC00115,1.0743,-1.4011,1.2637,-1.1088,0.26752,0.9997,B cell,UC_vs_HC
FAM41C,1.6211,0.16766,1.1274,0.14872,0.88178,0.9997,B cell,UC_vs_HC
AL645608.3,0.076216,0.047037,3.175,0.014815,0.98818,0.9997,B cell,UC_vs_HC
SAMD11,0.042105,0.84604,3.2631,0.25928,0.79542,0.9997,B cell,UC_vs_HC
NOC2L,14.297,-0.37868,0.41545,-0.9115,0.36203,0.9997,B cell,UC_vs_HC
KLHL17,0.19603,1.1873,2.3489,0.50546,0.61324,0.9997,B cell,UC_vs_HC
PLEKHN1,0.14226,1.2575,2.644,0.47562,0.63435,0.9997,B cell,UC_vs_HC
AL645608.8,0.020703,1.2536,4.4082,0.28438,0.77612,0.9997,B cell,UC_vs_HC
HES4,1.3968,2.364,2.6894,0.87899,0.37941,0.9997,B cell,UC_vs_HC
ISG15,30.418,0.49019,0.60078,0.81592,0.41454,0.9997,B cell,UC_vs_HC
AGRN,0.6063,1.0348,1.8775,0.55119,0.5815,0.9997,B cell,UC_vs_HC
C1orf159,0.51242,-1.4952,1.6736,-0.89339,0.37165,0.9997,B cell,UC_vs_HC
LINC01342,0.0113,0.76629,4.4748,0.17125,0.86403,0.9997,B cell,UC_vs_HC
AL390719.2,0.020517,0.87873,4.4894,0.19573,0.84482,0.9997,B cell,UC_vs_HC
TTLL10-AS1,0.12956,0.90194,4.4917,0.2008,0.84085,0.9997,B cell,UC_vs_HC
TTLL10,0.21154,1.3756,2.7849,0.49397,0.62133,0.9997,B cell,UC_vs_HC
TNFRSF18,1.5509,0.87025,1.9368,0.44933,0.6532,0.9997,B cell,UC_vs_HC
TNFRSF4,1.7224,1.3369,2.5794,0.51829,0.60425,0.9997,B cell,UC_vs_HC
