gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.11308,0.48897,2.6095,0.18738,0.85136,,CD4,CD_vs_HC
AL627309.3,0.015009,-0.76751,3.998,-0.19197,0.84776,,CD4,CD_vs_HC
AL627309.4,0.031277,-1.2422,4.0654,-0.30556,0.75994,,CD4,CD_vs_HC
AL669831.5,7.8741,1.2813,0.52772,2.428,0.015182,0.17323,CD4,CD_vs_HC
FAM87B,0.067782,-1.7752,3.992,-0.44468,0.65655,,CD4,CD_vs_HC
LINC00115,6.8071,-0.65403,0.46767,-1.3985,0.16196,0.5116,CD4,CD_vs_HC
FAM41C,3.3809,-0.89022,0.72821,-1.2225,0.22153,,CD4,CD_vs_HC
AL645608.3,0.17892,0.81793,2.4737,0.33064,0.74091,,CD4,CD_vs_HC
SAMD11,0.36232,0.33602,1.621,0.2073,0.83578,,CD4,CD_vs_HC
NOC2L,47.541,-0.62746,0.19132,-3.2796,0.0010397,0.040499,CD4,CD_vs_HC
KLHL17,1.2769,1.3069,0.95208,1.3727,0.16985,,CD4,CD_vs_HC
PLEKHN1,3.0027,-1.1269,0.62095,-1.8148,0.069562,,CD4,CD_vs_HC
AL645608.8,2.8289,1.3354,0.86834,1.5379,0.12408,,CD4,CD_vs_HC
HES4,10.303,0.56024,1.9379,0.2891,0.77251,0.92367,CD4,CD_vs_HC
ISG15,284.18,-0.37254,0.37152,-1.0027,0.31598,0.67393,CD4,CD_vs_HC
AL645608.2,0.061294,-0.52572,3.9767,-0.1322,0.89483,,CD4,CD_vs_HC
AGRN,0.82178,0.5435,1.1745,0.46277,0.64353,,CD4,CD_vs_HC
AL645608.9,0.069132,-0.20499,3.9405,-0.052021,0.95851,,CD4,CD_vs_HC
RNF223,0.0433,-1.6914,4.0021,-0.42262,0.67257,,CD4,CD_vs_HC
C1orf159,2.4785,-0.0034282,0.88158,-0.0038887,0.9969,,CD4,CD_vs_HC
AL390719.2,0.072244,-1.2034,3.9377,-0.3056,0.75991,,CD4,CD_vs_HC
