gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.11308,-0.48041,2.905,-0.16537,0.86865,,CD4,UC_vs_HC
AL627309.3,0.015009,-0.48265,4.1494,-0.11632,0.9074,,CD4,UC_vs_HC
AL627309.4,0.031277,0.089242,4.0661,0.021948,0.98249,,CD4,UC_vs_HC
AL669831.5,7.8741,0.67386,0.56603,1.1905,0.23385,0.63878,CD4,UC_vs_HC
FAM87B,0.067782,-0.91668,4.0754,-0.22493,0.82203,,CD4,UC_vs_HC
LINC00115,6.8071,-1.0296,0.51586,-1.9959,0.045947,0.31407,CD4,UC_vs_HC
FAM41C,3.3809,0.077407,0.73555,0.10524,0.91619,0.97762,CD4,UC_vs_HC
AL645608.3,0.17892,-0.043308,2.7139,-0.015957,0.98727,,CD4,UC_vs_HC
SAMD11,0.36232,0.26469,1.7353,0.15253,0.87877,,CD4,UC_vs_HC
NOC2L,47.541,-0.55362,0.20203,-2.7403,0.0061378,0.10101,CD4,UC_vs_HC
KLHL17,1.2769,0.14267,1.1002,0.12967,0.89682,,CD4,UC_vs_HC
PLEKHN1,3.0027,-1.1211,0.67813,-1.6532,0.098293,0.45015,CD4,UC_vs_HC
AL645608.8,2.8289,1.431,0.89963,1.5906,0.11169,0.47583,CD4,UC_vs_HC
HES4,10.303,2.1133,1.9682,1.0737,0.28296,0.69344,CD4,UC_vs_HC
ISG15,284.18,-0.11909,0.37625,-0.31652,0.75161,0.93762,CD4,UC_vs_HC
AL645608.2,0.061294,0.0054325,4.0659,0.0013361,0.99893,,CD4,UC_vs_HC
AGRN,0.82178,-0.60942,1.3411,-0.45441,0.64953,,CD4,UC_vs_HC
AL645608.9,0.069132,-0.46998,4.1499,-0.11325,0.90983,,CD4,UC_vs_HC
RNF223,0.0433,-0.83958,4.0863,-0.20546,0.83721,,CD4,UC_vs_HC
C1orf159,2.4785,-0.43935,0.95515,-0.45997,0.64553,0.90097,CD4,UC_vs_HC
AL390719.2,0.072244,-0.79457,4.0879,-0.19437,0.84588,,CD4,UC_vs_HC
TTLL10-AS1,0.0433,-0.83958,4.0863,-0.20546,0.83721,,CD4,UC_vs_HC
TTLL10,1.2527,-2.7909,1.2754,-2.1882,0.028652,,CD4,UC_vs_HC
TNFRSF18,132.78,1.9847,0.78157,2.5394,0.011104,0.145,CD4,UC_vs_HC
TNFRSF4,239.11,2.2687,0.83237,2.7256,0.0064184,0.104,CD4,UC_vs_HC
SDF4,41.656,0.44591,0.52748,0.84536,0.39791,0.77834,CD4,UC_vs_HC
B3GALT6,7.4925,1.2299,0.69916,1.759,0.078571,0.40502,CD4,UC_vs_HC
C1QTNF12,0.17285,-0.25383,2.5925,-0.09791,0.922,,CD4,UC_vs_HC
AL162741.1,0.65586,1.356,3.8679,0.35057,0.72591,,CD4,UC_vs_HC
UBE2J2,21.639,0.070861,0.57315,0.12363,0.90161,0.97436,CD4,UC_vs_HC
LINC01786,0.077977,0.12752,4.0924,0.03116,0.97514,,CD4,UC_vs_HC
SCNN1D,0.84056,-1.4054,1.0538,-1.3336,0.18234,,CD4,UC_vs_HC
ACAP3,7.2373,-0.53924,0.67976,-0.79328,0.42761,0.79591,CD4,UC_vs_HC
PUSL1,9.2973,-0.033467,0.68102,-0.049142,0.96081,0.9894,CD4,UC_vs_HC
INTS11,35.457,-0.17434,0.28561,-0.61039,0.5416,0.85994,CD4,UC_vs_HC
CPTP,5.488,-0.36414,0.6532,-0.55747,0.57721,0.87207,CD4,UC_vs_HC
TAS1R3,0.062011,-0.21339,4.0961,-0.052096,0.95845,,CD4,UC_vs_HC
DVL1,3.9366,-0.9933,0.63425,-1.5661,0.11732,0.48635,CD4,UC_vs_HC
MXRA8,0.22697,0.8943,2.589,0.34542,0.72978,,CD4,UC_vs_HC
AURKAIP1,97.151,0.74218,0.60161,1.2337,0.21733,0.62282,CD4,UC_vs_HC
CCNL2,35.068,-0.14075,0.2904,-0.48467,0.62791,0.89543,CD4,UC_vs_HC
MRPL20,139.42,0.24695,0.2034,1.2141,0.22472,0.63022,CD4,UC_vs_HC
AL391244.3,0.98401,0.56465,1.3435,0.42027,0.67429,,CD4,UC_vs_HC
VWA1,0.028959,-0.48398,4.1492,-0.11664,0.90714,,CD4,UC_vs_HC
ATAD3C,2.5431,-0.87607,0.73074,-1.1989,0.23057,0.63742,CD4,UC_vs_HC
ATAD3B,7.6491,-0.61848,0.52801,-1.1713,0.24146,0.64706,CD4,UC_vs_HC
ATAD3A,5.2046,-0.535,0.6802,-0.78653,0.43156,0.79912,CD4,UC_vs_HC
TMEM240,0.12614,0.65875,3.9975,0.16479,0.86911,,CD4,UC_vs_HC
