gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.17054,-0.0069694,2.1207,-0.0032863,0.99738,,CD8,UC_vs_CD
AL669831.5,5.0409,-1.6054,0.55051,-2.9163,0.0035424,,CD8,UC_vs_CD
FAM87B,0.015566,0.27993,4.0583,0.068976,0.94501,,CD8,UC_vs_CD
LINC00115,4.0206,0.64537,0.57736,1.1178,0.26366,,CD8,UC_vs_CD
FAM41C,2.6536,0.77461,0.80971,0.95665,0.33874,,CD8,UC_vs_CD
AL645608.3,0.11131,1.3384,4.043,0.33104,0.74061,,CD8,UC_vs_CD
AL645608.1,0.05528,0.2887,4.0491,0.0713,0.94316,,CD8,UC_vs_CD
SAMD11,0.031132,-0.045968,4.0305,-0.011405,0.9909,,CD8,UC_vs_CD
NOC2L,30.736,0.26366,0.22009,1.198,0.23093,,CD8,UC_vs_CD
KLHL17,1.1615,0.0266,1.0355,0.025688,0.97951,,CD8,UC_vs_CD
PLEKHN1,2.4039,0.19247,0.89995,0.21386,0.83065,,CD8,UC_vs_CD
PERM1,0.18953,0.81557,2.5633,0.31817,0.75035,,CD8,UC_vs_CD
AL645608.8,1.3479,-1.6614,1.0037,-1.6553,0.097865,,CD8,UC_vs_CD
HES4,4.2126,1.9163,1.2242,1.5654,0.11749,,CD8,UC_vs_CD
ISG15,266.94,0.37804,0.40118,0.94232,0.34603,0.62998,CD8,UC_vs_CD
AL645608.2,0.073409,1.5727,4.0036,0.39281,0.69446,,CD8,UC_vs_CD
AGRN,1.4376,-1.3311,0.92469,-1.4396,0.14999,,CD8,UC_vs_CD
AL645608.9,0.20853,0.31004,2.3922,0.1296,0.89688,,CD8,UC_vs_CD
C1orf159,2.0364,-0.9377,0.79809,-1.1749,0.24003,,CD8,UC_vs_CD
AL390719.2,0.1819,0.50203,2.9981,0.16745,0.86702,,CD8,UC_vs_CD
TTLL10-AS1,0.061355,0.83268,4.1115,0.20253,0.83951,,CD8,UC_vs_CD
TTLL10,0.96919,-1.0854,1.4406,-0.75339,0.45121,,CD8,UC_vs_CD
TNFRSF18,69.375,-1.5236,0.94997,-1.6039,0.10875,0.34613,CD8,UC_vs_CD
TNFRSF4,16.272,-0.5707,0.73908,-0.77218,0.44001,,CD8,UC_vs_CD
SDF4,19.944,-0.77454,0.52397,-1.4782,0.13935,,CD8,UC_vs_CD
B3GALT6,4.0832,-0.23702,0.64632,-0.36672,0.71383,,CD8,UC_vs_CD
C1QTNF12,0.33703,1.0359,1.8038,0.57429,0.56577,,CD8,UC_vs_CD
AL162741.1,0.18615,1.1919,2.4129,0.49398,0.62132,,CD8,UC_vs_CD
UBE2J2,14.449,-0.30658,0.50478,-0.60735,0.54362,,CD8,UC_vs_CD
LINC01786,0.067065,0.046508,4.0495,0.011485,0.99084,,CD8,UC_vs_CD
SCNN1D,0.61238,-0.89222,1.418,-0.62921,0.52921,,CD8,UC_vs_CD
ACAP3,3.3805,-1.3082,0.84932,-1.5403,0.12349,,CD8,UC_vs_CD
PUSL1,7.0826,-0.92874,0.61123,-1.5195,0.12865,,CD8,UC_vs_CD
INTS11,23.086,0.23138,0.2568,0.90103,0.36757,,CD8,UC_vs_CD
CPTP,4.4864,-0.527,0.61793,-0.85284,0.39375,,CD8,UC_vs_CD
TAS1R3,0.24345,-0.33805,2.4168,-0.13987,0.88876,,CD8,UC_vs_CD
DVL1,1.7676,-1.4454,0.83848,-1.7238,0.084742,,CD8,UC_vs_CD
MXRA8,0.14244,0.48805,3.9355,0.12401,0.90131,,CD8,UC_vs_CD
AURKAIP1,68.996,-0.85306,0.61456,-1.3881,0.16511,0.437,CD8,UC_vs_CD
CCNL2,24.811,-0.46417,0.33098,-1.4024,0.16079,,CD8,UC_vs_CD
MRPL20,104.16,0.18665,0.16575,1.1261,0.26013,0.54636,CD8,UC_vs_CD
AL391244.3,0.63636,-1.238,1.3498,-0.91723,0.35902,,CD8,UC_vs_CD
VWA1,0.024554,1.1823,4.0515,0.29181,0.77044,,CD8,UC_vs_CD
ATAD3C,1.0977,-0.52972,1.0255,-0.51653,0.60548,,CD8,UC_vs_CD
ATAD3B,5.7494,-0.083369,0.46189,-0.1805,0.85676,,CD8,UC_vs_CD
ATAD3A,3.7585,-0.30161,0.59709,-0.50513,0.61347,,CD8,UC_vs_CD
SSU72,60.572,0.20985,0.24281,0.86426,0.38744,0.66401,CD8,UC_vs_CD
AL645728.1,4.3166,0.41356,0.54358,0.76081,0.44677,,CD8,UC_vs_CD
FNDC10,0.26265,1.2864,2.1303,0.60387,0.54593,,CD8,UC_vs_CD
AL691432.2,1.601,-0.83666,0.97137,-0.86132,0.38906,,CD8,UC_vs_CD
MIB2,14.746,-0.14718,0.87669,-0.16788,0.86668,,CD8,UC_vs_CD
MMP23B,1.8875,-1.4295,1.3439,-1.0637,0.28746,,CD8,UC_vs_CD
CDK11B,33.375,0.030748,0.27864,0.11035,0.91213,,CD8,UC_vs_CD
FO704657.1,0.4937,1.7582,1.7018,1.0331,0.30154,,CD8,UC_vs_CD
SLC35E2B,10.72,-0.6632,0.42668,-1.5543,0.1201,,CD8,UC_vs_CD
CDK11A,37.738,-0.037766,0.22878,-0.16508,0.86888,,CD8,UC_vs_CD
SLC35E2A,5.3068,-0.19269,0.52711,-0.36556,0.71469,,CD8,UC_vs_CD
NADK,6.6525,-0.28487,0.42699,-0.66716,0.50467,,CD8,UC_vs_CD
GNB1,59.229,-0.21192,0.19085,-1.1104,0.26682,0.55105,CD8,UC_vs_CD
