gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.081429,0.86193,1.6387,0.52599,0.5989,,Colonocytes,CD_vs_HC
AL669831.5,0.89372,1.4032,0.79302,1.7694,0.076827,,Colonocytes,CD_vs_HC
FAM87B,0.019038,0.48262,3.9296,0.12281,0.90225,,Colonocytes,CD_vs_HC
LINC00115,1.0355,-1.5298,0.89901,-1.7016,0.088831,,Colonocytes,CD_vs_HC
FAM41C,0.10902,-1.0708,2.0057,-0.53389,0.59342,,Colonocytes,CD_vs_HC
AL645608.3,0.029804,0.48262,3.9296,0.12281,0.90225,,Colonocytes,CD_vs_HC
NOC2L,3.6579,-0.063459,0.49859,-0.12728,0.89872,0.96332,Colonocytes,CD_vs_HC
KLHL17,1.2929,1.3043,1.1938,1.0925,0.2746,,Colonocytes,CD_vs_HC
PLEKHN1,1.7858,1.3093,1.1211,1.1679,0.24284,0.56432,Colonocytes,CD_vs_HC
PERM1,0.054373,1.584,3.9063,0.40549,0.68511,,Colonocytes,CD_vs_HC
AL645608.8,0.78026,1.5248,1.0336,1.4752,0.14017,,Colonocytes,CD_vs_HC
HES4,1.766,-1.779,1.4711,-1.2093,0.22654,0.5447,Colonocytes,CD_vs_HC
ISG15,185.58,-0.88573,0.66927,-1.3234,0.1857,0.50103,Colonocytes,CD_vs_HC
AGRN,7.7489,1.7045,0.45868,3.7161,0.00020233,0.010069,Colonocytes,CD_vs_HC
RNF223,2.9681,0.72142,0.61208,1.1786,0.23854,0.55885,Colonocytes,CD_vs_HC
C1orf159,4.9188,1.3914,0.6714,2.0724,0.038227,0.22864,Colonocytes,CD_vs_HC
LINC01342,0.038076,0.17069,3.9053,0.043708,0.96514,,Colonocytes,CD_vs_HC
AL390719.2,8.2288,0.11695,0.55075,0.21234,0.83184,0.93817,Colonocytes,CD_vs_HC
TTLL10,0.031632,0.077521,2.6246,0.029537,0.97644,,Colonocytes,CD_vs_HC
TNFRSF18,0.66575,-1.0384,2.2808,-0.45528,0.64891,,Colonocytes,CD_vs_HC
TNFRSF4,0.39916,0.71588,1.4194,0.50434,0.61402,,Colonocytes,CD_vs_HC
SDF4,25.038,0.51328,0.29881,1.7178,0.085838,0.34975,Colonocytes,CD_vs_HC
B3GALT6,0.60611,1.292,1.7063,0.7572,0.44893,,Colonocytes,CD_vs_HC
C1QTNF12,25.133,0.66783,0.64987,1.0276,0.30413,0.62557,Colonocytes,CD_vs_HC
AL162741.1,0.015889,0.5309,3.9193,0.13546,0.89225,,Colonocytes,CD_vs_HC
UBE2J2,4.7721,0.46139,0.54022,0.85408,0.39306,0.70086,Colonocytes,CD_vs_HC
SCNN1D,0.2857,1.9688,1.3797,1.4269,0.1536,,Colonocytes,CD_vs_HC
ACAP3,3.5916,1.0334,0.75557,1.3678,0.17139,0.48131,Colonocytes,CD_vs_HC
PUSL1,1.5837,0.68668,0.93939,0.73099,0.46478,0.75118,Colonocytes,CD_vs_HC
INTS11,11.89,-0.1473,0.3008,-0.4897,0.62434,0.84589,Colonocytes,CD_vs_HC
CPTP,17.404,0.20498,0.35929,0.57053,0.56832,0.81763,Colonocytes,CD_vs_HC
TAS1R3,0.043225,1.1231,2.6127,0.42985,0.66731,,Colonocytes,CD_vs_HC
DVL1,8.3226,1.2296,0.50488,2.4353,0.014878,0.13815,Colonocytes,CD_vs_HC
AURKAIP1,73.104,0.59368,0.33888,1.7519,0.079793,0.33514,Colonocytes,CD_vs_HC
CCNL2,20.498,0.075991,0.32708,0.23233,0.81628,0.93053,Colonocytes,CD_vs_HC
MRPL20,14.253,-0.024525,0.37867,-0.064767,0.94836,0.97902,Colonocytes,CD_vs_HC
AL391244.3,0.4172,0.88328,2.3512,0.37567,0.70716,,Colonocytes,CD_vs_HC
LINC01770,0.033048,0.88995,2.5834,0.34449,0.73048,,Colonocytes,CD_vs_HC
VWA1,10.33,1.8761,0.52236,3.5916,0.00032862,0.014062,Colonocytes,CD_vs_HC
ATAD3C,0.15178,0.84291,1.5625,0.53948,0.58955,,Colonocytes,CD_vs_HC
ATAD3B,2.4193,0.33987,0.60523,0.56156,0.57442,0.82204,Colonocytes,CD_vs_HC
ATAD3A,1.3643,0.85085,0.69838,1.2183,0.2231,,Colonocytes,CD_vs_HC
TMEM240,0.10687,1.5638,3.9098,0.39998,0.68917,,Colonocytes,CD_vs_HC
SSU72,19.771,-0.13421,0.32123,-0.41779,0.6761,0.87105,Colonocytes,CD_vs_HC
