gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.081429,1.0779,1.956,0.55109,0.58157,,Colonocytes,UC_vs_CD
AL669831.5,0.89372,-0.87493,1.2462,-0.7021,0.48261,,Colonocytes,UC_vs_CD
FAM87B,0.019038,1.9226,4.2745,0.44979,0.65286,,Colonocytes,UC_vs_CD
LINC00115,1.0355,-0.65679,1.5495,-0.42386,0.67167,,Colonocytes,UC_vs_CD
FAM41C,0.10902,2.1455,2.4183,0.88721,0.37497,,Colonocytes,UC_vs_CD
AL645608.3,0.029804,1.9226,4.2745,0.44979,0.65286,,Colonocytes,UC_vs_CD
NOC2L,3.6579,-1.6847,1.0084,-1.6707,0.094784,,Colonocytes,UC_vs_CD
KLHL17,1.2929,1.5113,1.3453,1.1233,0.26129,,Colonocytes,UC_vs_CD
PLEKHN1,1.7858,1.9612,1.1729,1.6721,0.094506,,Colonocytes,UC_vs_CD
PERM1,0.054373,1.4509,4.2044,0.3451,0.73002,,Colonocytes,UC_vs_CD
AL645608.8,0.78026,-0.42481,1.4236,-0.29841,0.76539,,Colonocytes,UC_vs_CD
HES4,1.766,-0.38732,2.0538,-0.18859,0.85042,,Colonocytes,UC_vs_CD
ISG15,185.58,0.77844,0.72416,1.075,0.2824,0.72314,Colonocytes,UC_vs_CD
AGRN,7.7489,0.71828,0.52004,1.3812,0.16722,0.62633,Colonocytes,UC_vs_CD
RNF223,2.9681,-1.9288,1.0479,-1.8406,0.065685,,Colonocytes,UC_vs_CD
C1orf159,4.9188,0.38803,0.78862,0.49204,0.62269,,Colonocytes,UC_vs_CD
LINC01342,0.038076,1.8832,4.2751,0.44049,0.65958,,Colonocytes,UC_vs_CD
AL390719.2,8.2288,-0.050192,0.69336,-0.072389,0.94229,0.98564,Colonocytes,UC_vs_CD
TTLL10,0.031632,2.03,2.9734,0.68271,0.49479,,Colonocytes,UC_vs_CD
TNFRSF18,0.66575,3.124,2.5794,1.2111,0.22584,,Colonocytes,UC_vs_CD
TNFRSF4,0.39916,0.28867,1.8694,0.15442,0.87728,,Colonocytes,UC_vs_CD
