gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.081429,1.9399,1.9176,1.0116,0.31171,,Colonocytes,UC_vs_HC
AL669831.5,0.89372,0.52824,1.2608,0.41896,0.67524,,Colonocytes,UC_vs_HC
FAM87B,0.019038,2.4052,4.2033,0.57222,0.56717,,Colonocytes,UC_vs_HC
LINC00115,1.0355,-2.1865,1.4552,-1.5026,0.13295,,Colonocytes,UC_vs_HC
FAM41C,0.10902,1.0747,2.1207,0.50676,0.61232,,Colonocytes,UC_vs_HC
AL645608.3,0.029804,2.4052,4.2033,0.57222,0.56717,,Colonocytes,UC_vs_HC
NOC2L,3.6579,-1.7482,0.98451,-1.7757,0.075783,0.28514,Colonocytes,UC_vs_HC
KLHL17,1.2929,2.8156,1.3665,2.0605,0.039353,,Colonocytes,UC_vs_HC
PLEKHN1,1.7858,3.2706,1.1897,2.749,0.0059779,,Colonocytes,UC_vs_HC
PERM1,0.054373,3.0349,4.2711,0.71057,0.47735,,Colonocytes,UC_vs_HC
AL645608.8,0.78026,1.1,1.4498,0.75871,0.44803,,Colonocytes,UC_vs_HC
HES4,1.766,-2.1664,1.9705,-1.0994,0.2716,,Colonocytes,UC_vs_HC
ISG15,185.58,-0.10729,0.72278,-0.14844,0.882,0.95633,Colonocytes,UC_vs_HC
AGRN,7.7489,2.4228,0.53682,4.5132,6.3852e-06,0.00034012,Colonocytes,UC_vs_HC
RNF223,2.9681,-1.2074,1.0395,-1.1615,0.24544,0.53598,Colonocytes,UC_vs_HC
C1orf159,4.9188,1.7795,0.79641,2.2344,0.02546,0.15408,Colonocytes,UC_vs_HC
LINC01342,0.038076,2.0539,4.1784,0.49155,0.62304,,Colonocytes,UC_vs_HC
AL390719.2,8.2288,0.066755,0.68017,0.098144,0.92182,0.96983,Colonocytes,UC_vs_HC
TTLL10,0.031632,2.1075,2.8105,0.74987,0.45333,,Colonocytes,UC_vs_HC
TNFRSF18,0.66575,2.0856,2.3495,0.88767,0.37472,,Colonocytes,UC_vs_HC
TNFRSF4,0.39916,1.0046,1.8396,0.54607,0.58502,,Colonocytes,UC_vs_HC
SDF4,25.038,0.16191,0.38041,0.42562,0.67038,0.85,Colonocytes,UC_vs_HC
B3GALT6,0.60611,2.8361,1.9416,1.4607,0.1441,,Colonocytes,UC_vs_HC
C1QTNF12,25.133,0.35724,0.74062,0.48235,0.62956,0.82855,Colonocytes,UC_vs_HC
AL162741.1,0.015889,2.5454,4.2084,0.60484,0.54529,,Colonocytes,UC_vs_HC
UBE2J2,4.7721,0.20376,0.71722,0.2841,0.77634,0.91152,Colonocytes,UC_vs_HC
SCNN1D,0.2857,2.1433,1.7049,1.2572,0.20868,,Colonocytes,UC_vs_HC
ACAP3,3.5916,0.55535,0.96886,0.57319,0.56651,0.79092,Colonocytes,UC_vs_HC
