gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL669831.5,0.08781,-0.44791,4.3115,-0.10389,0.91726,0.99977,Endothelium,CD_vs_HC
LINC00115,0.66046,-0.18069,1.5429,-0.1171,0.90678,0.99977,Endothelium,CD_vs_HC
FAM41C,0.26565,-0.98272,4.1579,-0.23635,0.81316,0.99977,Endothelium,CD_vs_HC
SAMD11,0.19243,-1.1378,2.7192,-0.41842,0.67564,0.99977,Endothelium,CD_vs_HC
NOC2L,2.5032,-0.042808,0.8232,-0.052002,0.95853,0.99977,Endothelium,CD_vs_HC
KLHL17,0.15296,-0.42433,3.8755,-0.10949,0.91281,0.99977,Endothelium,CD_vs_HC
HES4,0.63639,-0.51295,2.4881,-0.20616,0.83667,0.99977,Endothelium,CD_vs_HC
ISG15,14.872,0.44099,0.67353,0.65475,0.51263,0.99977,Endothelium,CD_vs_HC
AGRN,3.2543,0.87775,0.75897,1.1565,0.24747,0.99977,Endothelium,CD_vs_HC
C1orf159,0.41562,-0.87948,1.672,-0.526,0.59889,0.99977,Endothelium,CD_vs_HC
TTLL10,0.29136,0.28728,4.2557,0.067505,0.94618,0.99977,Endothelium,CD_vs_HC
TNFRSF18,0.61785,-1.156,2.4416,-0.47348,0.63587,0.99977,Endothelium,CD_vs_HC
TNFRSF4,6.9349,1.948,0.87668,2.2221,0.026279,0.99977,Endothelium,CD_vs_HC
SDF4,4.7078,0.29078,0.59495,0.48875,0.62502,0.99977,Endothelium,CD_vs_HC
B3GALT6,0.52473,-0.58434,1.5711,-0.37194,0.70994,0.99977,Endothelium,CD_vs_HC
C1QTNF12,1.9753,-0.59768,1.0922,-0.54723,0.58422,0.99977,Endothelium,CD_vs_HC
UBE2J2,1.6164,0.042477,1.025,0.04144,0.96695,0.99977,Endothelium,CD_vs_HC
SCNN1D,0.0481,-0.44791,4.3115,-0.10389,0.91726,0.99977,Endothelium,CD_vs_HC
ACAP3,0.45407,0.16862,1.7994,0.093708,0.92534,0.99977,Endothelium,CD_vs_HC
PUSL1,0.51986,-0.0015723,2.122,-0.00074096,0.99941,0.99982,Endothelium,CD_vs_HC
INTS11,2.2052,0.64027,1.0227,0.62605,0.53128,0.99977,Endothelium,CD_vs_HC
CPTP,0.786,1.0104,1.3304,0.75947,0.44757,0.99977,Endothelium,CD_vs_HC
DVL1,0.8244,1.2245,1.5522,0.78889,0.43017,0.99977,Endothelium,CD_vs_HC
MXRA8,0.03163,-0.40656,4.3043,-0.094454,0.92475,0.99977,Endothelium,CD_vs_HC
AURKAIP1,7.6057,1.3269,0.68969,1.9239,0.054373,0.99977,Endothelium,CD_vs_HC
CCNL2,6.8297,1.0851,0.76311,1.4219,0.15505,0.99977,Endothelium,CD_vs_HC
MRPL20,6.6351,-0.078872,0.5568,-0.14165,0.88736,0.99977,Endothelium,CD_vs_HC
ANKRD65,1.5338,-0.028649,1.2156,-0.023569,0.9812,0.99977,Endothelium,CD_vs_HC
VWA1,19.868,-0.019511,0.56018,-0.03483,0.97222,0.99977,Endothelium,CD_vs_HC
ATAD3C,0.74187,0.92618,1.5604,0.59356,0.55281,0.99977,Endothelium,CD_vs_HC
ATAD3B,0.99474,0.95455,1.58,0.60415,0.54574,0.99977,Endothelium,CD_vs_HC
ATAD3A,0.72746,0.92088,1.5571,0.59142,0.55424,0.99977,Endothelium,CD_vs_HC
SSU72,3.8851,-0.8953,0.6235,-1.4359,0.15103,0.99977,Endothelium,CD_vs_HC
AL645728.1,0.43214,-0.41934,1.6409,-0.25556,0.79829,0.99977,Endothelium,CD_vs_HC
FNDC10,0.030399,-1.0372,4.4026,-0.23559,0.81375,0.99977,Endothelium,CD_vs_HC
AL691432.2,0.030399,-1.0372,4.4026,-0.23559,0.81375,0.99977,Endothelium,CD_vs_HC
MIB2,0.69633,-0.58864,1.7461,-0.33712,0.73603,0.99977,Endothelium,CD_vs_HC
MMP23B,0.035841,-0.44791,4.3115,-0.10389,0.91726,0.99977,Endothelium,CD_vs_HC
CDK11B,2.0625,-0.242,1.1042,-0.21917,0.82652,0.99977,Endothelium,CD_vs_HC
SLC35E2B,0.77962,-0.012736,1.4595,-0.0087261,0.99304,0.99977,Endothelium,CD_vs_HC
CDK11A,2.1777,-0.44735,0.94082,-0.47549,0.63444,0.99977,Endothelium,CD_vs_HC
SLC35E2A,0.66755,0.96902,1.6304,0.59436,0.55227,0.99977,Endothelium,CD_vs_HC
NADK,1.5894,0.13483,0.99438,0.13559,0.89214,0.99977,Endothelium,CD_vs_HC
GNB1,7.9416,0.38134,0.50725,0.75176,0.45219,0.99977,Endothelium,CD_vs_HC
CFAP74,0.064592,-0.42242,3.1203,-0.13538,0.89231,0.99977,Endothelium,CD_vs_HC
AL391845.2,0.22769,-0.65853,2.355,-0.27963,0.77976,0.99977,Endothelium,CD_vs_HC
GABRD,0.59246,-1.3679,1.7329,-0.78937,0.4299,0.99977,Endothelium,CD_vs_HC
PRKCZ,0.29644,0.0075041,3.9414,0.0019039,0.99848,0.99977,Endothelium,CD_vs_HC
PRKCZ-AS1,0.067304,-0.97254,3.1212,-0.31159,0.75535,0.99977,Endothelium,CD_vs_HC
FAAP20,2.5754,0.42937,0.98188,0.43729,0.6619,0.99977,Endothelium,CD_vs_HC
SKI,2.9978,0.64335,0.85469,0.75273,0.45161,0.99977,Endothelium,CD_vs_HC
MORN1,0.064741,-1.013,3.0946,-0.32733,0.74342,0.99977,Endothelium,CD_vs_HC
RER1,3.3628,0.98183,0.8207,1.1963,0.23157,0.99977,Endothelium,CD_vs_HC
PEX10,0.20677,0.55536,2.1713,0.25577,0.79813,0.99977,Endothelium,CD_vs_HC
PANK4,0.61913,0.24141,1.8232,0.13241,0.89466,0.99977,Endothelium,CD_vs_HC
HES5,0.1631,-0.42119,2.3274,-0.18097,0.85639,0.99977,Endothelium,CD_vs_HC
AL139246.5,0.18445,0.042753,2.4231,0.017644,0.98592,0.99977,Endothelium,CD_vs_HC
TNFRSF14-AS1,1.5989,0.73702,1.2871,0.57264,0.56689,0.99977,Endothelium,CD_vs_HC
TNFRSF14,4.625,0.58379,0.74756,0.78092,0.43485,0.99977,Endothelium,CD_vs_HC
AL139246.3,0.032963,-0.99187,4.3912,-0.22588,0.8213,0.99977,Endothelium,CD_vs_HC
FAM213B,0.91808,2.6884,2.1123,1.2727,0.20312,0.99977,Endothelium,CD_vs_HC
MMEL1,0.50871,-1.985,2.1197,-0.93641,0.34906,0.99977,Endothelium,CD_vs_HC
LINC00982,0.2671,-0.97129,2.7475,-0.35352,0.7237,0.99977,Endothelium,CD_vs_HC
PRDM16,0.56519,-0.58726,2.3468,-0.25024,0.8024,0.99977,Endothelium,CD_vs_HC
ARHGEF16,0.030399,-1.0372,4.4026,-0.23559,0.81375,0.99977,Endothelium,CD_vs_HC
