gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL669831.5,0.08781,-0.29589,4.0537,-0.072993,0.94181,0.99935,Endothelium,UC_vs_CD
LINC00115,0.66046,-1.0122,1.5202,-0.66585,0.50551,0.99935,Endothelium,UC_vs_CD
FAM41C,0.26565,2.0759,3.6956,0.56172,0.57431,0.99935,Endothelium,UC_vs_CD
SAMD11,0.19243,0.49781,2.5356,0.19633,0.84435,0.99935,Endothelium,UC_vs_CD
NOC2L,2.5032,-0.34317,0.72849,-0.47107,0.63759,0.99935,Endothelium,UC_vs_CD
KLHL17,0.15296,0.044997,3.5719,0.012597,0.98995,0.99935,Endothelium,UC_vs_CD
HES4,0.63639,1.3912,2.1641,0.64285,0.52032,0.99935,Endothelium,UC_vs_CD
ISG15,14.872,-0.85108,0.62485,-1.362,0.17318,0.99935,Endothelium,UC_vs_CD
AGRN,3.2543,-0.35362,0.5897,-0.59966,0.54873,0.99935,Endothelium,UC_vs_CD
C1orf159,0.41562,-1.592,1.8977,-0.83891,0.40152,0.99935,Endothelium,UC_vs_CD
TTLL10,0.29136,-0.22073,3.8661,-0.057094,0.95447,0.99935,Endothelium,UC_vs_CD
TNFRSF18,0.61785,0.61205,2.3306,0.26262,0.79284,0.99935,Endothelium,UC_vs_CD
TNFRSF4,6.9349,-1.0457,0.725,-1.4424,0.1492,0.99935,Endothelium,UC_vs_CD
SDF4,4.7078,-1.2978,0.55032,-2.3582,0.018363,0.99935,Endothelium,UC_vs_CD
B3GALT6,0.52473,-1.1681,1.6301,-0.71659,0.47363,0.99935,Endothelium,UC_vs_CD
C1QTNF12,1.9753,-0.14086,1.0388,-0.13559,0.89214,0.99935,Endothelium,UC_vs_CD
UBE2J2,1.6164,-0.025068,0.85231,-0.029412,0.97654,0.99935,Endothelium,UC_vs_CD
SCNN1D,0.0481,-0.29589,4.0537,-0.072993,0.94181,0.99935,Endothelium,UC_vs_CD
ACAP3,0.45407,-0.036385,1.4814,-0.024561,0.98041,0.99935,Endothelium,UC_vs_CD
PUSL1,0.51986,0.3522,1.8671,0.18864,0.85037,0.99935,Endothelium,UC_vs_CD
INTS11,2.2052,-0.72124,0.8747,-0.82456,0.40962,0.99935,Endothelium,UC_vs_CD
CPTP,0.786,-2.5147,1.3037,-1.9289,0.053739,0.99935,Endothelium,UC_vs_CD
DVL1,0.8244,-0.25942,1.1025,-0.2353,0.81397,0.99935,Endothelium,UC_vs_CD
MXRA8,0.03163,-0.57191,4.0894,-0.13985,0.88878,0.99935,Endothelium,UC_vs_CD
AURKAIP1,7.6057,-0.56014,0.56938,-0.98377,0.32523,0.99935,Endothelium,UC_vs_CD
CCNL2,6.8297,-0.083647,0.6229,-0.13429,0.89318,0.99935,Endothelium,UC_vs_CD
MRPL20,6.6351,-0.14544,0.49011,-0.29676,0.76665,0.99935,Endothelium,UC_vs_CD
ANKRD65,1.5338,0.44701,0.98483,0.45389,0.64991,0.99935,Endothelium,UC_vs_CD
VWA1,19.868,0.023143,0.51374,0.045049,0.96407,0.99935,Endothelium,UC_vs_CD
ATAD3C,0.74187,0.034941,1.0243,0.034113,0.97279,0.99935,Endothelium,UC_vs_CD
ATAD3B,0.99474,0.71602,1.05,0.68194,0.49528,0.99935,Endothelium,UC_vs_CD
ATAD3A,0.72746,-0.10364,1.063,-0.097496,0.92233,0.99935,Endothelium,UC_vs_CD
SSU72,3.8851,0.08929,0.58067,0.15377,0.87779,0.99935,Endothelium,UC_vs_CD
AL645728.1,0.43214,-1.0748,1.6041,-0.67002,0.50285,0.99935,Endothelium,UC_vs_CD
FNDC10,0.030399,0.79595,4.0765,0.19525,0.84519,0.99935,Endothelium,UC_vs_CD
AL691432.2,0.030399,0.79595,4.0765,0.19525,0.84519,0.99935,Endothelium,UC_vs_CD
MIB2,0.69633,1.9628,1.337,1.4681,0.14208,0.99935,Endothelium,UC_vs_CD
MMP23B,0.035841,-0.29589,4.0537,-0.072993,0.94181,0.99935,Endothelium,UC_vs_CD
CDK11B,2.0625,1.0737,0.91789,1.1698,0.24208,0.99935,Endothelium,UC_vs_CD
SLC35E2B,0.77962,0.16083,1.175,0.13688,0.89112,0.99935,Endothelium,UC_vs_CD
CDK11A,2.1777,0.31495,0.81439,0.38673,0.69896,0.99935,Endothelium,UC_vs_CD
SLC35E2A,0.66755,-0.37787,1.184,-0.31915,0.74961,0.99935,Endothelium,UC_vs_CD
NADK,1.5894,-0.74977,0.86982,-0.86199,0.38869,0.99935,Endothelium,UC_vs_CD
GNB1,7.9416,0.23934,0.39495,0.606,0.54451,0.99935,Endothelium,UC_vs_CD
CFAP74,0.064592,-0.18658,2.8534,-0.06539,0.94786,0.99935,Endothelium,UC_vs_CD
AL391845.2,0.22769,-0.70394,2.3731,-0.29664,0.76674,0.99935,Endothelium,UC_vs_CD
GABRD,0.59246,1.0208,1.5896,0.64221,0.52074,0.99935,Endothelium,UC_vs_CD
PRKCZ,0.29644,-1.3027,3.7805,-0.34458,0.73041,0.99935,Endothelium,UC_vs_CD
PRKCZ-AS1,0.067304,0.87627,2.7754,0.31573,0.75221,0.99935,Endothelium,UC_vs_CD
FAAP20,2.5754,-0.22175,0.85422,-0.2596,0.79517,0.99935,Endothelium,UC_vs_CD
SKI,2.9978,-0.47402,0.71025,-0.6674,0.50452,0.99935,Endothelium,UC_vs_CD
MORN1,0.064741,1.1189,2.7531,0.40643,0.68443,0.99935,Endothelium,UC_vs_CD
RER1,3.3628,-0.18831,0.63662,-0.29579,0.76739,0.99935,Endothelium,UC_vs_CD
PEX10,0.20677,-0.12422,1.7404,-0.071376,0.9431,0.99935,Endothelium,UC_vs_CD
PANK4,0.61913,0.24623,1.4332,0.1718,0.8636,0.99935,Endothelium,UC_vs_CD
HES5,0.1631,0.92039,1.8489,0.49779,0.61863,0.99935,Endothelium,UC_vs_CD
AL139246.5,0.18445,0.16695,2.098,0.079579,0.93657,0.99935,Endothelium,UC_vs_CD
TNFRSF14-AS1,1.5989,-2.4309,1.2948,-1.8775,0.060451,0.99935,Endothelium,UC_vs_CD
TNFRSF14,4.625,-0.15664,0.618,-0.25347,0.79991,0.99935,Endothelium,UC_vs_CD
AL139246.3,0.032963,0.56341,4.0808,0.13806,0.89019,0.99935,Endothelium,UC_vs_CD
FAM213B,0.91808,-1.0744,1.4068,-0.76373,0.44503,0.99935,Endothelium,UC_vs_CD
MMEL1,0.50871,0.59813,2.1015,0.28462,0.77594,0.99935,Endothelium,UC_vs_CD
LINC00982,0.2671,-0.055449,2.5991,-0.021334,0.98298,0.99935,Endothelium,UC_vs_CD
PRDM16,0.56519,1.3793,2.0414,0.67565,0.49926,0.99935,Endothelium,UC_vs_CD
ARHGEF16,0.030399,0.79595,4.0765,0.19525,0.84519,0.99935,Endothelium,UC_vs_CD
MEGF6,0.36056,-0.089906,1.5002,-0.059929,0.95221,0.99935,Endothelium,UC_vs_CD
AL513320.1,0.20915,0.44367,3.6445,0.12174,0.90311,0.99935,Endothelium,UC_vs_CD
TPRG1L,1.1465,-0.39589,1.0172,-0.38918,0.69715,0.99935,Endothelium,UC_vs_CD
WRAP73,1.9806,0.27112,0.87635,0.30937,0.75704,0.99935,Endothelium,UC_vs_CD
SMIM1,0.0481,-0.29589,4.0537,-0.072993,0.94181,0.99935,Endothelium,UC_vs_CD
LRRC47,0.93844,-0.37578,1.0585,-0.355,0.72259,0.99935,Endothelium,UC_vs_CD
