gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL669831.5,0.08781,-0.7438,4.4206,-0.16826,0.86638,0.99962,Endothelium,UC_vs_HC
LINC00115,0.66046,-1.1929,1.7491,-0.682,0.49524,0.99962,Endothelium,UC_vs_HC
FAM41C,0.26565,1.0932,3.9483,0.27687,0.78188,0.99962,Endothelium,UC_vs_HC
SAMD11,0.19243,-0.63994,2.6913,-0.23778,0.81205,0.99962,Endothelium,UC_vs_HC
NOC2L,2.5032,-0.38597,0.8662,-0.44559,0.65589,0.99962,Endothelium,UC_vs_HC
KLHL17,0.15296,-0.37933,3.9202,-0.096764,0.92291,0.99962,Endothelium,UC_vs_HC
HES4,0.63639,0.87826,2.4462,0.35903,0.71957,0.99962,Endothelium,UC_vs_HC
ISG15,14.872,-0.41008,0.68641,-0.59743,0.55022,0.99962,Endothelium,UC_vs_HC
AGRN,3.2543,0.52413,0.7992,0.65582,0.51194,0.99962,Endothelium,UC_vs_HC
C1orf159,0.41562,-2.4715,2.0358,-1.214,0.22475,0.99962,Endothelium,UC_vs_HC
TTLL10,0.29136,0.066553,4.3608,0.015262,0.98782,0.99962,Endothelium,UC_vs_HC
TNFRSF18,0.61785,-0.54398,2.4974,-0.21781,0.82757,0.99962,Endothelium,UC_vs_HC
TNFRSF4,6.9349,0.90232,0.92383,0.97673,0.3287,0.99962,Endothelium,UC_vs_HC
SDF4,4.7078,-1.007,0.65802,-1.5303,0.12593,0.99962,Endothelium,UC_vs_HC
B3GALT6,0.52473,-1.7525,1.7877,-0.98029,0.32694,0.99962,Endothelium,UC_vs_HC
C1QTNF12,1.9753,-0.73854,1.1498,-0.64231,0.52067,0.99962,Endothelium,UC_vs_HC
UBE2J2,1.6164,0.017409,1.0598,0.016426,0.98689,0.99962,Endothelium,UC_vs_HC
SCNN1D,0.0481,-0.7438,4.4206,-0.16826,0.86638,0.99962,Endothelium,UC_vs_HC
ACAP3,0.45407,0.13224,1.8659,0.070871,0.9435,0.99962,Endothelium,UC_vs_HC
PUSL1,0.51986,0.35063,2.1931,0.15988,0.87298,0.99962,Endothelium,UC_vs_HC
INTS11,2.2052,-0.080974,1.0676,-0.075847,0.93954,0.99962,Endothelium,UC_vs_HC
CPTP,0.786,-1.5043,1.6265,-0.92487,0.35503,0.99962,Endothelium,UC_vs_HC
DVL1,0.8244,0.9651,1.6228,0.59472,0.55203,0.99962,Endothelium,UC_vs_HC
MXRA8,0.03163,-0.97847,4.4145,-0.22165,0.82459,,Endothelium,UC_vs_HC
AURKAIP1,7.6057,0.76672,0.72228,1.0615,0.28845,0.99962,Endothelium,UC_vs_HC
CCNL2,6.8297,1.0014,0.77499,1.2922,0.1963,0.99962,Endothelium,UC_vs_HC
MRPL20,6.6351,-0.22432,0.57138,-0.39259,0.69462,0.99962,Endothelium,UC_vs_HC
ANKRD65,1.5338,0.41836,1.2089,0.34608,0.72928,0.99962,Endothelium,UC_vs_HC
VWA1,19.868,0.003632,0.56054,0.0064796,0.99483,0.99962,Endothelium,UC_vs_HC
ATAD3C,0.74187,0.96112,1.5825,0.60736,0.54361,0.99962,Endothelium,UC_vs_HC
ATAD3B,0.99474,1.6706,1.5794,1.0577,0.2902,0.99962,Endothelium,UC_vs_HC
ATAD3A,0.72746,0.81724,1.6005,0.51061,0.60963,0.99962,Endothelium,UC_vs_HC
SSU72,3.8851,-0.80601,0.63689,-1.2655,0.20568,0.99962,Endothelium,UC_vs_HC
AL645728.1,0.43214,-1.4941,1.8137,-0.82381,0.41005,0.99962,Endothelium,UC_vs_HC
FNDC10,0.030399,-0.24127,4.3651,-0.055271,0.95592,,Endothelium,UC_vs_HC
AL691432.2,0.030399,-0.24127,4.3651,-0.055271,0.95592,,Endothelium,UC_vs_HC
MIB2,0.69633,1.3741,1.5885,0.86504,0.38702,0.99962,Endothelium,UC_vs_HC
MMP23B,0.035841,-0.7438,4.4206,-0.16826,0.86638,0.99962,Endothelium,UC_vs_HC
CDK11B,2.0625,0.83174,1.0865,0.76552,0.44396,0.99962,Endothelium,UC_vs_HC
SLC35E2B,0.77962,0.1481,1.4698,0.10076,0.91974,0.99962,Endothelium,UC_vs_HC
CDK11A,2.1777,-0.1324,0.94212,-0.14054,0.88824,0.99962,Endothelium,UC_vs_HC
SLC35E2A,0.66755,0.59116,1.6977,0.34821,0.72768,0.99962,Endothelium,UC_vs_HC
NADK,1.5894,-0.61494,1.0723,-0.5735,0.56631,0.99962,Endothelium,UC_vs_HC
GNB1,7.9416,0.62068,0.51395,1.2077,0.22718,0.99962,Endothelium,UC_vs_HC
CFAP74,0.064592,-0.60901,3.1748,-0.19182,0.84788,0.99962,Endothelium,UC_vs_HC
AL391845.2,0.22769,-1.3625,2.6031,-0.5234,0.60069,0.99962,Endothelium,UC_vs_HC
GABRD,0.59246,-0.34709,1.651,-0.21023,0.83349,0.99962,Endothelium,UC_vs_HC
PRKCZ,0.29644,-1.2952,4.1344,-0.31327,0.75408,0.99962,Endothelium,UC_vs_HC
PRKCZ-AS1,0.067304,-0.096273,3.004,-0.032048,0.97443,0.99962,Endothelium,UC_vs_HC
FAAP20,2.5754,0.20761,1.0338,0.20083,0.84083,0.99962,Endothelium,UC_vs_HC
SKI,2.9978,0.16933,0.89001,0.19026,0.84911,0.99962,Endothelium,UC_vs_HC
MORN1,0.064741,0.10596,2.9834,0.035516,0.97167,0.99962,Endothelium,UC_vs_HC
RER1,3.3628,0.79352,0.85942,0.92333,0.35584,0.99962,Endothelium,UC_vs_HC
