gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.19645,-0.54131,1.3658,-0.39634,0.69185,,Epithelium Ribhi,CD_vs_HC
AL669831.5,3.301,1.2942,0.55934,2.3139,0.020674,0.52499,Epithelium Ribhi,CD_vs_HC
LINC00115,3.1402,-0.082018,0.39371,-0.20832,0.83498,0.99095,Epithelium Ribhi,CD_vs_HC
FAM41C,0.097812,0.31043,1.8858,0.16462,0.86925,,Epithelium Ribhi,CD_vs_HC
AL645608.1,0.062338,0.44612,1.8948,0.23545,0.81386,,Epithelium Ribhi,CD_vs_HC
SAMD11,0.72838,-0.82971,1.5152,-0.54758,0.58398,,Epithelium Ribhi,CD_vs_HC
NOC2L,21.937,-0.31324,0.29635,-1.057,0.29051,0.91588,Epithelium Ribhi,CD_vs_HC
KLHL17,2.8452,0.78262,0.57879,1.3522,0.17633,0.8733,Epithelium Ribhi,CD_vs_HC
PLEKHN1,0.58139,-0.90092,1.5814,-0.5697,0.56888,,Epithelium Ribhi,CD_vs_HC
PERM1,0.042474,0.055785,2.5783,0.021636,0.98274,,Epithelium Ribhi,CD_vs_HC
AL645608.8,0.98482,0.86577,0.7444,1.163,0.24481,,Epithelium Ribhi,CD_vs_HC
HES4,6.082,0.67131,1.3585,0.49415,0.6212,0.98072,Epithelium Ribhi,CD_vs_HC
ISG15,8.7623,0.90074,0.52573,1.7133,0.086656,0.77489,Epithelium Ribhi,CD_vs_HC
AGRN,9.6282,0.77786,0.42499,1.8303,0.067206,0.74035,Epithelium Ribhi,CD_vs_HC
AL645608.9,0.063379,0.28198,1.619,0.17417,0.86173,,Epithelium Ribhi,CD_vs_HC
RNF223,7.0796,-0.20192,0.43913,-0.45983,0.64564,0.98304,Epithelium Ribhi,CD_vs_HC
C1orf159,5.9327,0.83869,0.58713,1.4284,0.15316,0.86612,Epithelium Ribhi,CD_vs_HC
LINC01342,0.091652,-0.050443,1.4023,-0.035973,0.9713,,Epithelium Ribhi,CD_vs_HC
AL390719.2,15.405,0.082459,0.40246,0.20489,0.83766,0.99095,Epithelium Ribhi,CD_vs_HC
TTLL10-AS1,0.044588,0.89843,3.9029,0.23019,0.81794,,Epithelium Ribhi,CD_vs_HC
TTLL10,0.7372,0.32936,0.83005,0.39679,0.69152,,Epithelium Ribhi,CD_vs_HC
TNFRSF18,0.86677,-0.94353,1.8061,-0.52242,0.60138,,Epithelium Ribhi,CD_vs_HC
TNFRSF4,0.57468,1.0254,1.5233,0.67315,0.50085,,Epithelium Ribhi,CD_vs_HC
