gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.19645,1.7076,1.7943,0.95168,0.34126,0.76923,Epithelium Ribhi,UC_vs_CD
AL669831.5,3.301,-0.27658,0.77377,-0.35744,0.72076,0.88567,Epithelium Ribhi,UC_vs_CD
LINC00115,3.1402,-0.8737,0.87299,-1.0008,0.31692,0.76923,Epithelium Ribhi,UC_vs_CD
FAM41C,0.097812,2.2203,2.1297,1.0425,0.29716,0.76923,Epithelium Ribhi,UC_vs_CD
AL645608.1,0.062338,2.0404,2.136,0.95523,0.33946,0.76923,Epithelium Ribhi,UC_vs_CD
SAMD11,0.72838,3.3649,1.6688,2.0164,0.043763,0.76923,Epithelium Ribhi,UC_vs_CD
NOC2L,21.937,0.42464,0.38158,1.1129,0.26577,0.76923,Epithelium Ribhi,UC_vs_CD
KLHL17,2.8452,1.0153,0.74742,1.3585,0.17431,0.76923,Epithelium Ribhi,UC_vs_CD
PLEKHN1,0.58139,4.063,1.6602,2.4473,0.014392,0.76923,Epithelium Ribhi,UC_vs_CD
PERM1,0.042474,2.4595,2.7815,0.88426,0.37656,0.76923,Epithelium Ribhi,UC_vs_CD
AL645608.8,0.98482,-0.18517,1.1422,-0.16211,0.87122,0.95077,Epithelium Ribhi,UC_vs_CD
HES4,6.082,2.2687,1.4087,1.6105,0.10729,0.76923,Epithelium Ribhi,UC_vs_CD
ISG15,8.7623,0.1784,0.6219,0.28685,0.77422,0.91079,Epithelium Ribhi,UC_vs_CD
AGRN,9.6282,-0.043191,0.54716,-0.078936,0.93708,0.97738,Epithelium Ribhi,UC_vs_CD
AL645608.9,0.063379,2.1737,1.8805,1.156,0.2477,0.76923,Epithelium Ribhi,UC_vs_CD
RNF223,7.0796,-0.17309,0.64466,-0.2685,0.78831,0.91662,Epithelium Ribhi,UC_vs_CD
C1orf159,5.9327,-1.0049,0.81075,-1.2395,0.21515,0.76923,Epithelium Ribhi,UC_vs_CD
LINC01342,0.091652,1.9697,1.746,1.1281,0.25928,0.76923,Epithelium Ribhi,UC_vs_CD
AL390719.2,15.405,0.42008,0.48999,0.85732,0.39127,0.76923,Epithelium Ribhi,UC_vs_CD
TTLL10-AS1,0.044588,2.6412,3.9478,0.66903,0.50348,0.77557,Epithelium Ribhi,UC_vs_CD
TTLL10,0.7372,-0.66149,1.4574,-0.4539,0.6499,0.84671,Epithelium Ribhi,UC_vs_CD
TNFRSF18,0.86677,1.054,2.1424,0.49198,0.62273,0.83152,Epithelium Ribhi,UC_vs_CD
TNFRSF4,0.57468,0.26562,1.8425,0.14416,0.88537,0.95669,Epithelium Ribhi,UC_vs_CD
SDF4,23.788,-0.40758,0.4474,-0.911,0.3623,0.76923,Epithelium Ribhi,UC_vs_CD
B3GALT6,1.8727,-0.00039933,1.2165,-0.00032825,0.99974,0.99978,Epithelium Ribhi,UC_vs_CD
C1QTNF12,5.2819,0.97667,0.70941,1.3767,0.16859,0.76923,Epithelium Ribhi,UC_vs_CD
AL162741.1,0.16596,2.9241,2.1895,1.3355,0.18171,0.76923,Epithelium Ribhi,UC_vs_CD
UBE2J2,7.7926,0.91299,0.60154,1.5178,0.12908,0.76923,Epithelium Ribhi,UC_vs_CD
LINC01786,0.080137,2.5843,3.0482,0.84783,0.39653,0.76923,Epithelium Ribhi,UC_vs_CD
SCNN1D,0.37259,0.070228,1.4086,0.049858,0.96024,0.98592,Epithelium Ribhi,UC_vs_CD
ACAP3,8.812,-1.7419,0.784,-2.2218,0.026294,0.76923,Epithelium Ribhi,UC_vs_CD
PUSL1,2.5811,-0.15181,0.86425,-0.17565,0.86057,0.94628,Epithelium Ribhi,UC_vs_CD
INTS11,24.481,0.4387,0.30199,1.4527,0.1463,0.76923,Epithelium Ribhi,UC_vs_CD
CPTP,11.779,0.12926,0.51118,0.25287,0.80037,0.92228,Epithelium Ribhi,UC_vs_CD
TAS1R3,0.27461,2.4305,1.6337,1.4877,0.13683,0.76923,Epithelium Ribhi,UC_vs_CD
DVL1,12.613,-0.10644,0.42724,-0.24914,0.80325,0.92346,Epithelium Ribhi,UC_vs_CD
MXRA8,0.05297,3.1942,2.2037,1.4494,0.14721,0.76923,Epithelium Ribhi,UC_vs_CD
AURKAIP1,82.005,-0.033407,0.30502,-0.10952,0.91279,0.96749,Epithelium Ribhi,UC_vs_CD
CCNL2,32.364,-0.22133,0.38305,-0.57781,0.56339,0.79855,Epithelium Ribhi,UC_vs_CD
MRPL20,25.233,0.33007,0.42193,0.78227,0.43405,0.76923,Epithelium Ribhi,UC_vs_CD
