gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.19645,1.1663,1.7105,0.68183,0.49534,,Epithelium Ribhi,UC_vs_HC
AL669831.5,3.301,1.0177,0.79157,1.2856,0.19857,0.83913,Epithelium Ribhi,UC_vs_HC
LINC00115,3.1402,-0.95572,0.86562,-1.1041,0.26956,0.88586,Epithelium Ribhi,UC_vs_HC
FAM41C,0.097812,2.5307,2.1247,1.1911,0.23361,,Epithelium Ribhi,UC_vs_HC
AL645608.1,0.062338,2.4865,2.137,1.1635,0.24462,,Epithelium Ribhi,UC_vs_HC
SAMD11,0.72838,2.5352,1.5163,1.672,0.094523,,Epithelium Ribhi,UC_vs_HC
NOC2L,21.937,0.1114,0.37595,0.29631,0.76699,0.9797,Epithelium Ribhi,UC_vs_HC
KLHL17,2.8452,1.798,0.76093,2.3629,0.018135,0.41949,Epithelium Ribhi,UC_vs_HC
PLEKHN1,0.58139,3.162,1.4612,2.164,0.030463,,Epithelium Ribhi,UC_vs_HC
PERM1,0.042474,2.5153,2.7329,0.92038,0.35737,,Epithelium Ribhi,UC_vs_HC
AL645608.8,0.98482,0.6806,1.1556,0.58897,0.55588,,Epithelium Ribhi,UC_vs_HC
HES4,6.082,2.94,1.4163,2.0758,0.037911,0.56432,Epithelium Ribhi,UC_vs_HC
ISG15,8.7623,1.0791,0.62833,1.7175,0.085893,0.71587,Epithelium Ribhi,UC_vs_HC
AGRN,9.6282,0.73467,0.55119,1.3329,0.18257,0.83032,Epithelium Ribhi,UC_vs_HC
AL645608.9,0.063379,2.4557,1.8668,1.3155,0.18835,,Epithelium Ribhi,UC_vs_HC
RNF223,7.0796,-0.37502,0.6368,-0.58891,0.55592,0.96111,Epithelium Ribhi,UC_vs_HC
C1orf159,5.9327,-0.16626,0.8158,-0.2038,0.83851,0.98384,Epithelium Ribhi,UC_vs_HC
LINC01342,0.091652,1.9192,1.6932,1.1335,0.25701,,Epithelium Ribhi,UC_vs_HC
AL390719.2,15.405,0.50254,0.4872,1.0315,0.30231,0.9021,Epithelium Ribhi,UC_vs_HC
TTLL10-AS1,0.044588,3.5396,4.0186,0.8808,0.37842,,Epithelium Ribhi,UC_vs_HC
TTLL10,0.7372,-0.33213,1.452,-0.22874,0.81907,,Epithelium Ribhi,UC_vs_HC
TNFRSF18,0.86677,0.11047,2.0905,0.052843,0.95786,,Epithelium Ribhi,UC_vs_HC
TNFRSF4,0.57468,1.2911,1.8703,0.69029,0.49001,,Epithelium Ribhi,UC_vs_HC
SDF4,23.788,-0.25413,0.44633,-0.56936,0.56911,0.96185,Epithelium Ribhi,UC_vs_HC
B3GALT6,1.8727,1.1895,1.2446,0.95572,0.33921,0.91545,Epithelium Ribhi,UC_vs_HC
C1QTNF12,5.2819,0.94732,0.69915,1.355,0.17543,0.83032,Epithelium Ribhi,UC_vs_HC
AL162741.1,0.16596,3.2382,2.1789,1.4862,0.13723,,Epithelium Ribhi,UC_vs_HC
UBE2J2,7.7926,0.79191,0.59273,1.336,0.18154,0.83032,Epithelium Ribhi,UC_vs_HC
LINC01786,0.080137,2.9537,3.0404,0.97147,0.33131,,Epithelium Ribhi,UC_vs_HC
SCNN1D,0.37259,0.68636,1.4204,0.48322,0.62894,,Epithelium Ribhi,UC_vs_HC
ACAP3,8.812,-1.217,0.78508,-1.5502,0.1211,0.76578,Epithelium Ribhi,UC_vs_HC
PUSL1,2.5811,-0.27149,0.85202,-0.31865,0.74999,0.9797,Epithelium Ribhi,UC_vs_HC
INTS11,24.481,0.27365,0.29692,0.92165,0.35671,0.91888,Epithelium Ribhi,UC_vs_HC
CPTP,11.779,0.045011,0.50644,0.088877,0.92918,0.99037,Epithelium Ribhi,UC_vs_HC
TAS1R3,0.27461,2.0316,1.552,1.309,0.19052,,Epithelium Ribhi,UC_vs_HC
DVL1,12.613,0.28901,0.42653,0.67759,0.49803,0.95078,Epithelium Ribhi,UC_vs_HC
MXRA8,0.05297,2.0266,1.9575,1.0353,0.30052,,Epithelium Ribhi,UC_vs_HC
