gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.1991,-0.56024,2.5886,-0.21642,0.82866,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL669831.2,0.01441,1.3592,4.0497,0.33563,0.73715,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL669831.5,1.3899,0.091866,0.903,0.10173,0.91897,,Fibroblast (subtipo indeterminado),CD_vs_HC
FAM87B,0.35568,-1.1244,1.3827,-0.81324,0.41608,,Fibroblast (subtipo indeterminado),CD_vs_HC
LINC00115,2.3877,-0.13929,0.87585,-0.15904,0.87364,,Fibroblast (subtipo indeterminado),CD_vs_HC
FAM41C,0.7186,0.501,1.1319,0.4426,0.65805,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL645608.3,0.59982,1.6097,1.6394,0.98188,0.32616,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL645608.5,0.05857,0.43896,4.0189,0.10922,0.91303,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL645608.1,3.9063,0.65428,0.57397,1.1399,0.25432,0.72137,Fibroblast (subtipo indeterminado),CD_vs_HC
SAMD11,30.414,0.32507,0.45091,0.72091,0.47096,0.84644,Fibroblast (subtipo indeterminado),CD_vs_HC
NOC2L,20.913,-0.3866,0.26907,-1.4368,0.15078,0.60871,Fibroblast (subtipo indeterminado),CD_vs_HC
KLHL17,2.8587,1.2692,1.02,1.2442,0.21341,,Fibroblast (subtipo indeterminado),CD_vs_HC
PLEKHN1,1.4397,-1.6287,1.103,-1.4766,0.13977,,Fibroblast (subtipo indeterminado),CD_vs_HC
PERM1,0.46443,1.4899,1.6216,0.91882,0.35819,,Fibroblast (subtipo indeterminado),CD_vs_HC
AL645608.8,2.0367,0.21559,0.628,0.3433,0.73138,,Fibroblast (subtipo indeterminado),CD_vs_HC
HES4,7.3716,-0.38219,1.7287,-0.22109,,,Fibroblast (subtipo indeterminado),CD_vs_HC
ISG15,87.285,0.54623,0.43732,1.249,0.21165,0.67354,Fibroblast (subtipo indeterminado),CD_vs_HC
AGRN,8.6096,-0.17234,0.47958,-0.35936,0.71932,0.93176,Fibroblast (subtipo indeterminado),CD_vs_HC
C1orf159,1.7948,-0.47208,0.87598,-0.53891,0.58995,,Fibroblast (subtipo indeterminado),CD_vs_HC
