gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.1991,0.17062,2.7663,0.061679,0.95082,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL669831.2,0.01441,-0.46131,4.0957,-0.11263,0.91032,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL669831.5,1.3899,-0.5821,1.0289,-0.56573,0.57158,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
FAM87B,0.35568,-0.82585,1.8306,-0.45113,0.6519,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
LINC00115,2.3877,0.47307,0.92037,0.51399,0.60726,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
FAM41C,0.7186,-0.46428,1.2519,-0.37086,0.71074,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL645608.3,0.59982,-0.16829,1.5882,-0.10596,0.91561,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL645608.5,0.05857,-0.086464,4.144,-0.020865,0.98335,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL645608.1,3.9063,-0.70272,0.63562,-1.1056,0.26891,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
SAMD11,30.414,-0.073932,0.46216,-0.15997,0.87291,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
NOC2L,20.913,0.29179,0.28912,1.0092,0.31287,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
KLHL17,2.8587,-0.4301,1.0337,-0.41609,0.67734,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
PLEKHN1,1.4397,0.48183,1.2343,0.39037,0.69627,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
PERM1,0.46443,-0.089403,1.578,-0.056655,0.95482,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL645608.8,2.0367,-0.24519,0.69366,-0.35348,0.72373,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
HES4,7.3716,1.5571,1.7559,0.88679,,,Fibroblast (subtipo indeterminado),UC_vs_CD
ISG15,87.285,-0.42052,0.44461,-0.94582,0.34424,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AGRN,8.6096,-0.81126,0.53921,-1.5045,0.13244,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
C1orf159,1.7948,-0.74213,1.0365,-0.71598,0.474,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
LINC01342,0.01441,-0.46131,4.0957,-0.11263,0.91032,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
AL390719.2,0.085142,-1.2301,4.0043,-0.30719,0.7587,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
TTLL10,0.071129,-0.26641,4.1341,-0.064442,0.94862,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
TNFRSF18,0.99907,0.22956,1.3629,0.16844,0.86624,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
TNFRSF4,0.84251,-1.0668,1.23,-0.86733,0.38576,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
SDF4,20.054,-0.58489,0.50098,-1.1675,0.24301,0.99986,Fibroblast (subtipo indeterminado),UC_vs_CD
