gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.1991,-0.38962,2.5603,-0.15217,0.87905,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL669831.2,0.01441,0.8979,4.1269,0.21757,0.82776,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL669831.5,1.3899,-0.49024,0.98213,-0.49915,0.61767,,Fibroblast (subtipo indeterminado),UC_vs_HC
FAM87B,0.35568,-1.9503,1.6635,-1.1724,0.24105,,Fibroblast (subtipo indeterminado),UC_vs_HC
LINC00115,2.3877,0.33377,0.86289,0.38681,0.6989,,Fibroblast (subtipo indeterminado),UC_vs_HC
FAM41C,0.7186,0.036723,1.2201,0.030097,0.97599,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL645608.3,0.59982,1.4414,1.6685,0.8639,0.38764,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL645608.5,0.05857,0.3525,4.0451,0.087143,0.93056,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL645608.1,3.9063,-0.048447,0.62524,-0.077486,0.93824,0.98398,Fibroblast (subtipo indeterminado),UC_vs_HC
SAMD11,30.414,0.25114,0.45337,0.55393,0.57963,0.87926,Fibroblast (subtipo indeterminado),UC_vs_HC
NOC2L,20.913,-0.094813,0.26561,-0.35696,0.72112,0.92896,Fibroblast (subtipo indeterminado),UC_vs_HC
KLHL17,2.8587,0.83906,1.0429,0.80455,0.42108,,Fibroblast (subtipo indeterminado),UC_vs_HC
PLEKHN1,1.4397,-1.1469,1.0732,-1.0687,0.28521,,Fibroblast (subtipo indeterminado),UC_vs_HC
PERM1,0.46443,1.4005,1.6593,0.84402,0.39866,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL645608.8,2.0367,-0.029599,0.6609,-0.044786,0.96428,,Fibroblast (subtipo indeterminado),UC_vs_HC
HES4,7.3716,1.1749,1.7068,0.68837,,,Fibroblast (subtipo indeterminado),UC_vs_HC
ISG15,87.285,0.12571,0.44208,0.28436,0.77614,0.94427,Fibroblast (subtipo indeterminado),UC_vs_HC
AGRN,8.6096,-0.98361,0.51426,-1.9127,0.055789,0.37349,Fibroblast (subtipo indeterminado),UC_vs_HC
C1orf159,1.7948,-1.2142,0.97128,-1.2501,0.21126,,Fibroblast (subtipo indeterminado),UC_vs_HC
LINC01342,0.01441,0.8979,4.1269,0.21757,0.82776,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL390719.2,0.085142,0.92464,4.1238,0.22422,0.82258,,Fibroblast (subtipo indeterminado),UC_vs_HC
TTLL10,0.071129,0.22524,4.047,0.055657,0.95562,,Fibroblast (subtipo indeterminado),UC_vs_HC
TNFRSF18,0.99907,0.2142,1.3002,0.16474,0.86915,,Fibroblast (subtipo indeterminado),UC_vs_HC
TNFRSF4,0.84251,0.97434,1.3275,0.73397,0.46296,,Fibroblast (subtipo indeterminado),UC_vs_HC
SDF4,20.054,-0.40944,0.48854,-0.8381,0.40197,0.7908,Fibroblast (subtipo indeterminado),UC_vs_HC
B3GALT6,3.1554,0.41526,0.5971,0.69546,0.48677,,Fibroblast (subtipo indeterminado),UC_vs_HC
C1QTNF12,0.22189,1.3776,2.3389,0.58898,0.55588,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL162741.1,0.041911,0.90979,4.1253,0.22054,0.82545,,Fibroblast (subtipo indeterminado),UC_vs_HC
UBE2J2,9.2452,0.33205,0.58822,0.56449,0.57242,0.87719,Fibroblast (subtipo indeterminado),UC_vs_HC
SCNN1D,0.61978,-0.19728,1.2743,-0.15482,0.87697,,Fibroblast (subtipo indeterminado),UC_vs_HC
ACAP3,6.6895,-0.35598,0.5735,-0.62071,0.53479,0.86069,Fibroblast (subtipo indeterminado),UC_vs_HC
PUSL1,3.4821,0.81579,0.76407,1.0677,0.28566,0.71135,Fibroblast (subtipo indeterminado),UC_vs_HC
INTS11,17.905,-0.16955,0.29476,-0.57522,0.56514,0.87316,Fibroblast (subtipo indeterminado),UC_vs_HC
CPTP,3.4028,0.22315,0.55182,0.40439,0.68593,0.91624,Fibroblast (subtipo indeterminado),UC_vs_HC
DVL1,4.4374,-0.19259,0.48982,-0.39318,0.69419,0.91915,Fibroblast (subtipo indeterminado),UC_vs_HC
MXRA8,49.521,-0.071511,0.32482,-0.22015,0.82575,0.95749,Fibroblast (subtipo indeterminado),UC_vs_HC
AURKAIP1,43.534,0.47465,0.462,1.0274,0.30424,0.72663,Fibroblast (subtipo indeterminado),UC_vs_HC
CCNL2,32.381,-0.21695,0.38731,-0.56014,0.57538,0.87767,Fibroblast (subtipo indeterminado),UC_vs_HC
MRPL20,48.415,0.26126,0.23958,1.0905,0.2755,0.70215,Fibroblast (subtipo indeterminado),UC_vs_HC
AL391244.3,0.41303,1.0552,1.7394,0.60664,0.54409,,Fibroblast (subtipo indeterminado),UC_vs_HC
ANKRD65,3.6283,-1.2015,0.75139,-1.5991,0.1098,0.49628,Fibroblast (subtipo indeterminado),UC_vs_HC
LINC01770,0.282,1.5897,3.1006,0.51272,0.60815,,Fibroblast (subtipo indeterminado),UC_vs_HC
VWA1,6.0929,-0.59443,0.47824,-1.2429,0.21389,0.6489,Fibroblast (subtipo indeterminado),UC_vs_HC
ATAD3C,0.26161,0.23385,1.533,0.15255,0.87876,,Fibroblast (subtipo indeterminado),UC_vs_HC
ATAD3B,4.6977,-0.61396,0.73484,-0.83551,0.40343,0.7908,Fibroblast (subtipo indeterminado),UC_vs_HC
ATAD3A,3.0611,-0.22797,0.66291,-0.34389,0.73093,,Fibroblast (subtipo indeterminado),UC_vs_HC
TMEM240,0.16319,0.82672,2.5925,0.31889,0.74981,,Fibroblast (subtipo indeterminado),UC_vs_HC
SSU72,22.827,0.34478,0.30989,1.1126,0.26589,0.69485,Fibroblast (subtipo indeterminado),UC_vs_HC
AL645728.1,2.3844,-1.1531,0.76928,-1.4989,0.13389,,Fibroblast (subtipo indeterminado),UC_vs_HC
FNDC10,0.36741,0.46662,1.7856,0.26132,0.79384,,Fibroblast (subtipo indeterminado),UC_vs_HC
AL691432.2,1.6775,0.068073,0.83394,0.081628,0.93494,,Fibroblast (subtipo indeterminado),UC_vs_HC
MIB2,4.1559,0.15887,0.84136,0.18882,0.85023,0.96325,Fibroblast (subtipo indeterminado),UC_vs_HC
MMP23B,11.032,-0.36359,0.72959,-0.49835,0.61824,0.89452,Fibroblast (subtipo indeterminado),UC_vs_HC
CDK11B,12.524,-0.58462,0.40286,-1.4512,0.14672,0.55913,Fibroblast (subtipo indeterminado),UC_vs_HC
