gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.08063,0.51467,3.6632,0.14049,0.88827,,Goblet,CD_vs_HC
AL669831.5,2.4154,0.74788,0.51994,1.4384,0.15032,,Goblet,CD_vs_HC
LINC00115,2.3709,-1.4671,0.57283,-2.5611,0.010435,,Goblet,CD_vs_HC
FAM41C,0.26786,0.51355,3.6146,0.14208,0.88702,,Goblet,CD_vs_HC
AL645608.7,0.022962,0.80201,3.7604,0.21328,0.83111,,Goblet,CD_vs_HC
AL645608.3,0.035409,-0.18027,3.7591,-0.047955,0.96175,,Goblet,CD_vs_HC
SAMD11,0.29831,-0.85323,2.1944,-0.38883,0.6974,,Goblet,CD_vs_HC
NOC2L,10.921,0.1113,0.28139,0.39553,0.69245,0.93882,Goblet,CD_vs_HC
KLHL17,0.99235,0.97213,0.97368,0.99841,0.31808,,Goblet,CD_vs_HC
PLEKHN1,0.6586,0.45003,1.2138,0.37075,0.71082,,Goblet,CD_vs_HC
AL645608.8,0.26517,-0.79653,1.3527,-0.58883,0.55597,,Goblet,CD_vs_HC
HES4,0.53377,0.0030877,2.2171,0.0013927,0.99889,,Goblet,CD_vs_HC
ISG15,42.38,-1.1549,0.62039,-1.8617,0.062652,0.46609,Goblet,CD_vs_HC
AGRN,4.9867,0.99124,0.46953,2.1111,0.034761,0.37528,Goblet,CD_vs_HC
AL645608.9,0.025083,-0.12923,3.7543,-0.034423,0.97254,,Goblet,CD_vs_HC
RNF223,6.1348,-0.17773,0.41697,-0.42624,0.66993,0.93328,Goblet,CD_vs_HC
C1orf159,3.05,1.9202,0.63329,3.0321,0.0024288,0.10336,Goblet,CD_vs_HC
LINC01342,0.28981,0.11925,1.8779,0.063503,0.94937,,Goblet,CD_vs_HC
AL390719.2,15.351,-0.048945,0.29232,-0.16744,0.86702,0.97794,Goblet,CD_vs_HC
TTLL10-AS1,0.052689,-0.39771,3.7283,-0.10667,0.91505,,Goblet,CD_vs_HC
TTLL10,1.09,0.11468,0.80798,0.14193,0.88713,,Goblet,CD_vs_HC
TNFRSF18,1.1479,1.3461,1.7265,0.77969,0.43557,,Goblet,CD_vs_HC
TNFRSF4,0.91758,0.7679,1.2408,0.61889,0.53599,,Goblet,CD_vs_HC
SDF4,19.248,0.29497,0.28914,1.0202,0.30765,0.78145,Goblet,CD_vs_HC
B3GALT6,0.65585,1.5042,1.1881,1.266,0.2055,,Goblet,CD_vs_HC
C1QTNF12,0.98649,-0.6918,0.85425,-0.80984,0.41803,,Goblet,CD_vs_HC
UBE2J2,3.5878,-0.083066,0.45629,-0.18205,0.85554,0.97729,Goblet,CD_vs_HC
SCNN1D,0.034481,0.97122,3.7376,0.25985,0.79498,,Goblet,CD_vs_HC
ACAP3,5.1644,0.95001,0.39747,2.3902,0.016841,0.27526,Goblet,CD_vs_HC
PUSL1,3.5291,0.48965,0.6178,0.79256,0.42803,0.85291,Goblet,CD_vs_HC
INTS11,16.607,-0.27739,0.32858,-0.84423,0.39854,0.8348,Goblet,CD_vs_HC
CPTP,4.3764,-0.17256,0.47058,-0.36669,0.71385,0.94454,Goblet,CD_vs_HC
TAS1R3,0.10429,0.56501,3.6579,0.15446,0.87724,,Goblet,CD_vs_HC
DVL1,6.9599,-0.24915,0.39444,-0.63166,0.52761,0.88974,Goblet,CD_vs_HC
MXRA8,0.017241,0.70609,3.7711,0.18724,0.85147,,Goblet,CD_vs_HC
AURKAIP1,63.52,0.34663,0.29669,1.1683,0.24267,0.71537,Goblet,CD_vs_HC
CCNL2,28.735,-0.2226,0.26869,-0.82845,0.40741,0.84012,Goblet,CD_vs_HC
MRPL20,20.83,-0.19532,0.26405,-0.7397,0.45948,0.86249,Goblet,CD_vs_HC
AL391244.3,0.19374,0.43289,1.7894,0.24191,0.80885,,Goblet,CD_vs_HC
LINC01770,0.068885,1.247,3.7145,0.33572,0.73708,,Goblet,CD_vs_HC
VWA1,3.4801,1.6528,0.52608,3.1416,0.0016801,0.079364,Goblet,CD_vs_HC
ATAD3C,0.65935,-0.89962,1.0401,-0.86495,0.38707,,Goblet,CD_vs_HC
ATAD3B,7.9879,0.12974,0.53028,0.24466,0.80672,0.96476,Goblet,CD_vs_HC
ATAD3A,5.1226,0.12178,0.40443,0.30112,0.76333,0.9566,Goblet,CD_vs_HC
TMEM240,0.12295,0.34004,2.3603,0.14407,0.88545,,Goblet,CD_vs_HC
SSU72,15.302,0.03827,0.25879,0.14788,0.88244,0.98182,Goblet,CD_vs_HC
AL645728.1,6.4593,-0.46262,0.41071,-1.1264,0.26,0.73522,Goblet,CD_vs_HC
FNDC10,0.49913,1.3927,2.211,0.6299,0.52876,,Goblet,CD_vs_HC
AL691432.2,1.4762,1.0266,0.68241,1.5044,0.13248,,Goblet,CD_vs_HC
MIB2,8.7293,0.79081,0.69196,1.1429,0.2531,0.73,Goblet,CD_vs_HC
MMP23B,0.88368,-0.57478,1.1237,-0.51152,0.60898,,Goblet,CD_vs_HC
CDK11B,19.47,-0.58196,0.26322,-2.2109,0.027042,0.33588,Goblet,CD_vs_HC
FO704657.1,0.17714,-0.2347,1.9267,-0.12182,0.90305,,Goblet,CD_vs_HC
SLC35E2B,4.1961,0.050742,0.41876,0.12117,0.90355,0.98268,Goblet,CD_vs_HC
CDK11A,24.571,-1.5289,0.22188,-6.8909,5.5454e-12,2.1946e-08,Goblet,CD_vs_HC
SLC35E2A,2.0578,-0.10245,0.68991,-0.1485,0.88195,,Goblet,CD_vs_HC
NADK,8.8488,-0.72578,0.32055,-2.2641,0.023566,0.3154,Goblet,CD_vs_HC
GNB1,17.674,-0.24974,0.33413,-0.74743,0.4548,0.86174,Goblet,CD_vs_HC
AL109917.1,0.054286,0.94484,3.7407,0.25258,0.80059,,Goblet,CD_vs_HC
CALML6,0.097351,0.067923,3.0607,0.022192,0.98229,,Goblet,CD_vs_HC
TMEM52,1.4249,-0.6058,0.80837,-0.74942,0.45361,,Goblet,CD_vs_HC
CFAP74,0.054286,0.94484,3.7407,0.25258,0.80059,,Goblet,CD_vs_HC
AL391845.1,0.061754,-0.46067,3.7198,-0.12384,0.90144,,Goblet,CD_vs_HC
PRKCZ,4.1745,0.25384,0.56972,0.44555,0.65592,0.92872,Goblet,CD_vs_HC
AL590822.2,0.35217,-1.3251,2.1225,-0.62432,0.53242,,Goblet,CD_vs_HC
PRKCZ-AS1,0.091029,0.78158,3.7653,0.20757,0.83556,,Goblet,CD_vs_HC
FAAP20,15.168,0.79929,0.40695,1.9641,0.049517,0.4274,Goblet,CD_vs_HC
SKI,3.5015,0.75318,0.63963,1.1775,0.23898,0.71121,Goblet,CD_vs_HC
MORN1,0.51622,2.0715,1.3759,1.5055,0.1322,,Goblet,CD_vs_HC
RER1,17.425,0.5004,0.40206,1.2446,0.21328,0.68835,Goblet,CD_vs_HC
PEX10,1.1175,0.73705,0.90466,0.81472,0.41523,,Goblet,CD_vs_HC
PLCH2,0.28605,-1.1948,1.8084,-0.6607,0.50881,,Goblet,CD_vs_HC
PANK4,1.894,-0.010326,0.67297,-0.015343,0.98776,,Goblet,CD_vs_HC
HES5,1.1387,-1.2565,1.1423,-1.0999,0.27137,,Goblet,CD_vs_HC
AL139246.5,5.7964,2.0087,0.83166,2.4153,0.01572,0.26644,Goblet,CD_vs_HC
TNFRSF14-AS1,17.393,-0.25667,0.32078,-0.80012,0.42364,0.85014,Goblet,CD_vs_HC
TNFRSF14,22.682,0.27479,0.23986,1.1456,0.25195,0.72917,Goblet,CD_vs_HC
AL139246.3,1.3769,-0.71248,0.84983,-0.83837,0.40182,,Goblet,CD_vs_HC
FAM213B,4.593,-0.033656,0.42223,-0.07971,0.93647,0.98843,Goblet,CD_vs_HC
MMEL1,1.6177,-0.16232,0.73083,-0.2221,0.82424,,Goblet,CD_vs_HC
TTC34,0.054286,0.94484,3.7407,0.25258,0.80059,,Goblet,CD_vs_HC
LINC00982,0.16538,-0.27822,2.2967,-0.12114,0.90358,,Goblet,CD_vs_HC
PRDM16,0.22229,2.2223,2.5264,0.8796,0.37908,,Goblet,CD_vs_HC
AL590438.1,0.15333,1.4054,3.6899,0.38088,0.7033,,Goblet,CD_vs_HC
ARHGEF16,23.987,-0.39902,0.27263,-1.4636,0.14331,0.60648,Goblet,CD_vs_HC
AL512413.1,0.038723,0.94484,3.7407,0.25258,0.80059,,Goblet,CD_vs_HC
MEGF6,0.52789,0.65526,1.1022,0.59449,0.55219,,Goblet,CD_vs_HC
AL513320.1,0.10408,-0.47649,2.3896,-0.1994,0.84195,,Goblet,CD_vs_HC
TPRG1L,3.7822,-0.3285,0.44311,-0.74135,0.45848,0.86225,Goblet,CD_vs_HC
WRAP73,3.277,0.012493,0.48261,0.025885,0.97935,0.99504,Goblet,CD_vs_HC
CCDC27,0.061719,-0.64465,3.7066,-0.17392,0.86193,,Goblet,CD_vs_HC
SMIM1,0.83583,-0.016365,0.83816,-0.019525,0.98442,,Goblet,CD_vs_HC
LRRC47,4.0286,0.22243,0.45583,0.48797,0.62557,0.92199,Goblet,CD_vs_HC
AL365330.1,0.022962,0.80201,3.7604,0.21328,0.83111,,Goblet,CD_vs_HC
CEP104,4.4443,-0.039281,0.44064,-0.089146,0.92897,0.98726,Goblet,CD_vs_HC
DFFB,1.3193,0.080531,0.80583,0.099936,0.9204,,Goblet,CD_vs_HC
C1orf174,2.9858,0.10947,0.48674,0.2249,0.82205,0.96766,Goblet,CD_vs_HC
LINC01134,1.3166,0.019205,0.87632,0.021915,0.98252,,Goblet,CD_vs_HC
LINC01346,0.043585,0.31065,3.6902,0.084183,0.93291,,Goblet,CD_vs_HC
AL355602.1,0.054286,0.94484,3.7407,0.25258,0.80059,,Goblet,CD_vs_HC
AJAP1,0.035374,-0.12923,3.7543,-0.034423,0.97254,,Goblet,CD_vs_HC
NPHP4,1.2919,0.26574,0.91175,0.29146,0.7707,,Goblet,CD_vs_HC
KCNAB2,0.24387,0.35665,1.7612,0.20251,0.83952,,Goblet,CD_vs_HC
CHD5,0.044668,-0.12923,3.7543,-0.034423,0.97254,,Goblet,CD_vs_HC
RPL22,318.42,-0.46979,0.23222,-2.0231,0.043067,0.40835,Goblet,CD_vs_HC
AL031847.1,0.40876,-0.010586,1.287,-0.0082256,0.99344,,Goblet,CD_vs_HC
