gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.08063,1.2299,4.7712,0.25778,0.79658,,Goblet,UC_vs_CD
AL669831.5,2.4154,-1.8236,1.3518,-1.3489,0.17735,,Goblet,UC_vs_CD
LINC00115,2.3709,0.36523,1.1821,0.30897,0.75735,,Goblet,UC_vs_CD
FAM41C,0.26786,1.2306,4.7113,0.26121,0.79393,,Goblet,UC_vs_CD
AL645608.7,0.022962,1.3994,4.7945,0.29187,0.77038,,Goblet,UC_vs_CD
AL645608.3,0.035409,1.8337,4.8466,0.37835,0.70517,,Goblet,UC_vs_CD
SAMD11,0.29831,1.0591,3.142,0.33706,0.73607,,Goblet,UC_vs_CD
NOC2L,10.921,0.096864,0.48127,0.20127,0.84049,0.98508,Goblet,UC_vs_CD
KLHL17,0.99235,-0.67918,1.6636,-0.40825,0.68309,,Goblet,UC_vs_CD
PLEKHN1,0.6586,-0.50494,2.159,-0.23388,0.81508,,Goblet,UC_vs_CD
AL645608.8,0.26517,0.97784,2.2636,0.43198,0.66576,,Goblet,UC_vs_CD
HES4,0.53377,0.61412,3.2202,0.19071,0.84875,,Goblet,UC_vs_CD
ISG15,42.38,-0.040442,0.84223,-0.048018,0.9617,0.99588,Goblet,UC_vs_CD
AGRN,4.9867,-0.16707,0.74729,-0.22357,0.8231,,Goblet,UC_vs_CD
AL645608.9,0.025083,2.0062,4.8748,0.41154,0.68068,,Goblet,UC_vs_CD
RNF223,6.1348,0.013003,0.75379,0.01725,0.98624,0.99843,Goblet,UC_vs_CD
C1orf159,3.05,-2.1673,1.3837,-1.5663,0.11729,,Goblet,UC_vs_CD
LINC01342,0.28981,0.89899,2.77,0.32454,0.74553,,Goblet,UC_vs_CD
AL390719.2,15.351,-0.077771,0.49064,-0.15851,0.87406,0.98608,Goblet,UC_vs_CD
TTLL10-AS1,0.052689,1.725,4.8338,0.35686,0.7212,,Goblet,UC_vs_CD
TTLL10,1.09,-1.3835,1.8574,-0.74485,0.45636,,Goblet,UC_vs_CD
TNFRSF18,1.1479,-1.7802,2.7638,-0.64409,0.51952,,Goblet,UC_vs_CD
TNFRSF4,0.91758,0.61094,1.8304,0.33378,0.73854,,Goblet,UC_vs_CD
SDF4,19.248,-1.1246,0.54008,-2.0823,0.037313,0.53559,Goblet,UC_vs_CD
B3GALT6,0.65585,-1.2366,2.1471,-0.57592,0.56467,,Goblet,UC_vs_CD
