gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.08063,1.7446,4.7321,0.36867,0.71238,,Goblet,UC_vs_HC
AL669831.5,2.4154,-1.0757,1.3528,-0.79518,0.42651,,Goblet,UC_vs_HC
LINC00115,2.3709,-1.1018,1.1256,-0.97887,0.32764,,Goblet,UC_vs_HC
FAM41C,0.26786,1.7442,4.6719,0.37333,0.7089,,Goblet,UC_vs_HC
AL645608.7,0.022962,2.2014,4.7829,0.46026,0.64533,,Goblet,UC_vs_HC
AL645608.3,0.035409,1.6534,4.7321,0.34941,0.72678,,Goblet,UC_vs_HC
SAMD11,0.29831,0.20584,3.0103,0.068378,0.94548,,Goblet,UC_vs_HC
NOC2L,10.921,0.20816,0.47257,0.44049,0.65958,,Goblet,UC_vs_HC
KLHL17,0.99235,0.29295,1.667,0.17574,0.8605,,Goblet,UC_vs_HC
PLEKHN1,0.6586,-0.054908,2.1381,-0.025682,0.97951,,Goblet,UC_vs_HC
AL645608.8,0.26517,0.18131,2.1589,0.083979,0.93307,,Goblet,UC_vs_HC
HES4,0.53377,0.61721,3.1573,0.19548,0.84501,,Goblet,UC_vs_HC
ISG15,42.38,-1.1954,0.83317,-1.4347,0.15136,0.48352,Goblet,UC_vs_HC
AGRN,4.9867,0.82417,0.75232,1.0955,0.27329,,Goblet,UC_vs_HC
AL645608.9,0.025083,1.8769,4.7509,0.39507,0.69279,,Goblet,UC_vs_HC
RNF223,6.1348,-0.16473,0.73751,-0.22335,0.82326,,Goblet,UC_vs_HC
C1orf159,3.05,-0.24713,1.4093,-0.17536,0.8608,,Goblet,UC_vs_HC
LINC01342,0.28981,1.0182,2.7177,0.37467,0.70791,,Goblet,UC_vs_HC
AL390719.2,15.351,-0.12672,0.48094,-0.26347,0.79218,0.92446,Goblet,UC_vs_HC
TTLL10-AS1,0.052689,1.3273,4.7135,0.28159,0.77825,,Goblet,UC_vs_HC
TTLL10,1.09,-1.2688,1.8359,-0.69111,0.4895,,Goblet,UC_vs_HC
TNFRSF18,1.1479,-0.43404,2.771,-0.15664,0.87553,,Goblet,UC_vs_HC
TNFRSF4,0.91758,1.3788,1.8377,0.75033,0.45306,,Goblet,UC_vs_HC
SDF4,19.248,-0.82964,0.53463,-1.5518,0.12071,0.43566,Goblet,UC_vs_HC
B3GALT6,0.65585,0.2676,2.1765,0.12295,0.90215,,Goblet,UC_vs_HC
C1QTNF12,0.98649,-1.6318,1.8985,-0.85951,0.39006,,Goblet,UC_vs_HC
UBE2J2,3.5878,-1.2379,1.0913,-1.1344,0.25662,,Goblet,UC_vs_HC
