gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.0134,0.11503,4.0126,0.028666,0.97713,0.99999,Mast,CD_vs_HC
AL627309.4,0.024934,0.45267,4.0613,0.11146,0.91125,0.99999,Mast,CD_vs_HC
AL669831.5,0.27635,0.59957,1.5089,0.39736,0.6911,0.99999,Mast,CD_vs_HC
LINC00115,0.54833,-0.041712,1.5198,-0.027446,0.9781,0.99999,Mast,CD_vs_HC
FAM41C,0.27371,0.4649,1.7777,0.26152,0.79369,0.99999,Mast,CD_vs_HC
NOC2L,1.8343,-1.2842,0.8531,-1.5053,0.13224,0.99999,Mast,CD_vs_HC
KLHL17,0.1013,-0.11341,3.4872,-0.032522,0.97406,0.99999,Mast,CD_vs_HC
PERM1,0.0134,0.11503,4.0126,0.028666,0.97713,0.99999,Mast,CD_vs_HC
AL645608.8,0.84367,-1.1581,2.3536,-0.49205,0.62269,0.99999,Mast,CD_vs_HC
HES4,5.9806,0.68824,1.9134,0.35969,0.71908,0.99999,Mast,CD_vs_HC
ISG15,10.665,0.0064763,0.71765,0.0090244,0.9928,0.99999,Mast,CD_vs_HC
AGRN,0.25672,-0.19337,1.4307,-0.13516,0.89248,0.99999,Mast,CD_vs_HC
C1orf159,0.12859,0.45298,3.4385,0.13174,0.89519,0.99999,Mast,CD_vs_HC
TNFRSF18,3.164,1.2047,1.2803,0.94091,0.34675,0.99999,Mast,CD_vs_HC
TNFRSF4,3.568,0.99688,0.96102,1.0373,0.29959,0.99999,Mast,CD_vs_HC
SDF4,2.3569,0.58943,0.79197,0.74426,0.45672,0.99999,Mast,CD_vs_HC
B3GALT6,0.47767,-0.30645,2.3671,-0.12946,0.89699,0.99999,Mast,CD_vs_HC
C1QTNF12,0.0134,0.11503,4.0126,0.028666,0.97713,0.99999,Mast,CD_vs_HC
UBE2J2,1.1669,0.23815,1.0249,0.23238,0.81625,0.99999,Mast,CD_vs_HC
ACAP3,0.51808,-0.085619,1.3228,-0.064725,0.94839,0.99999,Mast,CD_vs_HC
PUSL1,0.58139,0.379,1.1202,0.33834,0.73511,0.99999,Mast,CD_vs_HC
INTS11,1.9725,0.36886,0.63183,0.58379,0.55936,0.99999,Mast,CD_vs_HC
CPTP,0.11474,0.90651,1.767,0.51303,0.60793,0.99999,Mast,CD_vs_HC
DVL1,0.2721,0.74305,2.2675,0.3277,0.74314,0.99999,Mast,CD_vs_HC
AURKAIP1,7.3112,0.91475,0.65259,1.4017,0.161,0.99999,Mast,CD_vs_HC
CCNL2,1.6786,0.77637,0.94327,0.82307,0.41047,0.99999,Mast,CD_vs_HC
MRPL20,12.9,-0.19761,0.34613,-0.57091,0.56806,0.99999,Mast,CD_vs_HC
ATAD3C,0.33266,0.49786,1.4691,0.3389,0.73469,0.99999,Mast,CD_vs_HC
ATAD3B,0.42234,0.92199,1.4473,0.63704,0.5241,0.99999,Mast,CD_vs_HC
ATAD3A,0.27245,0.16061,1.7603,0.091239,0.9273,0.99999,Mast,CD_vs_HC
SSU72,5.8154,-0.57292,0.47086,-1.2167,0.2237,0.99999,Mast,CD_vs_HC
AL645728.1,0.3074,-1.0296,1.5016,-0.68568,0.49292,0.99999,Mast,CD_vs_HC
FNDC10,0.058473,0.45897,1.9881,0.23086,0.81742,0.99999,Mast,CD_vs_HC
AL691432.2,0.12837,0.36116,1.5442,0.23387,0.81508,0.99999,Mast,CD_vs_HC
MIB2,0.49782,1.1245,1.2483,0.90083,0.36768,0.99999,Mast,CD_vs_HC
MMP23B,0.044965,0.27388,3.06,0.089503,0.92868,0.99999,Mast,CD_vs_HC
CDK11B,3.2836,-0.15152,0.54359,-0.27874,0.78045,0.99999,Mast,CD_vs_HC
FO704657.1,0.0134,0.11503,4.0126,0.028666,0.97713,0.99999,Mast,CD_vs_HC
SLC35E2B,0.42856,0.17734,1.4294,0.12407,0.90126,0.99999,Mast,CD_vs_HC
CDK11A,1.8786,-0.4532,0.68082,-0.66567,0.50563,0.99999,Mast,CD_vs_HC
SLC35E2A,0.40861,1.2392,1.448,0.85583,0.39209,0.99999,Mast,CD_vs_HC
NADK,0.35753,1.2111,1.3569,0.89256,0.37209,0.99999,Mast,CD_vs_HC
GNB1,7.5101,-0.33535,0.47112,-0.71182,0.47657,0.99999,Mast,CD_vs_HC
GABRD,0.17594,0.73984,2.5178,0.29384,0.76888,0.99999,Mast,CD_vs_HC
PRKCZ,0.26536,1.0317,1.2486,0.82625,0.40866,0.99999,Mast,CD_vs_HC
AL590822.2,0.092989,0.45268,3.279,0.13805,0.8902,0.99999,Mast,CD_vs_HC
FAAP20,2.5393,1.9496,0.97152,2.0068,0.04477,0.99999,Mast,CD_vs_HC
SKI,1.53,0.27829,0.8281,0.33605,0.73683,0.99999,Mast,CD_vs_HC
MORN1,0.48397,0.59911,1.9963,0.30011,0.76409,0.99999,Mast,CD_vs_HC
RER1,5.7337,1.3268,0.73535,1.8042,0.071193,0.99999,Mast,CD_vs_HC
PEX10,0.66177,0.29408,1.243,0.23658,0.81298,0.99999,Mast,CD_vs_HC
PANK4,0.35463,0.12677,1.7653,0.071815,0.94275,0.99999,Mast,CD_vs_HC
AL139246.5,0.37947,1.2847,1.5593,0.8239,0.41,0.99999,Mast,CD_vs_HC
TNFRSF14-AS1,0.97118,-0.4477,0.85646,-0.52274,0.60116,0.99999,Mast,CD_vs_HC
TNFRSF14,4.6138,0.20703,0.49798,0.41573,0.67761,0.99999,Mast,CD_vs_HC
FAM213B,0.54045,0.63812,1.4082,0.45315,0.65044,0.99999,Mast,CD_vs_HC
MMEL1,0.2083,0.20816,1.6665,0.12491,0.9006,0.99999,Mast,CD_vs_HC
TTC34,0.024934,0.45267,4.0613,0.11146,0.91125,0.99999,Mast,CD_vs_HC
ARHGEF16,0.0134,0.11503,4.0126,0.028666,0.97713,0.99999,Mast,CD_vs_HC
MEGF6,0.20305,0.32124,2.1102,0.15224,0.879,0.99999,Mast,CD_vs_HC
TPRG1L,0.65472,0.16035,1.2017,0.13344,0.89385,0.99999,Mast,CD_vs_HC
WRAP73,1.3093,1.2231,0.84346,1.4501,0.14703,0.99999,Mast,CD_vs_HC
SMIM1,1.6265,0.65885,1.1271,0.58454,0.55886,0.99999,Mast,CD_vs_HC
LRRC47,0.41396,1.0959,1.4291,0.76685,0.44317,0.99999,Mast,CD_vs_HC
AL365330.1,0.50632,2.0922,3.9141,0.53453,0.59297,0.99999,Mast,CD_vs_HC
CEP104,0.62973,-1.2004,1.1641,-1.0312,0.30245,0.99999,Mast,CD_vs_HC
DFFB,0.26604,0.68006,1.3942,0.48777,0.62572,0.99999,Mast,CD_vs_HC
C1orf174,1.5704,0.25201,0.81248,0.31018,0.75642,0.99999,Mast,CD_vs_HC
NPHP4,0.20115,0.74519,1.6811,0.44328,0.65756,0.99999,Mast,CD_vs_HC
KCNAB2,0.8121,0.21731,1.0667,0.20373,0.83857,0.99999,Mast,CD_vs_HC
RPL22,143.69,-0.45515,0.237,-1.9204,0.054803,0.99999,Mast,CD_vs_HC
RNF207,0.080345,1.017,3.099,0.32816,0.74279,0.99999,Mast,CD_vs_HC
ICMT,1.0853,0.68379,1.1274,0.60653,0.54417,0.99999,Mast,CD_vs_HC
GPR153,0.36412,1.5519,1.9501,0.79582,0.42614,0.99999,Mast,CD_vs_HC
ACOT7,13.353,-0.71678,0.44573,-1.6081,0.10781,0.99999,Mast,CD_vs_HC
AL031848.2,0.10737,-0.1173,3.9832,-0.029448,0.97651,0.99999,Mast,CD_vs_HC
HES2,0.090819,1.0159,3.3506,0.30321,0.76173,0.99999,Mast,CD_vs_HC
ESPN,0.026237,-0.11579,3.9935,-0.028995,0.97687,0.99999,Mast,CD_vs_HC
TNFRSF25,0.33163,0.76601,3.8327,0.19986,0.84159,0.99999,Mast,CD_vs_HC
PLEKHG5,0.018728,0.79557,4.012,0.1983,0.84281,0.99999,Mast,CD_vs_HC
NOL9,0.67037,0.37993,1.31,0.29001,0.77181,0.99999,Mast,CD_vs_HC
ZBTB48,1.4268,-0.90179,0.85388,-1.0561,0.29092,0.99999,Mast,CD_vs_HC
KLHL21,1.0568,1.9696,1.6324,1.2066,0.22758,0.99999,Mast,CD_vs_HC
PHF13,0.11872,0.0094085,1.7843,0.005273,0.99579,0.99999,Mast,CD_vs_HC
THAP3,0.31271,0.42041,1.1663,0.36046,0.7185,0.99999,Mast,CD_vs_HC
DNAJC11,0.53339,-0.50601,1.0504,-0.48175,0.62999,0.99999,Mast,CD_vs_HC
AL591163.1,0.026237,-0.11579,3.9935,-0.028995,0.97687,0.99999,Mast,CD_vs_HC
