gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.0134,0.25308,4.129,0.061292,0.95113,0.99973,Mast,UC_vs_CD
AL627309.4,0.024934,0.63531,4.0755,0.15588,0.87612,0.99973,Mast,UC_vs_CD
AL669831.5,0.27635,0.277,1.4892,0.18601,0.85244,0.99973,Mast,UC_vs_CD
LINC00115,0.54833,-0.48393,1.6646,-0.29072,0.77127,0.99973,Mast,UC_vs_CD
FAM41C,0.27371,0.029139,1.8352,0.015878,0.98733,0.99973,Mast,UC_vs_CD
NOC2L,1.8343,-0.0017924,0.97385,-0.0018406,0.99853,0.99973,Mast,UC_vs_CD
KLHL17,0.1013,0.81824,3.5408,0.23109,0.81724,0.99973,Mast,UC_vs_CD
PERM1,0.0134,0.25308,4.129,0.061292,0.95113,0.99973,Mast,UC_vs_CD
AL645608.8,0.84367,0.18198,2.5037,0.072685,0.94206,0.99973,Mast,UC_vs_CD
HES4,5.9806,1.9646,1.8926,1.038,0.29925,0.99973,Mast,UC_vs_CD
ISG15,10.665,0.72341,0.72676,0.9954,0.31954,0.99973,Mast,UC_vs_CD
AGRN,0.25672,1.0027,1.4324,0.7,0.48393,0.99973,Mast,UC_vs_CD
C1orf159,0.12859,1.1602,3.3591,0.34538,0.72981,0.99973,Mast,UC_vs_CD
TNFRSF18,3.164,0.70912,1.2496,0.56748,0.57039,0.99973,Mast,UC_vs_CD
TNFRSF4,3.568,-0.45105,0.99115,-0.45508,0.64905,0.99973,Mast,UC_vs_CD
SDF4,2.3569,-0.33174,0.83442,-0.39757,0.69095,0.99973,Mast,UC_vs_CD
B3GALT6,0.47767,1.7939,2.3414,0.76618,0.44357,0.99973,Mast,UC_vs_CD
C1QTNF12,0.0134,0.25308,4.129,0.061292,0.95113,0.99973,Mast,UC_vs_CD
UBE2J2,1.1669,-0.51305,1.1311,-0.45358,0.65013,0.99973,Mast,UC_vs_CD
