gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.0134,0.3681,4.0861,0.090086,0.92822,,Mast,UC_vs_HC
AL627309.4,0.024934,1.088,4.0829,0.26647,0.78988,,Mast,UC_vs_HC
AL669831.5,0.27635,0.87656,1.5137,0.57909,0.56253,,Mast,UC_vs_HC
LINC00115,0.54833,-0.52564,1.6161,-0.32526,0.74499,,Mast,UC_vs_HC
FAM41C,0.27371,0.49404,1.838,0.2688,0.78808,,Mast,UC_vs_HC
NOC2L,1.8343,-1.286,0.87933,-1.4625,0.14361,0.99956,Mast,UC_vs_HC
KLHL17,0.1013,0.70483,3.4585,0.2038,0.83851,,Mast,UC_vs_HC
PERM1,0.0134,0.3681,4.0861,0.090086,0.92822,,Mast,UC_vs_HC
AL645608.8,0.84367,-0.97612,2.4042,-0.406,0.68474,,Mast,UC_vs_HC
HES4,5.9806,2.6529,1.9104,1.3887,0.16494,0.99956,Mast,UC_vs_HC
ISG15,10.665,0.72989,0.71944,1.0145,0.31033,0.99956,Mast,UC_vs_HC
AGRN,0.25672,0.80929,1.3081,0.6187,0.53611,,Mast,UC_vs_HC
C1orf159,0.12859,1.6131,3.3648,0.47941,0.63164,,Mast,UC_vs_HC
TNFRSF18,3.164,1.9138,1.2961,1.4766,0.1398,0.99956,Mast,UC_vs_HC
TNFRSF4,3.568,0.54583,1.0147,0.53793,0.59063,0.99956,Mast,UC_vs_HC
SDF4,2.3569,0.25769,0.84327,0.30558,0.75992,0.99956,Mast,UC_vs_HC
B3GALT6,0.47767,1.4875,2.2161,0.67121,0.50209,,Mast,UC_vs_HC
C1QTNF12,0.0134,0.3681,4.0861,0.090086,0.92822,,Mast,UC_vs_HC
UBE2J2,1.1669,-0.2749,1.1153,-0.24648,0.80531,0.99956,Mast,UC_vs_HC
ACAP3,0.51808,0.22855,1.3043,0.17523,0.8609,,Mast,UC_vs_HC
