gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.03381,-0.96361,4.0296,-0.23913,0.81101,,Monocyte (subtipo indeterminado),CD_vs_HC
AL669831.5,1.9474,-0.78136,0.87832,-0.8896,0.37368,,Monocyte (subtipo indeterminado),CD_vs_HC
FAM87B,0.086602,-0.61911,3.7277,-0.16608,0.86809,,Monocyte (subtipo indeterminado),CD_vs_HC
LINC00115,0.61527,0.88918,1.5352,0.57919,0.56246,,Monocyte (subtipo indeterminado),CD_vs_HC
FAM41C,0.47345,-0.42411,1.3899,-0.30514,0.76026,,Monocyte (subtipo indeterminado),CD_vs_HC
AL645608.7,0.064054,-0.34101,3.9661,-0.08598,0.93148,,Monocyte (subtipo indeterminado),CD_vs_HC
AL645608.3,0.017525,-0.98895,4.0323,-0.24526,0.80626,,Monocyte (subtipo indeterminado),CD_vs_HC
SAMD11,0.033978,-1.0577,4.0391,-0.26186,0.79343,,Monocyte (subtipo indeterminado),CD_vs_HC
NOC2L,5.9637,-0.00095546,0.69134,-0.0013821,0.9989,0.99924,Monocyte (subtipo indeterminado),CD_vs_HC
KLHL17,0.58664,-0.9916,1.3922,-0.71227,0.4763,,Monocyte (subtipo indeterminado),CD_vs_HC
PLEKHN1,0.34683,0.44914,1.6969,0.26468,0.79125,,Monocyte (subtipo indeterminado),CD_vs_HC
AL645608.8,1.8794,-1.4343,0.97231,-1.4752,0.14016,,Monocyte (subtipo indeterminado),CD_vs_HC
HES4,3.955,1.6691,1.4944,1.1169,0.26404,,Monocyte (subtipo indeterminado),CD_vs_HC
ISG15,84.933,1.0775,0.54685,1.9704,0.048793,0.25786,Monocyte (subtipo indeterminado),CD_vs_HC
AGRN,2.2959,0.75535,0.84917,0.88951,0.37373,,Monocyte (subtipo indeterminado),CD_vs_HC
C1orf159,0.72528,0.15432,1.4622,0.10554,0.91595,,Monocyte (subtipo indeterminado),CD_vs_HC
AL390719.2,0.091516,-0.23793,3.9555,-0.060151,0.95203,,Monocyte (subtipo indeterminado),CD_vs_HC
TTLL10,0.26857,-2.3636,3.5709,-0.6619,0.50803,,Monocyte (subtipo indeterminado),CD_vs_HC
TNFRSF18,4.5818,2.8334,1.263,2.2435,0.024865,,Monocyte (subtipo indeterminado),CD_vs_HC
TNFRSF4,5.9536,2.6889,1.1113,2.4196,0.015539,0.13824,Monocyte (subtipo indeterminado),CD_vs_HC
SDF4,9.8972,0.34883,0.4429,0.78759,0.43094,0.72786,Monocyte (subtipo indeterminado),CD_vs_HC
B3GALT6,4.3733,-0.38981,0.60826,-0.64087,0.52161,,Monocyte (subtipo indeterminado),CD_vs_HC
C1QTNF12,0.31982,-2.1034,4.0289,-0.52208,0.60162,,Monocyte (subtipo indeterminado),CD_vs_HC
UBE2J2,7.7981,0.031845,0.52049,0.061183,0.95121,0.98357,Monocyte (subtipo indeterminado),CD_vs_HC
SCNN1D,0.083704,-1.4093,3.6294,-0.38829,0.6978,,Monocyte (subtipo indeterminado),CD_vs_HC
ACAP3,3.0803,-0.37698,0.66669,-0.56545,0.57177,,Monocyte (subtipo indeterminado),CD_vs_HC
PUSL1,2.1093,0.089723,0.77461,0.11583,0.90779,,Monocyte (subtipo indeterminado),CD_vs_HC
INTS11,7.2818,0.099137,0.43542,0.22768,0.81989,0.93789,Monocyte (subtipo indeterminado),CD_vs_HC
CPTP,1.1038,-0.10599,0.93042,-0.11391,0.90931,,Monocyte (subtipo indeterminado),CD_vs_HC
TAS1R3,0.011331,-0.99223,4.0325,-0.24606,0.80564,,Monocyte (subtipo indeterminado),CD_vs_HC
DVL1,1.5097,-0.75448,0.88428,-0.85322,0.39354,,Monocyte (subtipo indeterminado),CD_vs_HC
MXRA8,0.011331,-0.99223,4.0325,-0.24606,0.80564,,Monocyte (subtipo indeterminado),CD_vs_HC
AURKAIP1,34.685,0.62641,0.41903,1.4949,0.13494,0.43067,Monocyte (subtipo indeterminado),CD_vs_HC
CCNL2,9.0996,-0.34598,0.36217,-0.95528,0.33944,0.65704,Monocyte (subtipo indeterminado),CD_vs_HC
MRPL20,47.053,0.005844,0.19204,0.030431,0.97572,0.99101,Monocyte (subtipo indeterminado),CD_vs_HC
AL391244.3,0.14649,-1.1537,3.0329,-0.38039,0.70366,,Monocyte (subtipo indeterminado),CD_vs_HC
ANKRD65,0.11694,-0.3012,3.5673,-0.084434,0.93271,,Monocyte (subtipo indeterminado),CD_vs_HC
VWA1,0.20445,0.55523,2.3955,0.23178,0.81671,,Monocyte (subtipo indeterminado),CD_vs_HC
ATAD3C,0.20061,-1.2873,2.2056,-0.58362,0.55948,,Monocyte (subtipo indeterminado),CD_vs_HC
ATAD3B,3.3951,-1.3987,0.66654,-2.0984,0.035867,,Monocyte (subtipo indeterminado),CD_vs_HC
ATAD3A,1.9865,-0.80581,0.70432,-1.1441,0.25259,,Monocyte (subtipo indeterminado),CD_vs_HC
SSU72,24.271,-0.092244,0.28206,-0.32704,0.74364,0.90553,Monocyte (subtipo indeterminado),CD_vs_HC
AL645728.1,0.9282,-1.4492,1.0061,-1.4404,0.14976,,Monocyte (subtipo indeterminado),CD_vs_HC
FNDC10,1.2323,-0.88629,1.0351,-0.85626,0.39185,,Monocyte (subtipo indeterminado),CD_vs_HC
AL691432.2,0.68678,-1.1759,1.1551,-1.018,0.30868,,Monocyte (subtipo indeterminado),CD_vs_HC
MIB2,1.3018,0.60661,0.89358,0.67886,0.49723,,Monocyte (subtipo indeterminado),CD_vs_HC
MMP23B,0.54091,-1.3852,3.1013,-0.44666,0.65512,,Monocyte (subtipo indeterminado),CD_vs_HC
CDK11B,8.3341,-0.92064,0.41938,-2.1953,0.028144,0.19516,Monocyte (subtipo indeterminado),CD_vs_HC
FO704657.1,0.37577,-2.133,2.2454,-0.94995,0.34214,,Monocyte (subtipo indeterminado),CD_vs_HC
SLC35E2B,1.5774,0.10135,0.81637,0.12415,0.9012,,Monocyte (subtipo indeterminado),CD_vs_HC
CDK11A,6.335,-0.80619,0.53085,-1.5187,0.12885,0.42173,Monocyte (subtipo indeterminado),CD_vs_HC
