gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.03381,0.05112,4.0286,0.012689,0.98988,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL669831.5,1.9474,-0.011808,0.80824,-0.014609,0.98834,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FAM87B,0.086602,0.26287,3.6526,0.071969,0.94263,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
LINC00115,0.61527,0.63235,0.95175,0.66441,0.50643,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FAM41C,0.47345,-0.024102,1.2865,-0.018735,0.98505,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL645608.7,0.064054,-1.0213,4.0296,-0.25344,0.79993,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL645608.3,0.017525,-0.41743,4.1056,-0.10167,0.91901,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SAMD11,0.033978,0.037131,4.051,0.0091659,0.99269,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
NOC2L,5.9637,0.28673,0.64099,0.44732,0.65464,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
KLHL17,0.58664,0.73006,1.273,0.57348,0.56632,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PLEKHN1,0.34683,-1.4211,1.6162,-0.87933,0.37922,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL645608.8,1.8794,0.98047,0.92904,1.0554,0.29126,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
HES4,3.955,1.2,1.2526,0.95803,0.33805,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ISG15,84.933,-0.055088,0.54107,-0.10181,0.9189,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AGRN,2.2959,-0.45435,0.69655,-0.65228,0.51422,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
C1orf159,0.72528,0.52627,1.2078,0.43574,0.66302,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL390719.2,0.091516,-1.2643,4.0426,-0.31275,0.75447,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TTLL10,0.26857,0.15651,3.7513,0.041723,0.96672,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TNFRSF18,4.5818,-0.53128,1.0178,-0.52202,0.60166,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TNFRSF4,5.9536,-1.02,0.95705,-1.0658,0.28653,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SDF4,9.8972,-0.78657,0.41195,-1.9094,0.05621,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
B3GALT6,4.3733,-1.9861,0.67857,-2.9269,0.0034238,0.99681,Monocyte (subtipo indeterminado),UC_vs_CD
C1QTNF12,0.31982,0.64818,4.1051,0.15789,0.87454,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
UBE2J2,7.7981,-0.44575,0.48717,-0.91499,0.3602,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SCNN1D,0.083704,0.13878,3.6766,0.037747,0.96989,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ACAP3,3.0803,-0.12914,0.60381,-0.21388,0.83064,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PUSL1,2.1093,-0.75472,0.71887,-1.0499,0.29378,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
INTS11,7.2818,0.082713,0.36694,0.22541,0.82166,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CPTP,1.1038,-1.9925,0.99273,-2.0071,0.044741,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TAS1R3,0.011331,-0.50304,4.1177,-0.12216,0.90277,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
DVL1,1.5097,-0.85542,0.90979,-0.94025,0.34709,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MXRA8,0.011331,-0.50304,4.1177,-0.12216,0.90277,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AURKAIP1,34.685,-0.79391,0.4086,-1.943,0.052015,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CCNL2,9.0996,0.06515,0.31026,0.20999,0.83368,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MRPL20,47.053,0.2992,0.16477,1.8159,0.069386,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL391244.3,0.14649,-0.83166,3.186,-0.26104,0.79406,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ANKRD65,0.11694,-0.22525,3.5028,-0.064306,0.94873,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
VWA1,0.20445,-1.7848,2.3509,-0.75922,0.44772,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ATAD3C,0.20061,-1.1515,2.413,-0.4772,0.63322,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ATAD3B,3.3951,0.51457,0.64479,0.79804,0.42485,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ATAD3A,1.9865,-0.15813,0.65155,-0.24269,0.80824,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SSU72,24.271,-0.04243,0.25676,-0.16525,0.86875,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL645728.1,0.9282,0.4429,0.94965,0.46638,0.64094,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FNDC10,1.2323,0.43493,0.95319,0.45629,0.64818,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL691432.2,0.68678,0.53481,1.0718,0.49899,0.61778,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MIB2,1.3018,-1.1504,0.77019,-1.4937,0.13526,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MMP23B,0.54091,0.68167,3.0801,0.22132,0.82485,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CDK11B,8.3341,0.36375,0.3931,0.92534,0.35479,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FO704657.1,0.37577,0.057326,2.3947,0.023939,0.9809,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SLC35E2B,1.5774,-0.39873,0.65201,-0.61154,0.54084,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CDK11A,6.335,0.008091,0.50939,0.015884,0.98733,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SLC35E2A,0.39395,-1.0177,1.3606,-0.74797,0.45448,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
NADK,17.963,0.16184,0.30524,0.53021,0.59597,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
GNB1,52.568,-0.19438,0.2272,-0.85553,0.39226,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL109917.1,0.022647,0.55865,4.1095,0.13594,0.89187,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TMEM52,0.21665,0.05754,4.0182,0.01432,0.98857,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CFAP74,0.022647,0.55865,4.1095,0.13594,0.89187,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
GABRD,0.19263,-0.80976,2.3995,-0.33748,0.73576,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PRKCZ,0.36063,-1.5725,1.3896,-1.1316,0.25781,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL590822.2,0.62133,0.40366,2.2423,0.18002,0.85714,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PRKCZ-AS1,0.01622,-0.38934,4.1096,-0.094739,0.92452,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FAAP20,13.616,-1.4091,0.73683,-1.9123,0.055836,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SKI,6.8003,0.20649,0.39867,0.51795,0.60449,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MORN1,0.25249,-1.7573,2.0331,-0.86434,0.3874,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
RER1,25.644,-0.5916,0.38155,-1.5505,0.12102,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PEX10,1.5755,-1.1984,0.81993,-1.4616,0.14384,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL139246.1,0.017619,0.53452,4.1219,0.12968,0.89682,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PANK4,1.3223,1.0167,0.78948,1.2878,0.19782,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
HES5,0.01622,-0.38934,4.1096,-0.094739,0.92452,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL139246.5,6.6051,-1.3213,1.0281,-1.2853,0.1987,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TNFRSF14-AS1,1.8996,-1.6592,0.75582,-2.1952,0.028152,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TNFRSF14,39.249,-0.23184,0.32828,-0.70623,0.48005,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL139246.3,0.27627,-1.4013,2.161,-0.64847,0.51668,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
FAM213B,2.7337,-1.4536,0.72965,-1.9921,0.046358,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MMEL1,0.028856,-0.89567,4.067,-0.22023,0.82569,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TTC34,0.051597,0.45055,3.9912,0.11289,0.91012,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
LINC00982,0.017525,-0.41743,4.1056,-0.10167,0.91901,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PRDM16,0.36299,-1.2803,2.369,-0.54044,0.5889,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL590438.1,0.040237,0.9145,4.0558,0.22548,0.8216,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ARHGEF16,0.1215,0.071534,3.4416,0.020785,0.98342,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
MEGF6,0.19952,-1.0324,2.0259,-0.5096,0.61034,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL513320.1,0.17494,0.76252,4.087,0.18657,0.852,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TPRG1L,5.6264,0.36331,0.49372,0.73586,0.46181,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
WRAP73,1.922,-1.7687,0.69975,-2.5276,0.011485,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TP73,0.017525,-0.41743,4.1056,-0.10167,0.91901,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
SMIM1,0.39404,-0.88894,1.3427,-0.66206,0.50793,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
LRRC47,4.7328,-0.38397,0.61051,-0.62893,0.52939,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CEP104,2.7866,-0.19069,0.57493,-0.33167,0.74013,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
DFFB,1.0374,1.475,0.94131,1.5669,0.11713,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
C1orf174,4.5738,-0.070414,0.43205,-0.16298,0.87054,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
LINC01134,0.10729,0.5337,4.1163,0.12966,0.89684,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL805961.2,0.19443,-1.7317,2.4635,-0.70296,0.48208,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AJAP1,0.044838,0.12584,4.1825,0.030086,0.976,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
NPHP4,1.0959,0.68691,0.83722,0.82046,0.41195,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
KCNAB2,9.8622,0.046232,0.30567,0.15125,0.87978,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CHD5,0.07399,-0.82722,4.0882,-0.20234,0.83965,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
RPL22,451.12,0.39568,0.19945,1.9839,0.047267,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
RNF207,0.45439,1.5357,1.1613,1.3224,0.18604,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ICMT,3.263,-0.10863,0.64015,-0.1697,0.86525,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
GPR153,0.78574,-0.65361,0.98992,-0.66027,0.50908,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ACOT7,4.2188,-0.54832,0.84007,-0.65272,0.51394,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL031848.2,0.011331,-0.50304,4.1177,-0.12216,0.90277,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
HES2,0.42329,-1.4185,2.4003,-0.59096,0.55455,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ESPN,0.01622,-0.38934,4.1096,-0.094739,0.92452,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
TNFRSF25,1.281,-2.1292,1.1244,-1.8937,0.05827,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PLEKHG5,2.9707,-1.7546,1.4602,-1.2017,0.2295,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
NOL9,2.6978,-0.3285,0.5464,-0.60121,0.5477,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
ZBTB48,2.9859,-0.50199,0.50427,-0.99548,0.3195,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
KLHL21,10.011,-0.46945,0.57597,-0.81506,0.41504,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PHF13,2.3318,0.45906,0.61901,0.7416,0.45833,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
THAP3,1.2918,-0.073745,0.67508,-0.10924,0.91301,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
DNAJC11,3.2952,0.059066,0.5199,0.11361,0.90955,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
AL591163.1,0.25129,-0.82867,2.9279,-0.28303,0.77716,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
CAMTA1,23.812,-0.27157,0.33726,-0.80523,0.42069,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
VAMP3,19.732,-0.13701,0.27028,-0.5069,0.61222,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
PER3,4.9092,-3.4411,0.90628,-3.7969,0.00014652,0.19088,Monocyte (subtipo indeterminado),UC_vs_CD
Z98884.1,0.040172,0.022007,4.0245,0.0054682,0.99564,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
UTS2,0.38117,2.335,3.968,0.58845,0.55623,0.99993,Monocyte (subtipo indeterminado),UC_vs_CD
