gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.03381,-0.91249,4.0786,-0.22373,0.82297,,Monocyte (subtipo indeterminado),UC_vs_HC
AL669831.5,1.9474,-0.79317,0.91484,-0.867,0.38594,0.68221,Monocyte (subtipo indeterminado),UC_vs_HC
FAM87B,0.086602,-0.35624,3.741,-0.095225,0.92414,,Monocyte (subtipo indeterminado),UC_vs_HC
LINC00115,0.61527,1.5215,1.5366,0.99017,0.32209,,Monocyte (subtipo indeterminado),UC_vs_HC
FAM41C,0.47345,-0.44822,1.4524,-0.3086,0.75763,,Monocyte (subtipo indeterminado),UC_vs_HC
AL645608.7,0.064054,-1.3623,4.1525,-0.32806,0.74286,,Monocyte (subtipo indeterminado),UC_vs_HC
AL645608.3,0.017525,-1.4064,4.1568,-0.33833,0.73511,,Monocyte (subtipo indeterminado),UC_vs_HC
SAMD11,0.033978,-1.0206,4.0831,-0.24995,0.80263,,Monocyte (subtipo indeterminado),UC_vs_HC
NOC2L,5.9637,0.28577,0.69373,0.41194,0.68038,0.86687,Monocyte (subtipo indeterminado),UC_vs_HC
KLHL17,0.58664,-0.26154,1.4031,-0.1864,0.85213,,Monocyte (subtipo indeterminado),UC_vs_HC
PLEKHN1,0.34683,-0.972,1.8943,-0.51311,0.60787,,Monocyte (subtipo indeterminado),UC_vs_HC
AL645608.8,1.8794,-0.45386,0.94419,-0.48069,0.63074,0.8385,Monocyte (subtipo indeterminado),UC_vs_HC
HES4,3.955,2.8691,1.4961,1.9177,0.055154,0.25839,Monocyte (subtipo indeterminado),UC_vs_HC
ISG15,84.933,1.0224,0.55142,1.8542,0.063714,0.2779,Monocyte (subtipo indeterminado),UC_vs_HC
AGRN,2.2959,0.301,0.88262,0.34103,0.73308,0.89211,Monocyte (subtipo indeterminado),UC_vs_HC
C1orf159,0.72528,0.68059,1.4606,0.46595,0.64125,,Monocyte (subtipo indeterminado),UC_vs_HC
AL390719.2,0.091516,-1.5022,4.1599,-0.36112,0.71801,,Monocyte (subtipo indeterminado),UC_vs_HC
TTLL10,0.26857,-2.2071,3.6162,-0.61033,0.54164,,Monocyte (subtipo indeterminado),UC_vs_HC
TNFRSF18,4.5818,2.3022,1.3039,1.7656,0.077459,0.30852,Monocyte (subtipo indeterminado),UC_vs_HC
TNFRSF4,5.9536,1.6689,1.1494,1.4519,0.14653,0.42788,Monocyte (subtipo indeterminado),UC_vs_HC
SDF4,9.8972,-0.43775,0.46632,-0.93873,0.34787,0.65436,Monocyte (subtipo indeterminado),UC_vs_HC
B3GALT6,4.3733,-2.3759,0.7241,-3.2812,0.0010338,0.022031,Monocyte (subtipo indeterminado),UC_vs_HC
C1QTNF12,0.31982,-1.4552,3.993,-0.36444,0.71553,,Monocyte (subtipo indeterminado),UC_vs_HC
UBE2J2,7.7981,-0.41391,0.53823,-0.76901,0.44189,0.72489,Monocyte (subtipo indeterminado),UC_vs_HC
SCNN1D,0.083704,-1.2705,3.6686,-0.34631,0.72911,,Monocyte (subtipo indeterminado),UC_vs_HC
ACAP3,3.0803,-0.50612,0.69459,-0.72866,0.46621,0.74337,Monocyte (subtipo indeterminado),UC_vs_HC
PUSL1,2.1093,-0.66499,0.83554,-0.79588,0.4261,0.71368,Monocyte (subtipo indeterminado),UC_vs_HC
INTS11,7.2818,0.18185,0.44572,0.40799,0.68328,0.8678,Monocyte (subtipo indeterminado),UC_vs_HC
CPTP,1.1038,-2.0985,1.1274,-1.8614,0.062688,,Monocyte (subtipo indeterminado),UC_vs_HC
TAS1R3,0.011331,-1.4953,4.1619,-0.35927,0.71939,,Monocyte (subtipo indeterminado),UC_vs_HC
DVL1,1.5097,-1.6099,0.97413,-1.6527,0.0984,0.34925,Monocyte (subtipo indeterminado),UC_vs_HC
MXRA8,0.011331,-1.4953,4.1619,-0.35927,0.71939,,Monocyte (subtipo indeterminado),UC_vs_HC
AURKAIP1,34.685,-0.1675,0.43077,-0.38883,0.6974,0.87416,Monocyte (subtipo indeterminado),UC_vs_HC
CCNL2,9.0996,-0.28083,0.37016,-0.75866,0.44806,0.72761,Monocyte (subtipo indeterminado),UC_vs_HC
MRPL20,47.053,0.30504,0.19359,1.5757,0.11509,0.37545,Monocyte (subtipo indeterminado),UC_vs_HC
AL391244.3,0.14649,-1.9853,3.2205,-0.61646,0.53759,,Monocyte (subtipo indeterminado),UC_vs_HC
ANKRD65,0.11694,-0.52645,3.6404,-0.14462,0.88501,,Monocyte (subtipo indeterminado),UC_vs_HC
VWA1,0.20445,-1.2296,2.6071,-0.47163,0.63719,,Monocyte (subtipo indeterminado),UC_vs_HC
ATAD3C,0.20061,-2.4387,2.4494,-0.99563,0.31943,,Monocyte (subtipo indeterminado),UC_vs_HC
ATAD3B,3.3951,-0.88412,0.66018,-1.3392,0.18051,0.4739,Monocyte (subtipo indeterminado),UC_vs_HC
ATAD3A,1.9865,-0.96393,0.72315,-1.333,0.18254,0.47612,Monocyte (subtipo indeterminado),UC_vs_HC
SSU72,24.271,-0.13467,0.28747,-0.46848,0.63944,0.84274,Monocyte (subtipo indeterminado),UC_vs_HC
AL645728.1,0.9282,-1.0063,0.99583,-1.0105,0.31227,,Monocyte (subtipo indeterminado),UC_vs_HC
FNDC10,1.2323,-0.45136,1.0411,-0.43355,0.66461,,Monocyte (subtipo indeterminado),UC_vs_HC
AL691432.2,0.68678,-0.64106,1.155,-0.55505,0.57886,,Monocyte (subtipo indeterminado),UC_vs_HC
MIB2,1.3018,-0.54378,0.99276,-0.54775,0.58386,,Monocyte (subtipo indeterminado),UC_vs_HC
MMP23B,0.54091,-0.70355,3.0919,-0.22754,0.82,,Monocyte (subtipo indeterminado),UC_vs_HC
CDK11B,8.3341,-0.55689,0.42202,-1.3196,0.18697,0.48174,Monocyte (subtipo indeterminado),UC_vs_HC
FO704657.1,0.37577,-2.0757,2.3282,-0.89152,0.37265,,Monocyte (subtipo indeterminado),UC_vs_HC
SLC35E2B,1.5774,-0.29738,0.85934,-0.34606,0.7293,0.89027,Monocyte (subtipo indeterminado),UC_vs_HC
CDK11A,6.335,-0.79809,0.53963,-1.479,0.13915,0.41568,Monocyte (subtipo indeterminado),UC_vs_HC
SLC35E2A,0.39395,-0.39223,1.6871,-0.23249,0.81616,,Monocyte (subtipo indeterminado),UC_vs_HC
NADK,17.963,-0.37614,0.33025,-1.139,0.25472,0.56202,Monocyte (subtipo indeterminado),UC_vs_HC
GNB1,52.568,0.19216,0.24826,0.77405,0.4389,0.72214,Monocyte (subtipo indeterminado),UC_vs_HC
AL109917.1,0.022647,-0.95377,4.0826,-0.23362,0.81528,,Monocyte (subtipo indeterminado),UC_vs_HC
TMEM52,0.21665,-0.86704,4.0754,-0.21275,0.83152,,Monocyte (subtipo indeterminado),UC_vs_HC
CFAP74,0.022647,-0.95377,4.0826,-0.23362,0.81528,,Monocyte (subtipo indeterminado),UC_vs_HC
GABRD,0.19263,-2.26,2.4275,-0.93101,0.35185,,Monocyte (subtipo indeterminado),UC_vs_HC
PRKCZ,0.36063,-1.0064,1.7066,-0.5897,0.55539,,Monocyte (subtipo indeterminado),UC_vs_HC
AL590822.2,0.62133,-0.11864,2.384,-0.049764,0.96031,,Monocyte (subtipo indeterminado),UC_vs_HC
PRKCZ-AS1,0.01622,-1.4085,4.157,-0.33881,0.73475,,Monocyte (subtipo indeterminado),UC_vs_HC
FAAP20,13.616,-0.42145,0.7781,-0.54164,0.58807,0.81425,Monocyte (subtipo indeterminado),UC_vs_HC
SKI,6.8003,0.086365,0.46904,0.18413,0.85391,0.94356,Monocyte (subtipo indeterminado),UC_vs_HC
MORN1,0.25249,-2.2983,2.1644,-1.0619,0.28829,,Monocyte (subtipo indeterminado),UC_vs_HC
RER1,25.644,0.59175,0.42956,1.3776,0.16833,0.45985,Monocyte (subtipo indeterminado),UC_vs_HC
PEX10,1.5755,-1.4936,0.91525,-1.6319,0.1027,0.35586,Monocyte (subtipo indeterminado),UC_vs_HC
AL139246.1,0.017619,-0.99307,4.0984,-0.24231,0.80854,,Monocyte (subtipo indeterminado),UC_vs_HC
PANK4,1.3223,-0.13989,0.86467,-0.16178,0.87148,,Monocyte (subtipo indeterminado),UC_vs_HC
HES5,0.01622,-1.4085,4.157,-0.33881,0.73475,,Monocyte (subtipo indeterminado),UC_vs_HC
AL139246.5,6.6051,-0.35344,1.0829,-0.32638,0.74414,0.89536,Monocyte (subtipo indeterminado),UC_vs_HC
