gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL669831.5,0.39925,0.9242,2.284,0.40464,0.68574,0.99553,N1,UC_vs_CD
LINC00115,0.035259,0.57985,4.1749,0.13889,0.88954,0.99553,N1,UC_vs_CD
FAM41C,0.0738,0.29634,4.1055,0.072182,0.94246,0.99553,N1,UC_vs_CD
NOC2L,1.2211,2.3008,1.5652,1.47,0.14157,0.99553,N1,UC_vs_CD
AL645608.8,0.64133,-1.9036,2.4229,-0.78564,0.43208,0.99553,N1,UC_vs_CD
HES4,1.438,-3.9749,1.9021,-2.0897,0.036642,0.99553,N1,UC_vs_CD
ISG15,16.884,-1.2814,1.0018,-1.2791,0.20085,0.99553,N1,UC_vs_CD
AGRN,0.11463,0.076876,4.1956,0.018323,0.98538,0.99553,N1,UC_vs_CD
C1orf159,0.035259,0.57985,4.1749,0.13889,0.88954,0.99553,N1,UC_vs_CD
AL390719.2,0.11463,0.076876,4.1956,0.018323,0.98538,0.99553,N1,UC_vs_CD
TNFRSF18,0.035259,0.57985,4.1749,0.13889,0.88954,0.99553,N1,UC_vs_CD
TNFRSF4,0.30371,2.096,4.2116,0.49768,0.61871,0.99553,N1,UC_vs_CD
SDF4,0.75664,-1.1599,1.8487,-0.62738,0.53041,0.99553,N1,UC_vs_CD
B3GALT6,0.16001,1.7355,4.296,0.40399,0.68622,0.99553,N1,UC_vs_CD
UBE2J2,0.78035,-0.26648,1.5451,-0.17247,0.86307,0.99553,N1,UC_vs_CD
ACAP3,0.10906,-0.1236,2.6028,-0.047487,0.96213,0.99553,N1,UC_vs_CD
PUSL1,0.11463,0.076876,4.1956,0.018323,0.98538,0.99553,N1,UC_vs_CD
INTS11,0.66687,1.9565,1.8699,1.0463,0.29543,0.99553,N1,UC_vs_CD
CPTP,0.15185,1.7355,4.296,0.40399,0.68622,0.99553,N1,UC_vs_CD
TAS1R3,0.11463,0.076876,4.1956,0.018323,0.98538,0.99553,N1,UC_vs_CD
DVL1,0.15185,1.7355,4.296,0.40399,0.68622,0.99553,N1,UC_vs_CD
AURKAIP1,3.8208,-0.83248,1.0985,-0.75782,0.44856,0.99553,N1,UC_vs_CD
CCNL2,0.69217,-0.86798,1.6273,-0.53338,0.59377,0.99553,N1,UC_vs_CD
MRPL20,2.5319,-0.27407,1.02,-0.2687,0.78816,0.99553,N1,UC_vs_CD
VWA1,0.11463,0.076876,4.1956,0.018323,0.98538,0.99553,N1,UC_vs_CD
ATAD3B,0.0738,0.29634,4.1055,0.072182,0.94246,0.99553,N1,UC_vs_CD
SSU72,4.3675,0.3482,0.66577,0.52299,0.60098,0.99553,N1,UC_vs_CD
