gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.54428,-0.34431,1.3848,-0.24864,0.80364,,PC IgA,CD_vs_HC
AL627309.3,0.019447,0.76256,4.0537,0.18811,0.85079,,PC IgA,CD_vs_HC
AL669831.5,12.245,0.20439,0.3738,0.5468,0.58451,0.82662,PC IgA,CD_vs_HC
FAM87B,0.18161,1.0904,2.483,0.43916,0.66055,,PC IgA,CD_vs_HC
LINC00115,5.1199,-0.63782,0.59088,-1.0794,0.28039,,PC IgA,CD_vs_HC
FAM41C,3.2742,-0.59585,0.74365,-0.80125,0.42299,,PC IgA,CD_vs_HC
AL645608.3,0.019447,0.76256,4.0537,0.18811,0.85079,,PC IgA,CD_vs_HC
SAMD11,2.3489,-0.72517,0.95059,-0.76286,0.44555,,PC IgA,CD_vs_HC
NOC2L,60.216,-0.62605,0.18499,-3.3842,0.00071394,0.038481,PC IgA,CD_vs_HC
KLHL17,2.2277,-0.10802,0.72264,-0.14948,0.88118,,PC IgA,CD_vs_HC
PLEKHN1,6.8996,0.022947,0.56102,0.040901,0.96737,,PC IgA,CD_vs_HC
PERM1,0.19787,0.14076,2.0818,0.067617,0.94609,,PC IgA,CD_vs_HC
AL645608.8,0.034126,-0.26704,4.0393,-0.066109,0.94729,,PC IgA,CD_vs_HC
HES4,0.23526,-0.55785,2.7105,-0.20581,0.83694,,PC IgA,CD_vs_HC
ISG15,130.83,0.20558,0.42695,0.48151,0.63015,0.85252,PC IgA,CD_vs_HC
AL645608.2,0.01927,0.39033,4.1093,0.094987,0.92432,,PC IgA,CD_vs_HC
AGRN,0.79163,-0.024434,1.1003,-0.022205,0.98228,,PC IgA,CD_vs_HC
AL645608.9,0.070507,0.39034,4.1093,0.094988,0.92432,,PC IgA,CD_vs_HC
C1orf159,2.8065,1.4645,0.7467,1.9613,0.049841,,PC IgA,CD_vs_HC
LINC01342,0.01927,0.39033,4.1093,0.094987,0.92432,,PC IgA,CD_vs_HC
AL390719.2,0.18118,0.64755,2.2675,0.28558,0.7752,,PC IgA,CD_vs_HC
TTLL10-AS1,0.034126,-0.26704,4.0393,-0.066109,0.94729,,PC IgA,CD_vs_HC
TTLL10,0.52028,0.058222,1.4795,0.039353,0.96861,,PC IgA,CD_vs_HC
TNFRSF18,88.052,1.0836,1.046,1.0359,0.30023,0.63888,PC IgA,CD_vs_HC
TNFRSF4,53.427,0.72614,0.84136,0.86305,0.38811,0.70523,PC IgA,CD_vs_HC
SDF4,65.952,0.29748,0.6067,0.49033,0.6239,0.85049,PC IgA,CD_vs_HC
B3GALT6,2.8779,0.040167,0.95401,0.042104,0.96642,,PC IgA,CD_vs_HC
C1QTNF12,0.59416,-0.6923,1.3692,-0.50564,0.61311,,PC IgA,CD_vs_HC
AL162741.1,0.056569,-0.094467,4.0105,-0.023555,0.98121,,PC IgA,CD_vs_HC
UBE2J2,31.722,0.8533,0.6809,1.2532,0.21013,0.54704,PC IgA,CD_vs_HC
LINC01786,0.09274,0.97927,2.2883,0.42795,0.66869,,PC IgA,CD_vs_HC
SCNN1D,0.4126,0.59834,1.6306,0.36694,0.71366,,PC IgA,CD_vs_HC
ACAP3,14.306,0.90077,0.5334,1.6887,0.091269,0.36933,PC IgA,CD_vs_HC
PUSL1,16.304,1.5282,0.69908,2.186,0.028818,0.22281,PC IgA,CD_vs_HC
INTS11,47.097,-0.34905,0.3054,-1.1429,0.25307,0.59333,PC IgA,CD_vs_HC
CPTP,15.899,1.2229,0.66487,1.8393,0.065868,0.3187,PC IgA,CD_vs_HC
TAS1R3,9.2508,0.53986,0.5266,1.0252,0.30528,0.64325,PC IgA,CD_vs_HC
DVL1,6.778,0.66334,0.45705,1.4513,0.14669,,PC IgA,CD_vs_HC
MXRA8,0.54705,-0.20025,1.6576,-0.1208,0.90385,,PC IgA,CD_vs_HC
AURKAIP1,299.61,1.3907,0.56225,2.4734,0.013382,0.15568,PC IgA,CD_vs_HC
CCNL2,45.94,0.2592,0.28352,0.91422,0.3606,0.68761,PC IgA,CD_vs_HC
MRPL20,307.75,-0.12249,0.17727,-0.69095,0.4896,0.77606,PC IgA,CD_vs_HC
AL391244.3,0.77554,0.98655,1.1474,0.85979,0.38991,,PC IgA,CD_vs_HC
VWA1,0.17642,0.49835,3.208,0.15535,0.87655,,PC IgA,CD_vs_HC
ATAD3C,29.918,-0.6299,0.38042,-1.6558,0.097761,0.38041,PC IgA,CD_vs_HC
ATAD3B,8.4311,-0.15024,0.45522,-0.33004,0.74137,0.90761,PC IgA,CD_vs_HC
ATAD3A,9.2504,0.55002,0.61656,0.89209,0.37235,0.69541,PC IgA,CD_vs_HC
TMEM240,0.020148,-0.083718,4.06,-0.02062,0.98355,,PC IgA,CD_vs_HC
SSU72,112.68,-0.17801,0.29399,-0.6055,0.54485,0.80506,PC IgA,CD_vs_HC
AL645728.1,6.3389,-0.16621,0.50554,-0.32878,0.74232,,PC IgA,CD_vs_HC
FNDC10,0.01927,0.39033,4.1093,0.094987,0.92432,,PC IgA,CD_vs_HC
