gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.54428,-0.99582,1.4124,-0.70507,0.48077,,PC IgA,UC_vs_CD
AL627309.3,0.019447,-1.726,4.0626,-0.42486,0.67094,,PC IgA,UC_vs_CD
AL669831.5,12.245,-0.44489,0.35385,-1.2573,0.20864,0.47553,PC IgA,UC_vs_CD
FAM87B,0.18161,-2.1337,2.4904,-0.85678,0.39157,,PC IgA,UC_vs_CD
LINC00115,5.1199,-0.2602,0.58189,-0.44716,0.65476,,PC IgA,UC_vs_CD
FAM41C,3.2742,0.29556,0.70937,0.41664,0.67694,,PC IgA,UC_vs_CD
AL645608.3,0.019447,-1.726,4.0626,-0.42486,0.67094,,PC IgA,UC_vs_CD
SAMD11,2.3489,-0.049406,0.93081,-0.053078,0.95767,,PC IgA,UC_vs_CD
NOC2L,60.216,0.16165,0.17855,0.90536,0.36528,0.62969,PC IgA,UC_vs_CD
KLHL17,2.2277,0.14194,0.66425,0.21368,0.8308,,PC IgA,UC_vs_CD
PLEKHN1,6.8996,-0.5568,0.54713,-1.0177,0.30883,,PC IgA,UC_vs_CD
PERM1,0.19787,-1.1377,2.0613,-0.55192,0.581,,PC IgA,UC_vs_CD
AL645608.8,0.034126,-1.1446,4.1169,-0.27803,0.78099,,PC IgA,UC_vs_CD
HES4,0.23526,0.35093,2.6247,0.1337,0.89364,,PC IgA,UC_vs_CD
ISG15,130.83,-0.18068,0.42789,-0.42225,0.67284,0.83794,PC IgA,UC_vs_CD
AL645608.2,0.01927,-0.83315,4.0397,-0.20624,0.8366,,PC IgA,UC_vs_CD
AGRN,0.79163,-0.3863,1.0391,-0.37178,0.71006,,PC IgA,UC_vs_CD
AL645608.9,0.070507,-0.83316,4.0397,-0.20624,0.8366,,PC IgA,UC_vs_CD
C1orf159,2.8065,-1.1331,0.67591,-1.6764,0.093664,,PC IgA,UC_vs_CD
LINC01342,0.01927,-0.83315,4.0397,-0.20624,0.8366,,PC IgA,UC_vs_CD
AL390719.2,0.18118,-2.6123,2.4458,-1.0681,0.28547,,PC IgA,UC_vs_CD
TTLL10-AS1,0.034126,-1.1446,4.1169,-0.27803,0.78099,,PC IgA,UC_vs_CD
TTLL10,0.52028,-3.014,1.8295,-1.6475,0.099452,,PC IgA,UC_vs_CD
TNFRSF18,88.052,-2.9452,1.0613,-2.7752,0.0055169,0.064045,PC IgA,UC_vs_CD
TNFRSF4,53.427,-1.8764,0.85174,-2.203,0.027594,0.16108,PC IgA,UC_vs_CD
SDF4,65.952,-0.40235,0.60901,-0.66067,0.50883,0.74004,PC IgA,UC_vs_CD
B3GALT6,2.8779,0.5773,0.89128,0.64773,0.51716,,PC IgA,UC_vs_CD
C1QTNF12,0.59416,-0.5641,1.4029,-0.40208,0.68762,,PC IgA,UC_vs_CD
AL162741.1,0.056569,-0.1171,3.9387,-0.029732,0.97628,,PC IgA,UC_vs_CD
UBE2J2,31.722,-0.70008,0.67851,-1.0318,0.30217,0.57245,PC IgA,UC_vs_CD
LINC01786,0.09274,-1.2227,2.1583,-0.56654,0.57103,,PC IgA,UC_vs_CD
SCNN1D,0.4126,-0.026658,1.4618,-0.018236,0.98545,,PC IgA,UC_vs_CD
ACAP3,14.306,-0.90032,0.51775,-1.7389,0.082052,0.29099,PC IgA,UC_vs_CD
PUSL1,16.304,-0.42988,0.67096,-0.64069,0.52172,0.74665,PC IgA,UC_vs_CD
INTS11,47.097,0.26114,0.29833,0.87534,0.38139,0.64142,PC IgA,UC_vs_CD
CPTP,15.899,-0.83752,0.64908,-1.2903,0.19694,0.46183,PC IgA,UC_vs_CD
TAS1R3,9.2508,-1.0239,0.51386,-1.9926,0.046305,0.21417,PC IgA,UC_vs_CD
DVL1,6.778,-0.51948,0.41913,-1.2394,0.2152,,PC IgA,UC_vs_CD
MXRA8,0.54705,-0.10827,1.6068,-0.067382,0.94628,,PC IgA,UC_vs_CD
AURKAIP1,299.61,-0.39495,0.56549,-0.69842,0.48492,0.72294,PC IgA,UC_vs_CD
CCNL2,45.94,-0.54299,0.27756,-1.9563,0.050431,0.22376,PC IgA,UC_vs_CD
MRPL20,307.75,0.39237,0.17536,2.2375,0.025257,0.15419,PC IgA,UC_vs_CD
AL391244.3,0.77554,-0.83379,1.0034,-0.83097,0.40599,,PC IgA,UC_vs_CD
VWA1,0.17642,-1.5953,3.2084,-0.49724,0.61902,,PC IgA,UC_vs_CD
ATAD3C,29.918,0.73419,0.36957,1.9866,0.046965,0.21587,PC IgA,UC_vs_CD
ATAD3B,8.4311,-0.33118,0.43781,-0.75645,0.44938,0.69642,PC IgA,UC_vs_CD
ATAD3A,9.2504,-0.68819,0.60051,-1.146,0.25179,0.52039,PC IgA,UC_vs_CD
TMEM240,0.020148,-1.1713,4.1158,-0.28458,0.77597,,PC IgA,UC_vs_CD
SSU72,112.68,0.16452,0.2921,0.56323,0.57328,0.78273,PC IgA,UC_vs_CD
AL645728.1,6.3389,0.53982,0.46055,1.1721,0.24115,,PC IgA,UC_vs_CD
FNDC10,0.01927,-0.83315,4.0397,-0.20624,0.8366,,PC IgA,UC_vs_CD
AL691432.2,1.8218,0.2121,0.82612,0.25675,0.79738,,PC IgA,UC_vs_CD
MIB2,18.833,-0.85877,0.64466,-1.3321,0.18282,0.4424,PC IgA,UC_vs_CD
MMP23B,1.1936,-2.2158,1.1301,-1.9607,0.049913,,PC IgA,UC_vs_CD
CDK11B,41.94,-0.04773,0.2893,-0.16498,0.86896,0.9434,PC IgA,UC_vs_CD
FO704657.1,0.82933,-0.16421,0.96976,-0.16933,0.86553,,PC IgA,UC_vs_CD
SLC35E2B,22.529,-0.072377,0.32349,-0.22374,0.82296,0.9192,PC IgA,UC_vs_CD
CDK11A,37.135,-0.058718,0.25345,-0.23167,0.81679,0.91681,PC IgA,UC_vs_CD
SLC35E2A,8.1779,-0.2622,0.37622,-0.69694,0.48584,0.72375,PC IgA,UC_vs_CD
NADK,14.263,-0.16567,0.36111,-0.45878,0.64639,0.82456,PC IgA,UC_vs_CD
GNB1,55.68,-0.29613,0.22154,-1.3367,0.18133,0.44093,PC IgA,UC_vs_CD
AL109917.1,0.16824,-0.56186,2.0789,-0.27027,0.78696,,PC IgA,UC_vs_CD
CALML6,0.11559,-1.6655,2.6263,-0.63416,0.52598,,PC IgA,UC_vs_CD
TMEM52,10.14,-2.5174,0.63093,-3.99,6.6075e-05,0.0030702,PC IgA,UC_vs_CD
CFAP74,0.29444,-1.6601,2.053,-0.80862,0.41874,,PC IgA,UC_vs_CD
GABRD,0.41827,-1.8699,1.3949,-1.3406,0.18007,,PC IgA,UC_vs_CD
AL391845.1,0.54393,-0.67145,2.0104,-0.33399,0.73839,,PC IgA,UC_vs_CD
PRKCZ,4.5441,-0.84218,0.65517,-1.2854,0.19864,,PC IgA,UC_vs_CD
AL590822.2,1.1261,-0.37065,0.95941,-0.38633,0.69925,,PC IgA,UC_vs_CD
PRKCZ-AS1,0.027225,-0.58439,4.0461,-0.14443,0.88516,,PC IgA,UC_vs_CD
FAAP20,51.151,-1.2501,0.68594,-1.8225,0.068375,0.26402,PC IgA,UC_vs_CD
SKI,5.7513,-1.5935,0.46538,-3.4241,0.00061688,,PC IgA,UC_vs_CD
MORN1,3.6596,-0.73484,0.58965,-1.2462,0.21268,,PC IgA,UC_vs_CD
RER1,197.87,-0.6369,0.52705,-1.2084,0.22688,0.49635,PC IgA,UC_vs_CD
PEX10,9.8643,-1.2483,0.64058,-1.9486,0.051341,0.22633,PC IgA,UC_vs_CD
PLCH2,0.73342,-1.9627,1.4572,-1.3469,0.178,,PC IgA,UC_vs_CD
AL139246.1,0.029344,-0.74475,4.0369,-0.18448,0.85363,,PC IgA,UC_vs_CD
PANK4,7.1456,-0.21119,0.49192,-0.42932,0.66769,,PC IgA,UC_vs_CD
AL139246.5,7.4648,-2.2376,0.66269,-3.3765,0.00073409,,PC IgA,UC_vs_CD
TNFRSF14-AS1,27.478,-0.045028,0.28134,-0.16005,0.87284,0.94422,PC IgA,UC_vs_CD
TNFRSF14,139.5,-0.27589,0.32536,-0.84798,0.39645,0.65202,PC IgA,UC_vs_CD
AL139246.3,2.3127,0.27184,0.7059,0.38509,0.70017,,PC IgA,UC_vs_CD
FAM213B,3.6793,-0.84977,0.77647,-1.0944,0.27378,,PC IgA,UC_vs_CD
MMEL1,0.019447,-1.726,4.0626,-0.42486,0.67094,,PC IgA,UC_vs_CD
TTC34,0.62411,-0.083647,1.0799,-0.077456,0.93826,,PC IgA,UC_vs_CD
PRDM16,0.019447,-1.726,4.0626,-0.42486,0.67094,,PC IgA,UC_vs_CD
ARHGEF16,0.44171,-1.7397,1.4652,-1.1873,0.2351,,PC IgA,UC_vs_CD
AL512413.1,0.010074,-1.1982,4.1149,-0.29118,0.77092,,PC IgA,UC_vs_CD
MEGF6,0.093996,-1.2931,4.1132,-0.31438,0.75323,,PC IgA,UC_vs_CD
AL513320.1,0.99349,-0.56291,1.3552,-0.41538,0.67787,,PC IgA,UC_vs_CD
TPRG1L,14.654,-0.45397,0.51577,-0.88018,0.37876,0.64039,PC IgA,UC_vs_CD
WRAP73,18.89,-0.28218,0.38157,-0.73954,0.45958,0.70454,PC IgA,UC_vs_CD
TP73,2.5774,0.70605,0.54668,1.2915,0.19652,,PC IgA,UC_vs_CD
AL136528.1,0.11067,0.43371,2.6295,0.16494,0.86899,,PC IgA,UC_vs_CD
CCDC27,0.048462,-2.1749,4.0265,-0.54015,0.5891,,PC IgA,UC_vs_CD
SMIM1,26.156,-0.42432,0.59272,-0.71588,0.47407,0.71455,PC IgA,UC_vs_CD
LRRC47,11.843,-0.44328,0.36382,-1.2184,0.22307,0.49263,PC IgA,UC_vs_CD
AL365330.1,0.50836,-2.0507,1.8119,-1.1318,0.25771,,PC IgA,UC_vs_CD
CEP104,15.391,-0.69019,0.39933,-1.7284,0.083921,0.29496,PC IgA,UC_vs_CD
DFFB,5.255,0.091497,0.40846,0.224,0.82275,,PC IgA,UC_vs_CD
C1orf174,19.5,-0.078551,0.25327,-0.31015,0.75645,0.88338,PC IgA,UC_vs_CD
LINC01134,1.0415,-1.0192,0.97557,-1.0447,0.29616,,PC IgA,UC_vs_CD
AL805961.2,0.019447,-1.726,4.0626,-0.42486,0.67094,,PC IgA,UC_vs_CD
AJAP1,0.64445,2.3621,1.7242,1.37,0.17069,,PC IgA,UC_vs_CD
NPHP4,2.8246,0.25144,0.57842,0.4347,0.66378,,PC IgA,UC_vs_CD
KCNAB2,15.26,-0.031662,0.30628,-0.10338,0.91766,0.96541,PC IgA,UC_vs_CD
CHD5,0.029015,-1.8976,4.0477,-0.46881,0.63921,,PC IgA,UC_vs_CD
RPL22,2194.1,0.27982,0.17804,1.5717,0.11602,0.34756,PC IgA,UC_vs_CD
AL031847.1,1.3881,-0.46278,1.0792,-0.42882,0.66806,,PC IgA,UC_vs_CD
RNF207,8.1738,-1.5232,0.66238,-2.2996,0.021472,0.143,PC IgA,UC_vs_CD
ICMT,10.161,0.22972,0.37033,0.62031,0.53506,0.75615,PC IgA,UC_vs_CD
LINC00337,0.70344,-0.27193,1.4416,-0.18864,0.85038,,PC IgA,UC_vs_CD
GPR153,0.13682,-0.80293,2.6322,-0.30504,0.76033,,PC IgA,UC_vs_CD
ACOT7,1.7497,-0.043896,0.68568,-0.064018,0.94896,,PC IgA,UC_vs_CD
AL031848.2,0.59186,0.11335,1.2322,0.091991,0.92671,,PC IgA,UC_vs_CD
HES2,0.52648,-1.5572,1.3611,-1.144,0.25261,,PC IgA,UC_vs_CD
