gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.54428,-1.3401,1.3436,-0.99744,0.31855,,PC IgA,UC_vs_HC
AL627309.3,0.019447,-0.96348,4.1142,-0.23418,0.81484,,PC IgA,UC_vs_HC
AL669831.5,12.245,-0.2405,0.35225,-0.68276,0.49476,0.78655,PC IgA,UC_vs_HC
FAM87B,0.18161,-1.0433,2.5801,-0.40437,0.68594,,PC IgA,UC_vs_HC
LINC00115,5.1199,-0.89802,0.54497,-1.6478,0.099388,0.36822,PC IgA,UC_vs_HC
FAM41C,3.2742,-0.3003,0.6594,-0.45541,0.64882,0.87254,PC IgA,UC_vs_HC
AL645608.3,0.019447,-0.96348,4.1142,-0.23418,0.81484,,PC IgA,UC_vs_HC
SAMD11,2.3489,-0.77458,0.869,-0.89135,0.37274,0.69373,PC IgA,UC_vs_HC
NOC2L,60.216,-0.4644,0.16707,-2.7796,0.005443,0.066027,PC IgA,UC_vs_HC
KLHL17,2.2277,0.033921,0.64038,0.05297,0.95776,0.98841,PC IgA,UC_vs_HC
PLEKHN1,6.8996,-0.53386,0.53866,-0.99109,0.32164,0.64841,PC IgA,UC_vs_HC
PERM1,0.19787,-0.99689,2.04,-0.48868,0.62507,,PC IgA,UC_vs_HC
AL645608.8,0.034126,-1.4117,4.0499,-0.34857,0.72741,,PC IgA,UC_vs_HC
HES4,0.23526,-0.20692,2.5089,-0.082477,0.93427,,PC IgA,UC_vs_HC
ISG15,130.83,0.024903,0.42634,0.05841,0.95342,0.9864,PC IgA,UC_vs_HC
AL645608.2,0.01927,-0.44282,4.0434,-0.10952,0.91279,,PC IgA,UC_vs_HC
AGRN,0.79163,-0.41074,0.99664,-0.41212,0.68025,,PC IgA,UC_vs_HC
AL645608.9,0.070507,-0.44282,4.0434,-0.10952,0.91279,,PC IgA,UC_vs_HC
C1orf159,2.8065,0.33143,0.74256,0.44634,0.65535,0.87522,PC IgA,UC_vs_HC
LINC01342,0.01927,-0.44282,4.0434,-0.10952,0.91279,,PC IgA,UC_vs_HC
AL390719.2,0.18118,-1.9648,2.4805,-0.79209,0.42831,,PC IgA,UC_vs_HC
TTLL10-AS1,0.034126,-1.4117,4.0499,-0.34857,0.72741,,PC IgA,UC_vs_HC
TTLL10,0.52028,-2.9558,1.8064,-1.6363,0.10177,,PC IgA,UC_vs_HC
TNFRSF18,88.052,-1.8616,1.0648,-1.7483,0.080414,0.32888,PC IgA,UC_vs_HC
TNFRSF4,53.427,-1.1503,0.85677,-1.3425,0.17942,0.49546,PC IgA,UC_vs_HC
SDF4,65.952,-0.10487,0.60946,-0.17207,0.86338,0.95664,PC IgA,UC_vs_HC
B3GALT6,2.8779,0.61747,0.88843,0.69502,0.48704,0.78262,PC IgA,UC_vs_HC
C1QTNF12,0.59416,-1.2564,1.2731,-0.98687,0.3237,,PC IgA,UC_vs_HC
AL162741.1,0.056569,-0.21157,3.8962,-0.054302,0.95669,,PC IgA,UC_vs_HC
UBE2J2,31.722,0.15322,0.68495,0.2237,0.82299,0.94234,PC IgA,UC_vs_HC
LINC01786,0.09274,-0.24346,2.2817,-0.1067,0.91503,,PC IgA,UC_vs_HC
SCNN1D,0.4126,0.57168,1.5137,0.37768,0.70567,,PC IgA,UC_vs_HC
ACAP3,14.306,0.0004511,0.53366,0.00084529,0.99933,0.9997,PC IgA,UC_vs_HC
PUSL1,16.304,1.0983,0.70289,1.5625,0.11816,0.4025,PC IgA,UC_vs_HC
INTS11,47.097,-0.087904,0.28957,-0.30357,0.76146,0.9205,PC IgA,UC_vs_HC
CPTP,15.899,0.38539,0.66806,0.57687,0.56403,0.82581,PC IgA,UC_vs_HC
TAS1R3,9.2508,-0.48407,0.51947,-0.93185,0.35141,0.67695,PC IgA,UC_vs_HC
DVL1,6.778,0.14386,0.43511,0.33063,0.74093,0.91432,PC IgA,UC_vs_HC
MXRA8,0.54705,-0.30852,1.5178,-0.20326,0.83893,,PC IgA,UC_vs_HC
AURKAIP1,299.61,0.99575,0.5675,1.7546,0.079322,0.32713,PC IgA,UC_vs_HC
CCNL2,45.94,-0.28379,0.27674,-1.0255,0.30515,0.633,PC IgA,UC_vs_HC
MRPL20,307.75,0.26988,0.17313,1.5588,0.11904,0.40377,PC IgA,UC_vs_HC
AL391244.3,0.77554,0.15277,1.0986,0.13906,0.8894,,PC IgA,UC_vs_HC
VWA1,0.17642,-1.097,3.1947,-0.34338,0.73131,,PC IgA,UC_vs_HC
ATAD3C,29.918,0.10429,0.35302,0.29544,0.76766,0.92286,PC IgA,UC_vs_HC
ATAD3B,8.4311,-0.48142,0.42323,-1.1375,0.25533,0.58135,PC IgA,UC_vs_HC
ATAD3A,9.2504,-0.13817,0.60705,-0.22761,0.81995,0.94187,PC IgA,UC_vs_HC
TMEM240,0.020148,-1.255,4.0699,-0.30836,0.75781,,PC IgA,UC_vs_HC
SSU72,112.68,-0.013487,0.28902,-0.046666,0.96278,0.99021,PC IgA,UC_vs_HC
AL645728.1,6.3389,0.37361,0.4424,0.8445,0.39839,0.71559,PC IgA,UC_vs_HC
FNDC10,0.01927,-0.44282,4.0434,-0.10952,0.91279,,PC IgA,UC_vs_HC
AL691432.2,1.8218,0.5737,0.83842,0.68426,0.49381,0.786,PC IgA,UC_vs_HC
MIB2,18.833,0.25175,0.6611,0.38081,0.70334,0.89862,PC IgA,UC_vs_HC
MMP23B,1.1936,-1.1762,1.1845,-0.99304,0.32069,0.64742,PC IgA,UC_vs_HC
CDK11B,41.94,-0.41864,0.28027,-1.4937,0.13525,0.43083,PC IgA,UC_vs_HC
FO704657.1,0.82933,0.31407,1.0139,0.30975,0.75675,0.91855,PC IgA,UC_vs_HC
SLC35E2B,22.529,0.12695,0.32093,0.39556,0.69243,0.89396,PC IgA,UC_vs_HC
CDK11A,37.135,-0.83893,0.23698,-3.54,0.00040009,0.011043,PC IgA,UC_vs_HC
SLC35E2A,8.1779,-0.12309,0.37314,-0.32989,0.74148,0.91456,PC IgA,UC_vs_HC
NADK,14.263,-0.094217,0.35542,-0.26509,0.79094,0.93101,PC IgA,UC_vs_HC
GNB1,55.68,-0.10085,0.21909,-0.46032,0.64528,0.87035,PC IgA,UC_vs_HC
AL109917.1,0.16824,0.16795,2.1681,0.077464,0.93825,,PC IgA,UC_vs_HC
CALML6,0.11559,-0.95186,2.6822,-0.35488,0.72268,,PC IgA,UC_vs_HC
TMEM52,10.14,-2.4824,0.62466,-3.9739,7.0695e-05,0.0029856,PC IgA,UC_vs_HC
CFAP74,0.29444,-1.2422,2.0733,-0.59915,0.54907,,PC IgA,UC_vs_HC
GABRD,0.41827,-0.91984,1.483,-0.62027,0.53508,,PC IgA,UC_vs_HC
AL391845.1,0.54393,0.49717,2.1722,0.22887,0.81897,,PC IgA,UC_vs_HC
PRKCZ,4.5441,-0.27276,0.67342,-0.40503,0.68545,0.89035,PC IgA,UC_vs_HC
AL590822.2,1.1261,-1.2763,0.85519,-1.4924,0.13559,0.43149,PC IgA,UC_vs_HC
PRKCZ-AS1,0.027225,-0.54623,4.0324,-0.13546,0.89225,,PC IgA,UC_vs_HC
FAAP20,51.151,0.27242,0.6978,0.39039,0.69625,0.8957,PC IgA,UC_vs_HC
SKI,5.7513,-0.83584,0.48249,-1.7324,0.08321,0.33583,PC IgA,UC_vs_HC
