gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.075097,-1.1469,4.1566,-0.27594,0.7826,,PC IgG,CD_vs_HC
AL669831.5,4.7075,0.32454,0.7391,0.4391,0.66059,,PC IgG,CD_vs_HC
LINC00115,1.8771,-1.446,0.90934,-1.5901,0.11181,,PC IgG,CD_vs_HC
FAM41C,1.2968,-0.87612,1.0977,-0.79813,0.42479,,PC IgG,CD_vs_HC
AL645608.5,0.013002,-1.6732,4.2332,-0.39526,0.69265,,PC IgG,CD_vs_HC
SAMD11,0.44174,0.011959,2.336,0.0051192,0.99592,,PC IgG,CD_vs_HC
NOC2L,17.401,-0.26497,0.33465,-0.79177,0.42849,,PC IgG,CD_vs_HC
KLHL17,0.75247,0.30039,1.4709,0.20423,0.83818,,PC IgG,CD_vs_HC
PLEKHN1,2.6226,1.0274,1.0935,0.93952,0.34746,,PC IgG,CD_vs_HC
PERM1,0.0068398,-1.6036,4.2315,-0.37895,0.70472,,PC IgG,CD_vs_HC
HES4,0.10043,-1.143,2.933,-0.3897,0.69676,,PC IgG,CD_vs_HC
ISG15,37.261,0.89045,0.72415,1.2296,0.21883,0.46553,PC IgG,CD_vs_HC
AL645608.2,0.053354,-1.576,4.2301,-0.37257,0.70947,,PC IgG,CD_vs_HC
AGRN,0.019842,-1.6398,4.2318,-0.38749,0.69839,,PC IgG,CD_vs_HC
C1orf159,0.51119,0.64599,1.8599,0.34733,0.72834,,PC IgG,CD_vs_HC
LINC01342,0.020149,-1.6732,4.2332,-0.39526,0.69265,,PC IgG,CD_vs_HC
TTLL10,0.04686,-1.0359,4.1546,-0.24934,0.8031,,PC IgG,CD_vs_HC
TNFRSF18,19.351,-0.9072,1.0315,-0.87952,0.37912,0.63553,PC IgG,CD_vs_HC
TNFRSF4,11.273,0.0019559,0.93041,0.0021022,0.99832,,PC IgG,CD_vs_HC
SDF4,20.676,0.050819,0.74543,0.068174,0.94565,0.97167,PC IgG,CD_vs_HC
B3GALT6,0.49014,-0.0075595,1.904,-0.0039704,0.99683,,PC IgG,CD_vs_HC
C1QTNF12,0.40222,-0.89746,2.1559,-0.41628,0.6772,,PC IgG,CD_vs_HC
AL162741.1,0.013002,-1.6732,4.2332,-0.39526,0.69265,,PC IgG,CD_vs_HC
UBE2J2,9.3788,0.50757,0.82257,0.61706,0.53719,,PC IgG,CD_vs_HC
LINC01786,0.098597,-0.90993,3.6463,-0.24955,0.80294,,PC IgG,CD_vs_HC
SCNN1D,0.1603,-0.69625,2.4202,-0.28768,0.77359,,PC IgG,CD_vs_HC
ACAP3,5.8486,0.30443,0.67489,0.45108,0.65193,,PC IgG,CD_vs_HC
PUSL1,4.3223,1.8267,1.1246,1.6243,0.10432,,PC IgG,CD_vs_HC
INTS11,14.395,-0.39388,0.38224,-1.0304,0.3028,,PC IgG,CD_vs_HC
CPTP,7.0154,0.68915,0.87983,0.78328,0.43346,,PC IgG,CD_vs_HC
TAS1R3,5.9577,0.76718,0.72733,1.0548,0.29152,,PC IgG,CD_vs_HC
DVL1,3.5869,0.2992,0.76225,0.39252,0.69467,,PC IgG,CD_vs_HC
MXRA8,0.01368,-1.5797,4.2303,-0.37342,0.70883,,PC IgG,CD_vs_HC
AURKAIP1,95.594,1.9794,0.63116,3.1362,0.0017115,0.026533,PC IgG,CD_vs_HC
CCNL2,15.866,0.32329,0.49473,0.65347,0.51345,,PC IgG,CD_vs_HC
MRPL20,87.851,0.078544,0.25953,0.30264,0.76216,0.88439,PC IgG,CD_vs_HC
AL391244.3,0.26827,-2.3747,3.2498,-0.73072,0.46495,,PC IgG,CD_vs_HC
ANKRD65,0.0068398,-1.6036,4.2315,-0.37895,0.70472,,PC IgG,CD_vs_HC
VWA1,0.08001,-1.1551,4.0803,-0.2831,0.7771,,PC IgG,CD_vs_HC
ATAD3C,8.7632,-0.5836,0.66611,-0.87613,0.38096,,PC IgG,CD_vs_HC
ATAD3B,3.4704,-0.86693,0.70641,-1.2272,0.21973,,PC IgG,CD_vs_HC
ATAD3A,3.8801,0.16632,0.80887,0.20562,0.83709,,PC IgG,CD_vs_HC
SSU72,34.418,-0.69907,0.31055,-2.2511,0.02438,0.12908,PC IgG,CD_vs_HC
AL645728.1,2.1863,-1.1389,0.89889,-1.267,0.20515,,PC IgG,CD_vs_HC
AL691432.2,0.65077,-0.32412,1.582,-0.20488,0.83766,,PC IgG,CD_vs_HC
MIB2,5.9144,0.84572,0.91783,0.92144,0.35682,,PC IgG,CD_vs_HC
MMP23B,0.15426,-0.93184,2.7693,-0.33649,0.7365,,PC IgG,CD_vs_HC
CDK11B,11.095,-0.44502,0.51758,-0.8598,0.3899,,PC IgG,CD_vs_HC
FO704657.1,0.58305,-1.7306,1.6036,-1.0792,0.28051,,PC IgG,CD_vs_HC
SLC35E2B,8.9552,-0.11992,0.50217,-0.23879,0.81126,,PC IgG,CD_vs_HC
CDK11A,11.259,-0.75684,0.54163,-1.3973,0.16232,,PC IgG,CD_vs_HC
SLC35E2A,3.8162,0.12544,0.65745,0.19079,0.84869,,PC IgG,CD_vs_HC
NADK,4.2871,-0.20388,0.699,-0.29167,0.77054,,PC IgG,CD_vs_HC
GNB1,19.576,0.6058,0.40539,1.4944,0.13508,0.34789,PC IgG,CD_vs_HC
AL109917.1,0.026682,-1.6248,4.2303,-0.38408,0.70092,,PC IgG,CD_vs_HC
CALML6,0.051616,-1.1388,4.1732,-0.27288,0.78495,,PC IgG,CD_vs_HC
TMEM52,2.6397,-0.56484,1.1647,-0.48494,0.62772,,PC IgG,CD_vs_HC
CFAP74,0.053795,-1.2268,4.1632,-0.29468,0.76824,,PC IgG,CD_vs_HC
GABRD,0.14475,-1.3498,4.0313,-0.33483,0.73775,,PC IgG,CD_vs_HC
PRKCZ,0.96779,0.36561,1.2122,0.30161,0.76295,,PC IgG,CD_vs_HC
AL590822.2,0.24992,-1.1204,1.7955,-0.62402,0.53261,,PC IgG,CD_vs_HC
PRKCZ-AS1,0.04686,-1.0359,4.1546,-0.24934,0.8031,,PC IgG,CD_vs_HC
FAAP20,18.246,1.0692,0.84834,1.2604,0.20754,,PC IgG,CD_vs_HC
SKI,1.6549,0.0013868,0.97534,0.0014218,0.99887,,PC IgG,CD_vs_HC
MORN1,0.51865,0.5257,1.8005,0.29198,0.7703,,PC IgG,CD_vs_HC
RER1,66.359,1.6549,0.58748,2.817,0.0048473,0.047708,PC IgG,CD_vs_HC
PEX10,3.1786,0.48536,1.0254,0.47333,0.63598,,PC IgG,CD_vs_HC
PLCH2,0.22589,-1.4831,2.6916,-0.551,0.58163,,PC IgG,CD_vs_HC
PANK4,2.1888,0.5304,0.98984,0.53585,0.59207,,PC IgG,CD_vs_HC
HES5,0.49465,-3.0311,4.0392,-0.75043,0.453,,PC IgG,CD_vs_HC
AL139246.5,1.2178,0.1338,1.185,0.11291,0.9101,,PC IgG,CD_vs_HC
TNFRSF14-AS1,5.7042,1.0236,0.70483,1.4523,0.14642,,PC IgG,CD_vs_HC
TNFRSF14,33.396,-0.16124,0.47308,-0.34083,0.73323,0.86875,PC IgG,CD_vs_HC
AL139246.3,0.29952,-0.009419,1.869,-0.0050395,0.99598,,PC IgG,CD_vs_HC
FAM213B,1.0704,0.11063,1.352,0.081827,0.93478,,PC IgG,CD_vs_HC
TTC34,0.30132,-2.2852,2.2033,-1.0372,0.29965,,PC IgG,CD_vs_HC
ARHGEF16,1.1005,-2.2049,1.3802,-1.5976,0.11014,,PC IgG,CD_vs_HC
AL513320.1,0.24821,0.42171,2.2938,0.18385,0.85413,,PC IgG,CD_vs_HC
TPRG1L,4.6296,0.057542,0.71909,0.08002,0.93622,,PC IgG,CD_vs_HC
WRAP73,5.9207,0.40899,0.61745,0.66239,0.50772,,PC IgG,CD_vs_HC
TP73,1.2935,1.8479,1.5177,1.2175,0.2234,,PC IgG,CD_vs_HC
AL136528.1,0.0068398,-1.6036,4.2315,-0.37895,0.70472,,PC IgG,CD_vs_HC
CCDC27,0.074097,-0.71324,4.1228,-0.173,0.86265,,PC IgG,CD_vs_HC
SMIM1,7.0504,0.31559,0.72907,0.43287,0.66511,,PC IgG,CD_vs_HC
LRRC47,4.7087,-0.91308,0.70579,-1.2937,0.19577,,PC IgG,CD_vs_HC
CEP104,5.495,-0.088159,0.58489,-0.15073,0.88019,,PC IgG,CD_vs_HC
DFFB,2.0181,-0.013504,0.91578,-0.014746,0.98824,,PC IgG,CD_vs_HC
C1orf174,5.9026,-0.02017,0.58541,-0.034454,0.97252,,PC IgG,CD_vs_HC
LINC01134,0.35397,-0.28131,1.8513,-0.15195,0.87923,,PC IgG,CD_vs_HC
AL805961.2,0.034139,-1.6248,4.2303,-0.38408,0.70092,,PC IgG,CD_vs_HC
AJAP1,0.19573,-0.57361,2.7986,-0.20497,0.8376,,PC IgG,CD_vs_HC
NPHP4,1.0544,1.607,1.549,1.0374,0.29954,,PC IgG,CD_vs_HC
KCNAB2,5.8243,-0.15623,0.54717,-0.28553,0.77524,,PC IgG,CD_vs_HC
RPL22,561.79,-0.54092,0.20684,-2.6152,0.0089169,0.067225,PC IgG,CD_vs_HC
AL031847.1,0.24874,-0.39755,1.9837,-0.2004,0.84116,,PC IgG,CD_vs_HC
RNF207,1.3298,0.24426,1.2388,0.19717,0.84369,,PC IgG,CD_vs_HC
ICMT,2.4911,0.37036,0.8817,0.42005,0.67445,,PC IgG,CD_vs_HC
LINC00337,0.19152,-0.51164,2.7072,-0.18899,0.8501,,PC IgG,CD_vs_HC
