gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.075097,-0.84466,3.7985,-0.22237,0.82403,,PC IgG,UC_vs_CD
AL669831.5,4.7075,-1.2778,0.55122,-2.3182,0.02044,,PC IgG,UC_vs_CD
LINC00115,1.8771,-0.68399,0.73004,-0.93692,0.3488,,PC IgG,UC_vs_CD
FAM41C,1.2968,-0.1764,0.78141,-0.22574,0.8214,,PC IgG,UC_vs_CD
AL645608.5,0.013002,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
SAMD11,0.44174,0.43266,1.7561,0.24638,0.80539,,PC IgG,UC_vs_CD
NOC2L,17.401,0.14298,0.22502,0.63541,0.52516,0.78841,PC IgG,UC_vs_CD
KLHL17,0.75247,-0.83209,0.97505,-0.85339,0.39344,,PC IgG,UC_vs_CD
PLEKHN1,2.6226,-0.31785,0.66147,-0.48053,0.63085,,PC IgG,UC_vs_CD
PERM1,0.0068398,-1.1347,3.9654,-0.28616,0.77476,,PC IgG,UC_vs_CD
HES4,0.10043,-0.53214,2.5625,-0.20766,0.83549,,PC IgG,UC_vs_CD
ISG15,37.261,-0.28178,0.65339,-0.43125,0.66629,0.86163,PC IgG,UC_vs_CD
AL645608.2,0.053354,-0.85175,3.9354,-0.21644,0.82865,,PC IgG,UC_vs_CD
AGRN,0.019842,-0.72482,3.9099,-0.18538,0.85293,,PC IgG,UC_vs_CD
C1orf159,0.51119,-0.66434,1.2408,-0.53541,0.59237,,PC IgG,UC_vs_CD
LINC01342,0.020149,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
TTLL10,0.04686,-2.0244,3.9346,-0.51451,0.6069,,PC IgG,UC_vs_CD
TNFRSF18,19.351,-2.7372,1.002,-2.7319,0.0062974,0.12016,PC IgG,UC_vs_CD
TNFRSF4,11.273,-2.8494,0.8873,-3.2113,0.0013215,0.051984,PC IgG,UC_vs_CD
SDF4,20.676,-0.64508,0.6786,-0.95061,0.3418,0.67127,PC IgG,UC_vs_CD
B3GALT6,0.49014,0.68974,1.2918,0.53395,0.59338,,PC IgG,UC_vs_CD
C1QTNF12,0.40222,-1.3358,1.9385,-0.6891,0.49076,,PC IgG,UC_vs_CD
AL162741.1,0.013002,-1.0701,3.9447,-0.27127,0.78618,,PC IgG,UC_vs_CD
UBE2J2,9.3788,-0.59817,0.70078,-0.85358,0.39334,0.7096,PC IgG,UC_vs_CD
LINC01786,0.098597,-0.72212,3.3019,-0.21869,0.82689,,PC IgG,UC_vs_CD
SCNN1D,0.1603,-0.58172,1.985,-0.29306,0.76948,,PC IgG,UC_vs_CD
ACAP3,5.8486,-0.73685,0.50042,-1.4724,0.1409,0.46311,PC IgG,UC_vs_CD
PUSL1,4.3223,-1.0133,0.83585,-1.2123,0.22538,,PC IgG,UC_vs_CD
INTS11,14.395,0.19073,0.27215,0.70084,0.4834,0.76531,PC IgG,UC_vs_CD
CPTP,7.0154,-0.77084,0.73238,-1.0525,0.29256,0.63416,PC IgG,UC_vs_CD
TAS1R3,5.9577,-0.9094,0.52667,-1.7267,0.084222,0.36668,PC IgG,UC_vs_CD
DVL1,3.5869,-1.2819,0.54525,-2.3511,0.018719,,PC IgG,UC_vs_CD
MXRA8,0.01368,-0.88332,3.9385,-0.22428,0.82254,,PC IgG,UC_vs_CD
AURKAIP1,95.594,-0.59071,0.57451,-1.0282,0.30385,0.64287,PC IgG,UC_vs_CD
CCNL2,15.866,-0.69771,0.39785,-1.7537,0.079478,0.35828,PC IgG,UC_vs_CD
MRPL20,87.851,0.26314,0.21493,1.2243,0.22084,0.56286,PC IgG,UC_vs_CD
AL391244.3,0.26827,-0.51273,3.0309,-0.16917,0.86566,,PC IgG,UC_vs_CD
ANKRD65,0.0068398,-1.1347,3.9654,-0.28616,0.77476,,PC IgG,UC_vs_CD
VWA1,0.08001,-1.0565,3.7398,-0.28251,0.77756,,PC IgG,UC_vs_CD
ATAD3C,8.7632,0.69278,0.53666,1.2909,0.19673,0.53331,PC IgG,UC_vs_CD
ATAD3B,3.4704,-0.16377,0.5382,-0.3043,0.7609,,PC IgG,UC_vs_CD
ATAD3A,3.8801,-0.72344,0.61098,-1.1841,0.23639,,PC IgG,UC_vs_CD
SSU72,34.418,0.14119,0.25397,0.55594,0.57825,0.82051,PC IgG,UC_vs_CD
AL645728.1,2.1863,-0.54652,0.66277,-0.82459,0.4096,,PC IgG,UC_vs_CD
AL691432.2,0.65077,-0.10261,1.0999,-0.093284,0.92568,,PC IgG,UC_vs_CD
MIB2,5.9144,-1.3947,0.76402,-1.8255,0.067929,0.33725,PC IgG,UC_vs_CD
MMP23B,0.15426,0.010159,2.3641,0.0042973,0.99657,,PC IgG,UC_vs_CD
CDK11B,11.095,0.50889,0.39173,1.2991,0.19391,0.529,PC IgG,UC_vs_CD
FO704657.1,0.58305,0.73258,1.298,0.5644,0.57248,,PC IgG,UC_vs_CD
SLC35E2B,8.9552,-0.21803,0.3386,-0.64391,0.51963,0.78595,PC IgG,UC_vs_CD
CDK11A,11.259,0.073957,0.44194,0.16735,0.8671,0.94965,PC IgG,UC_vs_CD
SLC35E2A,3.8162,-0.74005,0.40909,-1.809,0.070447,,PC IgG,UC_vs_CD
NADK,4.2871,0.24068,0.4499,0.53496,0.59268,,PC IgG,UC_vs_CD
GNB1,19.576,-0.25746,0.27628,-0.9319,0.35139,0.67753,PC IgG,UC_vs_CD
AL109917.1,0.026682,-0.49635,3.8912,-0.12756,0.8985,,PC IgG,UC_vs_CD
CALML6,0.051616,-1.2012,3.873,-0.31014,0.75645,,PC IgG,UC_vs_CD
TMEM52,2.6397,-1.1017,1.015,-1.0855,0.27772,,PC IgG,UC_vs_CD
CFAP74,0.053795,-1.7532,3.8923,-0.45041,0.65241,,PC IgG,UC_vs_CD
GABRD,0.14475,-2.6212,3.9285,-0.66722,0.50463,,PC IgG,UC_vs_CD
PRKCZ,0.96779,-0.86744,0.81099,-1.0696,0.2848,,PC IgG,UC_vs_CD
AL590822.2,0.24992,-1.2724,1.4589,-0.87221,0.3831,,PC IgG,UC_vs_CD
PRKCZ-AS1,0.04686,-2.0244,3.9346,-0.51451,0.6069,,PC IgG,UC_vs_CD
FAAP20,18.246,-1.2491,0.75707,-1.6499,0.098968,0.39707,PC IgG,UC_vs_CD
SKI,1.6549,-0.15443,0.62878,-0.2456,0.80599,,PC IgG,UC_vs_CD
