gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.075097,-1.9916,4.1749,-0.47704,0.63333,,PC IgG,UC_vs_HC
AL669831.5,4.7075,-0.95329,0.7435,-1.2822,0.19979,0.59975,PC IgG,UC_vs_HC
LINC00115,1.8771,-2.1299,0.86284,-2.4685,0.013568,0.14541,PC IgG,UC_vs_HC
FAM41C,1.2968,-1.0525,1.0281,-1.0238,0.30594,0.7048,PC IgG,UC_vs_HC
AL645608.5,0.013002,-2.7433,4.2513,-0.64528,0.51874,,PC IgG,UC_vs_HC
SAMD11,0.44174,0.44462,2.2728,0.19563,0.8449,,PC IgG,UC_vs_HC
NOC2L,17.401,-0.12199,0.31889,-0.38254,0.70206,0.92361,PC IgG,UC_vs_HC
KLHL17,0.75247,-0.53171,1.4538,-0.36573,0.71457,,PC IgG,UC_vs_HC
PLEKHN1,2.6226,0.70955,1.0769,0.65888,0.50997,0.84053,PC IgG,UC_vs_HC
PERM1,0.0068398,-2.7383,4.2773,-0.64019,0.52205,,PC IgG,UC_vs_HC
HES4,0.10043,-1.6751,2.8925,-0.57913,0.5625,,PC IgG,UC_vs_HC
ISG15,37.261,0.60867,0.73577,0.82725,0.40809,0.78332,PC IgG,UC_vs_HC
AL645608.2,0.053354,-2.4278,4.2514,-0.57104,0.56797,,PC IgG,UC_vs_HC
AGRN,0.019842,-2.3646,4.2206,-0.56026,0.5753,,PC IgG,UC_vs_HC
C1orf159,0.51119,-0.01835,1.8467,-0.0099367,0.99207,,PC IgG,UC_vs_HC
LINC01342,0.020149,-2.7433,4.2513,-0.64528,0.51874,,PC IgG,UC_vs_HC
TTLL10,0.04686,-3.0603,4.3188,-0.70859,0.47858,,PC IgG,UC_vs_HC
TNFRSF18,19.351,-3.6444,1.0815,-3.3699,0.00075195,0.022366,PC IgG,UC_vs_HC
TNFRSF4,11.273,-2.8474,0.9879,-2.8823,0.0039482,0.069078,PC IgG,UC_vs_HC
SDF4,20.676,-0.59426,0.7585,-0.78347,0.43335,0.80021,PC IgG,UC_vs_HC
B3GALT6,0.49014,0.68218,1.8174,0.37535,0.7074,,PC IgG,UC_vs_HC
C1QTNF12,0.40222,-2.2333,2.2001,-1.0151,0.31008,,PC IgG,UC_vs_HC
AL162741.1,0.013002,-2.7433,4.2513,-0.64528,0.51874,,PC IgG,UC_vs_HC
UBE2J2,9.3788,-0.090599,0.83496,-0.10851,0.91359,0.98432,PC IgG,UC_vs_HC
LINC01786,0.098597,-1.632,3.6872,-0.44262,0.65804,,PC IgG,UC_vs_HC
SCNN1D,0.1603,-1.278,2.382,-0.53651,0.59161,,PC IgG,UC_vs_HC
ACAP3,5.8486,-0.43242,0.67189,-0.64359,0.51984,0.84496,PC IgG,UC_vs_HC
PUSL1,4.3223,0.81338,1.1465,0.70943,0.47806,0.82592,PC IgG,UC_vs_HC
INTS11,14.395,-0.20314,0.36476,-0.55693,0.57757,0.87246,PC IgG,UC_vs_HC
CPTP,7.0154,-0.08169,0.89232,-0.091547,0.92706,0.98676,PC IgG,UC_vs_HC
TAS1R3,5.9577,-0.14222,0.72938,-0.19499,0.8454,0.97025,PC IgG,UC_vs_HC
DVL1,3.5869,-0.98271,0.76639,-1.2823,0.19975,0.59975,PC IgG,UC_vs_HC
MXRA8,0.01368,-2.463,4.254,-0.57898,0.5626,,PC IgG,UC_vs_HC
AURKAIP1,95.594,1.3887,0.64817,2.1425,0.03215,0.24579,PC IgG,UC_vs_HC
CCNL2,15.866,-0.37442,0.49602,-0.75485,0.45034,0.81067,PC IgG,UC_vs_HC
MRPL20,87.851,0.34168,0.25749,1.327,0.18452,0.58275,PC IgG,UC_vs_HC
AL391244.3,0.26827,-2.8874,3.1592,-0.91397,0.36073,,PC IgG,UC_vs_HC
ANKRD65,0.0068398,-2.7383,4.2773,-0.64019,0.52205,,PC IgG,UC_vs_HC
VWA1,0.08001,-2.2116,4.1119,-0.53787,0.59067,,PC IgG,UC_vs_HC
ATAD3C,8.7632,0.10919,0.64346,0.16969,0.86526,0.97434,PC IgG,UC_vs_HC
ATAD3B,3.4704,-1.0307,0.67245,-1.5328,0.12533,0.49472,PC IgG,UC_vs_HC
ATAD3A,3.8801,-0.55712,0.80447,-0.69253,0.48861,0.83052,PC IgG,UC_vs_HC
SSU72,34.418,-0.55788,0.30165,-1.8494,0.064393,0.35657,PC IgG,UC_vs_HC
AL645728.1,2.1863,-1.6854,0.84993,-1.983,0.047364,0.30401,PC IgG,UC_vs_HC
AL691432.2,0.65077,-0.42673,1.516,-0.28149,0.77834,,PC IgG,UC_vs_HC
MIB2,5.9144,-0.54897,0.94079,-0.58352,0.55954,0.86388,PC IgG,UC_vs_HC
MMP23B,0.15426,-0.92168,2.7096,-0.34015,0.73374,,PC IgG,UC_vs_HC
CDK11B,11.095,0.063868,0.49625,0.1287,0.89759,0.97998,PC IgG,UC_vs_HC
FO704657.1,0.58305,-0.99798,1.4117,-0.70695,0.4796,,PC IgG,UC_vs_HC
SLC35E2B,8.9552,-0.33795,0.48396,-0.69829,0.48499,0.82948,PC IgG,UC_vs_HC
CDK11A,11.259,-0.68288,0.52368,-1.304,0.19223,0.59188,PC IgG,UC_vs_HC
SLC35E2A,3.8162,-0.61461,0.64256,-0.9565,0.33882,0.73481,PC IgG,UC_vs_HC
NADK,4.2871,0.036796,0.66386,0.055427,0.9558,0.99184,PC IgG,UC_vs_HC
GNB1,19.576,0.34834,0.39891,0.87323,0.38254,0.76633,PC IgG,UC_vs_HC
AL109917.1,0.026682,-2.1211,4.2038,-0.50458,0.61385,,PC IgG,UC_vs_HC
CALML6,0.051616,-2.34,4.2511,-0.55044,0.58202,,PC IgG,UC_vs_HC
TMEM52,2.6397,-1.6666,1.1715,-1.4226,0.15485,0.54338,PC IgG,UC_vs_HC
CFAP74,0.053795,-2.98,4.2578,-0.69988,0.484,,PC IgG,UC_vs_HC
GABRD,0.14475,-3.971,4.2478,-0.93483,0.34988,,PC IgG,UC_vs_HC
PRKCZ,0.96779,-0.50183,1.2003,-0.4181,0.67588,,PC IgG,UC_vs_HC
AL590822.2,0.24992,-2.3929,1.7753,-1.3479,0.1777,,PC IgG,UC_vs_HC
PRKCZ-AS1,0.04686,-3.0603,4.3188,-0.70859,0.47858,,PC IgG,UC_vs_HC
FAAP20,18.246,-0.17987,0.87403,-0.20579,0.83695,0.96789,PC IgG,UC_vs_HC
SKI,1.6549,-0.15304,0.93917,-0.16295,0.87056,0.97497,PC IgG,UC_vs_HC
MORN1,0.51865,0.15936,1.7636,0.090361,0.928,,PC IgG,UC_vs_HC
RER1,66.359,0.97771,0.60367,1.6196,0.10532,0.46019,PC IgG,UC_vs_HC
PEX10,3.1786,-0.82513,1.0455,-0.78922,0.42998,0.79843,PC IgG,UC_vs_HC
PLCH2,0.22589,-3.7243,2.8752,-1.2953,0.19521,,PC IgG,UC_vs_HC
PANK4,2.1888,0.27161,0.9701,0.27998,0.77949,0.94997,PC IgG,UC_vs_HC
HES5,0.49465,-4.4695,4.1213,-1.0845,0.27815,,PC IgG,UC_vs_HC
AL139246.5,1.2178,-0.56482,1.1715,-0.48212,0.62972,0.89228,PC IgG,UC_vs_HC
TNFRSF14-AS1,5.7042,0.63171,0.69623,0.90733,0.36423,0.75155,PC IgG,UC_vs_HC
TNFRSF14,33.396,-0.76328,0.47754,-1.5983,0.10997,0.46997,PC IgG,UC_vs_HC
AL139246.3,0.29952,-0.1421,1.8066,-0.078654,0.93731,,PC IgG,UC_vs_HC
FAM213B,1.0704,0.01279,1.3169,0.0097119,0.99225,0.99762,PC IgG,UC_vs_HC
TTC34,0.30132,-1.6559,1.9391,-0.85397,0.39312,,PC IgG,UC_vs_HC
ARHGEF16,1.1005,-3.7146,1.4146,-2.6259,0.0086411,0.11267,PC IgG,UC_vs_HC
AL513320.1,0.24821,-1.7029,2.3877,-0.71321,0.47572,,PC IgG,UC_vs_HC
TPRG1L,4.6296,-0.42307,0.70777,-0.59776,0.55,0.85721,PC IgG,UC_vs_HC
WRAP73,5.9207,0.40475,0.60189,0.67247,0.50129,0.83661,PC IgG,UC_vs_HC
TP73,1.2935,1.5708,1.4978,1.0488,0.29428,0.69486,PC IgG,UC_vs_HC
AL136528.1,0.0068398,-2.7383,4.2773,-0.64019,0.52205,,PC IgG,UC_vs_HC
CCDC27,0.074097,-2.9962,4.316,-0.6942,0.48756,,PC IgG,UC_vs_HC
SMIM1,7.0504,-0.14963,0.73084,-0.20474,0.83777,0.96798,PC IgG,UC_vs_HC
