gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.042392,-0.27597,3.9863,-0.06923,0.94481,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL669831.5,0.79899,2.9248,2.1376,1.3683,0.17123,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
LINC00115,0.49592,-1.3568,1.5997,-0.84817,0.39634,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
FAM41C,0.060361,0.73302,3.9924,0.1836,0.85432,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL645608.3,0.039576,-0.32021,3.9811,-0.080433,0.93589,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL645608.1,0.038129,0.73302,3.9924,0.1836,0.85432,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SAMD11,0.1285,-0.70787,3.8691,-0.18295,0.85484,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
NOC2L,3.1767,-0.50455,0.54045,-0.93357,0.35053,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
KLHL17,0.16217,-1.0002,3.9198,-0.25517,0.79859,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
PLEKHN1,0.58555,-0.37886,1.1885,-0.31876,0.74991,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
PERM1,0.015612,-0.091952,4.0086,-0.022938,0.9817,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL645608.8,0.1989,-0.29802,3.9822,-0.074838,0.94034,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
ISG15,8.1491,-0.10886,0.54085,-0.20128,0.84048,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AGRN,0.042392,-0.27597,3.9863,-0.06923,0.94481,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
C1orf159,0.072176,-0.096604,4.0071,-0.024108,0.98077,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
TNFRSF18,4.5288,1.7652,0.89939,1.9627,0.049685,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
TNFRSF4,2.4554,1.3979,0.95094,1.47,0.14156,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SDF4,1.4287,-0.23757,0.90006,-0.26395,0.79182,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
B3GALT6,0.10503,0.15935,3.9146,0.040706,0.96753,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL162741.1,0.042392,-0.27597,3.9863,-0.06923,0.94481,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
UBE2J2,0.43636,-0.25666,1.2688,-0.20229,0.83969,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SCNN1D,0.073805,0.73302,3.9924,0.1836,0.85432,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
ACAP3,0.87076,-0.12628,1.2839,-0.098357,0.92165,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
PUSL1,0.41207,0.99175,1.3577,0.73048,0.46509,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
INTS11,1.6432,0.44641,0.78469,0.5689,0.56943,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
CPTP,0.22814,-0.044877,1.4798,-0.030326,0.97581,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
TAS1R3,0.16619,1.2038,2.8186,0.4271,0.66931,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
DVL1,0.72141,0.30809,1.3526,0.22776,0.81983,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AURKAIP1,3.6589,0.43309,0.69129,0.62649,0.53099,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
CCNL2,4.4659,0.24033,0.54346,0.44222,0.65833,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
MRPL20,3.3996,0.40278,0.50888,0.79151,0.42865,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL391244.3,0.10295,-0.083835,2.4821,-0.033776,0.97306,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
ATAD3C,0.33874,-0.27466,1.4872,-0.18468,0.85348,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
ATAD3B,0.44621,0.05271,1.1002,0.047911,0.96179,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
ATAD3A,0.13891,0.65171,2.7181,0.23976,0.81051,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SSU72,3.2828,1.0911,0.5059,2.1567,0.031031,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL645728.1,2.2928,-0.75425,0.74718,-1.0095,0.31275,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
AL691432.2,0.28267,1.8901,1.5375,1.2293,0.21895,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
MIB2,1.8691,0.31076,1.221,0.25451,0.7991,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
MMP23B,0.069369,-0.80335,3.9406,-0.20386,0.83846,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
CDK11B,1.8187,0.064723,1.0009,0.064664,0.94844,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
FO704657.1,0.033997,0.28787,4.0641,0.070832,0.94353,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SLC35E2B,1.5456,0.30813,0.86716,0.35533,0.72234,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
CDK11A,3.3879,-0.92145,0.57382,-1.6058,0.10831,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
SLC35E2A,0.53487,0.62685,1.0947,0.57264,0.56689,0.9965,Plasma (subtipo indeterminado),CD_vs_HC
