gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.042392,0.68714,4.0983,0.16766,0.86685,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL669831.5,0.79899,-2.7835,2.3487,-1.1851,0.23596,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
LINC00115,0.49592,0.085412,1.9049,0.044838,0.96424,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
FAM41C,0.060361,0.31788,4.0242,0.078992,0.93704,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL645608.3,0.039576,0.80609,4.0901,0.19708,0.84376,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL645608.1,0.038129,0.31788,4.0242,0.078992,0.93704,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SAMD11,0.1285,0.078952,4.0833,0.019336,0.98457,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
NOC2L,3.1767,0.3724,0.59707,0.62371,0.53282,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
KLHL17,0.16217,0.86048,4.0904,0.21037,0.83338,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
PLEKHN1,0.58555,-0.34039,1.449,-0.23492,0.81427,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
PERM1,0.015612,0.78783,4.0908,0.19258,0.84728,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL645608.8,0.1989,1.2275,4.0228,0.30514,0.76026,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
ISG15,8.1491,0.28283,0.57136,0.49501,0.62059,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AGRN,0.042392,0.68714,4.0983,0.16766,0.86685,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
C1orf159,0.072176,1.2114,4.0239,0.30104,0.76338,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
TNFRSF18,4.5288,-0.54109,0.90098,-0.60056,0.54813,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
TNFRSF4,2.4554,-2.6435,1.2193,-2.168,0.030162,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SDF4,1.4287,-0.63592,1.1084,-0.57373,0.56615,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
B3GALT6,0.10503,0.36377,4.0225,0.090435,0.92794,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL162741.1,0.042392,0.68714,4.0983,0.16766,0.86685,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
UBE2J2,0.43636,-0.57087,1.5949,-0.35794,0.72039,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SCNN1D,0.073805,0.31788,4.0242,0.078992,0.93704,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
ACAP3,0.87076,1.1875,1.2977,0.91509,0.36014,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
PUSL1,0.41207,-1.3187,1.7187,-0.76729,0.44291,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
INTS11,1.6432,-0.29469,0.87296,-0.33758,0.73568,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
CPTP,0.22814,-0.62867,1.8183,-0.34574,0.72953,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
TAS1R3,0.16619,-0.87308,2.9683,-0.29413,0.76866,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
DVL1,0.72141,1.8636,1.2088,1.5417,0.12316,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AURKAIP1,3.6589,-0.55404,0.75471,-0.73411,0.46288,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
CCNL2,4.4659,-0.45533,0.61278,-0.74305,0.45745,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
MRPL20,3.3996,-0.16181,0.55278,-0.29272,0.76974,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL391244.3,0.10295,0.26782,2.658,0.10076,0.91974,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
ATAD3C,0.33874,-0.5112,1.7693,-0.28893,0.77264,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
ATAD3B,0.44621,-1.0262,1.4341,-0.71555,0.47427,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
ATAD3A,0.13891,-0.17577,2.8476,-0.061726,0.95078,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SSU72,3.2828,-0.77608,0.56338,-1.3775,0.16835,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL645728.1,2.2928,-0.18085,0.85138,-0.21242,0.83178,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
AL691432.2,0.28267,-1.3253,1.6958,-0.7815,0.43451,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
MIB2,1.8691,0.79012,1.229,0.64289,0.52029,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
MMP23B,0.069369,0.61738,4.1091,0.15025,0.88057,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
CDK11B,1.8187,-0.025426,1.0673,-0.023823,0.98099,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
FO704657.1,0.033997,1.1806,4.027,0.29318,0.76938,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SLC35E2B,1.5456,0.41635,0.89953,0.46285,0.64347,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
CDK11A,3.3879,0.11693,0.6566,0.17809,0.85865,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
SLC35E2A,0.53487,-0.65039,1.2837,-0.50664,0.61241,0.99898,Plasma (subtipo indeterminado),UC_vs_CD
