gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,comparison
AL627309.1,0.042392,0.41116,4.0383,0.10181,0.9189,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL669831.5,0.79899,0.14132,2.5391,0.055658,0.95561,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
LINC00115,0.49592,-1.2714,1.7702,-0.71821,0.47263,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
FAM41C,0.060361,1.0509,4.1134,0.25548,0.79835,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL645608.3,0.039576,0.48588,4.0312,0.12053,0.90406,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL645608.1,0.038129,1.0509,4.1134,0.25548,0.79835,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SAMD11,0.1285,-0.62892,3.9978,-0.15732,0.875,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
NOC2L,3.1767,-0.13215,0.56787,-0.23271,0.81598,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
KLHL17,0.16217,-0.13971,3.9644,-0.035241,0.97189,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PLEKHN1,0.58555,-0.71925,1.4048,-0.51198,0.60867,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PERM1,0.015612,0.69588,4.0604,0.17138,0.86392,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL645608.8,0.1989,0.92948,3.9617,0.23462,0.81451,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ISG15,8.1491,0.17397,0.56586,0.30744,0.75851,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AGRN,0.042392,0.41116,4.0383,0.10181,0.9189,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
C1orf159,0.072176,1.1148,3.9876,0.27956,0.77981,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TNFRSF18,4.5288,1.2241,0.96318,1.2709,0.20377,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TNFRSF4,2.4554,-1.2456,1.2589,-0.98946,0.32244,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SDF4,1.4287,-0.87349,1.0885,-0.80244,0.4223,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
B3GALT6,0.10503,0.52312,4.0325,0.12973,0.89678,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL162741.1,0.042392,0.41116,4.0383,0.10181,0.9189,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
UBE2J2,0.43636,-0.82754,1.5594,-0.53066,0.59565,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SCNN1D,0.073805,1.0509,4.1134,0.25548,0.79835,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ACAP3,0.87076,1.0612,1.2612,0.84143,0.40011,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PUSL1,0.41207,-0.32699,1.8076,-0.1809,0.85645,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
INTS11,1.6432,0.15171,0.89349,0.1698,0.86517,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
CPTP,0.22814,-0.67354,1.8044,-0.37328,0.70894,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TAS1R3,0.16619,0.33074,3.0762,0.10752,0.91438,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
DVL1,0.72141,2.1717,1.2273,1.7695,0.076815,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AURKAIP1,3.6589,-0.12096,0.76376,-0.15837,0.87417,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
CCNL2,4.4659,-0.215,0.61669,-0.34864,0.72736,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
MRPL20,3.3996,0.24097,0.56562,0.42604,0.67008,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL391244.3,0.10295,0.18399,2.6258,0.070068,0.94414,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ATAD3C,0.33874,-0.78586,1.7342,-0.45315,0.65044,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ATAD3B,0.44621,-0.97345,1.4349,-0.67841,0.49751,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ATAD3A,0.13891,0.47594,2.9193,0.16303,0.87049,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SSU72,3.2828,0.31498,0.60883,0.51736,0.60491,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL645728.1,2.2928,-0.9351,0.81607,-1.1459,0.25185,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL691432.2,0.28267,0.5648,1.945,0.29039,0.77152,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
MIB2,1.8691,1.1009,1.2426,0.88595,0.37564,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
MMP23B,0.069369,-0.18597,3.9952,-0.046548,0.96287,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
CDK11B,1.8187,0.039297,1.0617,0.037011,0.97048,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
FO704657.1,0.033997,1.4685,4.0461,0.36294,0.71665,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SLC35E2B,1.5456,0.72448,0.91115,0.79513,0.42654,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
CDK11A,3.3879,-0.80452,0.61689,-1.3042,0.19218,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SLC35E2A,0.53487,-0.023544,1.3366,-0.017616,0.98595,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
NADK,0.36227,2.4616,1.3886,1.7727,0.076277,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
GNB1,2.5031,0.49012,0.76197,0.64322,0.52008,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TMEM52,0.15103,-0.64921,3.0924,-0.20994,0.83371,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
GABRD,0.16674,-0.12342,3.1277,-0.039459,0.96852,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PRKCZ,0.17975,0.32512,2.1421,0.15178,0.87936,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL590822.2,0.097971,0.48431,4.0662,0.11911,0.90519,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PRKCZ-AS1,0.060361,1.0509,4.1134,0.25548,0.79835,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
FAAP20,0.991,-0.10007,1.2758,-0.078437,0.93748,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SKI,0.55372,0.28993,1.4094,0.20571,0.83702,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
MORN1,0.13634,0.72233,1.8695,0.38637,0.69922,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
RER1,1.9663,0.93571,0.99785,0.93772,0.34839,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PEX10,0.16589,-0.15016,3.1912,-0.047053,0.96247,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PLCH2,0.23837,-0.021753,1.8607,-0.011691,0.99067,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
PANK4,0.25144,1.5222,3.15,0.48324,0.62893,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL139246.5,2.7189,-0.73094,1.1755,-0.6218,0.53407,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TNFRSF14-AS1,1.147,0.23021,0.88309,0.26068,0.79434,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TNFRSF14,3.177,-0.80886,0.6328,-1.2782,0.20117,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL139246.3,0.02059,0.97489,4.1182,0.23673,0.81287,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
FAM213B,0.193,1.9078,3.0756,0.62031,0.53506,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TTC34,0.22365,1.2688,3.8672,0.32811,0.74283,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
ARHGEF16,0.046193,0.61293,4.0581,0.15104,0.87995,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
MEGF6,0.058003,0.14298,4.005,0.0357,0.97152,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
AL513320.1,0.075973,0.73646,4.062,0.18131,0.85613,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TPRG1L,0.57249,0.9934,1.4684,0.67654,0.4987,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
WRAP73,0.92354,-0.081545,1.6483,-0.049472,0.96054,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
TP73,0.15147,2.3169,3.9614,0.58487,0.55863,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
SMIM1,0.0893,0.96272,2.4362,0.39517,0.69272,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
LRRC47,0.34207,-0.41199,1.4542,-0.28331,0.77694,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
CEP104,0.46755,1.5949,1.614,0.98816,0.32308,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
DFFB,0.14443,0.87937,2.1133,0.41612,0.67732,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
C1orf174,0.81957,0.57232,1.4264,0.40124,0.68824,0.99935,Plasma (subtipo indeterminado),UC_vs_HC
