paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614348_HC-1,B cell,UC_vs_CD,NUDT1,3.5093,1.5321,0.025226
GSM6614349_HC-2,B cell,UC_vs_CD,NUDT1,4.0882,1.5321,0.025226
GSM6614350_HC-3,B cell,UC_vs_CD,NUDT1,3.7105,1.5321,0.025226
GSM6614352_HC-5,B cell,UC_vs_CD,NUDT1,3.6181,1.5321,0.025226
GSM6614354_UC-1,B cell,UC_vs_CD,NUDT1,3.7834,1.5321,0.025226
GSM6614355_UC-2,B cell,UC_vs_CD,NUDT1,4.8056,1.5321,0.025226
GSM6614356_UC-3,B cell,UC_vs_CD,NUDT1,4.3816,1.5321,0.025226
GSM6614357_UC-4,B cell,UC_vs_CD,NUDT1,4.7506,1.5321,0.025226
GSM6614358_UC-5,B cell,UC_vs_CD,NUDT1,4.2824,1.5321,0.025226
GSM6614359_UC-6,B cell,UC_vs_CD,NUDT1,4.2417,1.5321,0.025226
GSM6614360_CD-1,B cell,UC_vs_CD,NUDT1,2.9429,1.5321,0.025226
GSM6614361_CD-2,B cell,UC_vs_CD,NUDT1,2.0825,1.5321,0.025226
GSM6614362_CD-3,B cell,UC_vs_CD,NUDT1,3.386,1.5321,0.025226
GSM6614363_CD-4,B cell,UC_vs_CD,NUDT1,3.2532,1.5321,0.025226
GSM6614364_CD-5,B cell,UC_vs_CD,NUDT1,3.5065,1.5321,0.025226
GSM6614365_CD-6,B cell,UC_vs_CD,NUDT1,2.7076,1.5321,0.025226
GSM6614348_HC-1,CD4,UC_vs_HC,DHRS3,4.9342,-1.2963,0.02826
GSM6614349_HC-2,CD4,UC_vs_HC,DHRS3,5.6691,-1.2963,0.02826
GSM6614350_HC-3,CD4,UC_vs_HC,DHRS3,4.6255,-1.2963,0.02826
GSM6614351_HC-4,CD4,UC_vs_HC,DHRS3,4.9321,-1.2963,0.02826
GSM6614352_HC-5,CD4,UC_vs_HC,DHRS3,5.085,-1.2963,0.02826
GSM6614353_HC-6,CD4,UC_vs_HC,DHRS3,5.2015,-1.2963,0.02826
GSM6614354_UC-1,CD4,UC_vs_HC,DHRS3,3.9089,-1.2963,0.02826
GSM6614355_UC-2,CD4,UC_vs_HC,DHRS3,4.3428,-1.2963,0.02826
GSM6614356_UC-3,CD4,UC_vs_HC,DHRS3,2.5795,-1.2963,0.02826
GSM6614357_UC-4,CD4,UC_vs_HC,DHRS3,3.471,-1.2963,0.02826
GSM6614358_UC-5,CD4,UC_vs_HC,DHRS3,4.2244,-1.2963,0.02826
GSM6614359_UC-6,CD4,UC_vs_HC,DHRS3,3.7426,-1.2963,0.02826
GSM6614360_CD-1,CD4,UC_vs_HC,DHRS3,4.7073,-1.2963,0.02826
GSM6614361_CD-2,CD4,UC_vs_HC,DHRS3,4.2538,-1.2963,0.02826
GSM6614362_CD-3,CD4,UC_vs_HC,DHRS3,2.3702,-1.2963,0.02826
GSM6614363_CD-4,CD4,UC_vs_HC,DHRS3,4.6516,-1.2963,0.02826
GSM6614364_CD-5,CD4,UC_vs_HC,DHRS3,3.1967,-1.2963,0.02826
GSM6614365_CD-6,CD4,UC_vs_HC,DHRS3,4.1853,-1.2963,0.02826
GSM6614348_HC-1,CD4,UC_vs_HC,FBLIM1,4.2842,-1.3635,0.029605
GSM6614349_HC-2,CD4,UC_vs_HC,FBLIM1,3.9097,-1.3635,0.029605
GSM6614350_HC-3,CD4,UC_vs_HC,FBLIM1,3.3652,-1.3635,0.029605
GSM6614351_HC-4,CD4,UC_vs_HC,FBLIM1,3.5937,-1.3635,0.029605
GSM6614352_HC-5,CD4,UC_vs_HC,FBLIM1,3.0567,-1.3635,0.029605
GSM6614353_HC-6,CD4,UC_vs_HC,FBLIM1,4.3416,-1.3635,0.029605
GSM6614354_UC-1,CD4,UC_vs_HC,FBLIM1,3.0019,-1.3635,0.029605
GSM6614355_UC-2,CD4,UC_vs_HC,FBLIM1,1.9884,-1.3635,0.029605
GSM6614356_UC-3,CD4,UC_vs_HC,FBLIM1,3.2166,-1.3635,0.029605
GSM6614357_UC-4,CD4,UC_vs_HC,FBLIM1,2.8307,-1.3635,0.029605
GSM6614358_UC-5,CD4,UC_vs_HC,FBLIM1,1.896,-1.3635,0.029605
GSM6614359_UC-6,CD4,UC_vs_HC,FBLIM1,2.9553,-1.3635,0.029605
GSM6614360_CD-1,CD4,UC_vs_HC,FBLIM1,2.9549,-1.3635,0.029605
GSM6614361_CD-2,CD4,UC_vs_HC,FBLIM1,2.4165,-1.3635,0.029605
GSM6614362_CD-3,CD4,UC_vs_HC,FBLIM1,2.2169,-1.3635,0.029605
GSM6614363_CD-4,CD4,UC_vs_HC,FBLIM1,2.7158,-1.3635,0.029605
GSM6614364_CD-5,CD4,UC_vs_HC,FBLIM1,2.5028,-1.3635,0.029605
GSM6614365_CD-6,CD4,UC_vs_HC,FBLIM1,2.2163,-1.3635,0.029605
GSM6614348_HC-1,CD4,UC_vs_HC,UBXN10-AS1,1.1585,4.7187,6.2321e-06
GSM6614349_HC-2,CD4,UC_vs_HC,UBXN10-AS1,0.8314,4.7187,6.2321e-06
GSM6614350_HC-3,CD4,UC_vs_HC,UBXN10-AS1,1.4285,4.7187,6.2321e-06
GSM6614351_HC-4,CD4,UC_vs_HC,UBXN10-AS1,0,4.7187,6.2321e-06
GSM6614352_HC-5,CD4,UC_vs_HC,UBXN10-AS1,0,4.7187,6.2321e-06
GSM6614353_HC-6,CD4,UC_vs_HC,UBXN10-AS1,0,4.7187,6.2321e-06
GSM6614354_UC-1,CD4,UC_vs_HC,UBXN10-AS1,2.1716,4.7187,6.2321e-06
GSM6614355_UC-2,CD4,UC_vs_HC,UBXN10-AS1,4.4446,4.7187,6.2321e-06
GSM6614356_UC-3,CD4,UC_vs_HC,UBXN10-AS1,4.5986,4.7187,6.2321e-06
GSM6614357_UC-4,CD4,UC_vs_HC,UBXN10-AS1,4.9806,4.7187,6.2321e-06
GSM6614358_UC-5,CD4,UC_vs_HC,UBXN10-AS1,4.7102,4.7187,6.2321e-06
GSM6614359_UC-6,CD4,UC_vs_HC,UBXN10-AS1,4.8654,4.7187,6.2321e-06
GSM6614360_CD-1,CD4,UC_vs_HC,UBXN10-AS1,2.7957,4.7187,6.2321e-06
GSM6614361_CD-2,CD4,UC_vs_HC,UBXN10-AS1,3.4756,4.7187,6.2321e-06
GSM6614362_CD-3,CD4,UC_vs_HC,UBXN10-AS1,3.6401,4.7187,6.2321e-06
GSM6614363_CD-4,CD4,UC_vs_HC,UBXN10-AS1,3.7079,4.7187,6.2321e-06
GSM6614364_CD-5,CD4,UC_vs_HC,UBXN10-AS1,4.6052,4.7187,6.2321e-06
GSM6614365_CD-6,CD4,UC_vs_HC,UBXN10-AS1,2.8583,4.7187,6.2321e-06
GSM6614348_HC-1,CD4,UC_vs_HC,UBXN11,5.2467,-1.3581,0.011594
GSM6614349_HC-2,CD4,UC_vs_HC,UBXN11,4.9725,-1.3581,0.011594
GSM6614350_HC-3,CD4,UC_vs_HC,UBXN11,4.2934,-1.3581,0.011594
GSM6614351_HC-4,CD4,UC_vs_HC,UBXN11,5.9943,-1.3581,0.011594
GSM6614352_HC-5,CD4,UC_vs_HC,UBXN11,3.8501,-1.3581,0.011594
GSM6614353_HC-6,CD4,UC_vs_HC,UBXN11,4.8347,-1.3581,0.011594
GSM6614354_UC-1,CD4,UC_vs_HC,UBXN11,3.5256,-1.3581,0.011594
GSM6614355_UC-2,CD4,UC_vs_HC,UBXN11,4.1146,-1.3581,0.011594
GSM6614356_UC-3,CD4,UC_vs_HC,UBXN11,2.9329,-1.3581,0.011594
GSM6614357_UC-4,CD4,UC_vs_HC,UBXN11,3.2101,-1.3581,0.011594
GSM6614358_UC-5,CD4,UC_vs_HC,UBXN11,3.9973,-1.3581,0.011594
GSM6614359_UC-6,CD4,UC_vs_HC,UBXN11,3.2395,-1.3581,0.011594
GSM6614360_CD-1,CD4,UC_vs_HC,UBXN11,3.9624,-1.3581,0.011594
GSM6614361_CD-2,CD4,UC_vs_HC,UBXN11,3.8816,-1.3581,0.011594
GSM6614362_CD-3,CD4,UC_vs_HC,UBXN11,4.2267,-1.3581,0.011594
GSM6614363_CD-4,CD4,UC_vs_HC,UBXN11,4.8504,-1.3581,0.011594
GSM6614364_CD-5,CD4,UC_vs_HC,UBXN11,3.0003,-1.3581,0.011594
GSM6614365_CD-6,CD4,UC_vs_HC,UBXN11,4.5804,-1.3581,0.011594
GSM6614348_HC-1,CD4,UC_vs_HC,SESN2,4.1899,-1.3587,0.034481
GSM6614349_HC-2,CD4,UC_vs_HC,SESN2,3.5743,-1.3587,0.034481
GSM6614350_HC-3,CD4,UC_vs_HC,SESN2,6.3005,-1.3587,0.034481
GSM6614351_HC-4,CD4,UC_vs_HC,SESN2,4.2821,-1.3587,0.034481
GSM6614352_HC-5,CD4,UC_vs_HC,SESN2,4.6668,-1.3587,0.034481
GSM6614353_HC-6,CD4,UC_vs_HC,SESN2,4.9676,-1.3587,0.034481
GSM6614354_UC-1,CD4,UC_vs_HC,SESN2,0,-1.3587,0.034481
GSM6614355_UC-2,CD4,UC_vs_HC,SESN2,3.8435,-1.3587,0.034481
GSM6614356_UC-3,CD4,UC_vs_HC,SESN2,4.1368,-1.3587,0.034481
GSM6614357_UC-4,CD4,UC_vs_HC,SESN2,3.6919,-1.3587,0.034481
GSM6614358_UC-5,CD4,UC_vs_HC,SESN2,3.8688,-1.3587,0.034481
