column_name,tipo_celular,gen,comparacion,log2FC,padj
B_cell__NUDT1__UC_vs_CD,B cell,NUDT1,UC_vs_CD,1.5321,0.025226
CD4__DHRS3__UC_vs_HC,CD4,DHRS3,UC_vs_HC,-1.2963,0.02826
CD4__FBLIM1__UC_vs_HC,CD4,FBLIM1,UC_vs_HC,-1.3635,0.029605
CD4__UBXN10-AS1__UC_vs_HC,CD4,UBXN10-AS1,UC_vs_HC,4.7187,6.2321e-06
CD4__UBXN11__UC_vs_HC,CD4,UBXN11,UC_vs_HC,-1.3581,0.011594
CD4__SESN2__UC_vs_HC,CD4,SESN2,UC_vs_HC,-1.3587,0.034481
CD4__SYNC__UC_vs_HC,CD4,SYNC,UC_vs_HC,1.2961,0.019161
CD4__KIAA0319L__UC_vs_HC,CD4,KIAA0319L,UC_vs_HC,1.5555,0.0083755
CD4__SMAP2__UC_vs_HC,CD4,SMAP2,UC_vs_HC,1.2988,0.0095091
CD4__HIVEP3__UC_vs_HC,CD4,HIVEP3,UC_vs_HC,2.028,0.0078867
CD4__GUCA2A__UC_vs_HC,CD4,GUCA2A,UC_vs_HC,-3.9596,0.01586
CD4__PLK3__UC_vs_HC,CD4,PLK3,UC_vs_HC,-1.3445,0.0044533
CD4__CTH__UC_vs_HC,CD4,CTH,UC_vs_HC,-2.3317,0.00077273
CD4__GBP5__UC_vs_HC,CD4,GBP5,UC_vs_HC,1.1508,0.0038967
CD4__FAM102B__UC_vs_HC,CD4,FAM102B,UC_vs_HC,-1.8389,0.0075534
CD4__WDR47__UC_vs_HC,CD4,WDR47,UC_vs_HC,-1.1204,0.022647
CD4__AMPD2__UC_vs_HC,CD4,AMPD2,UC_vs_HC,-1.2103,0.00052224
CD4__CHI3L2__UC_vs_HC,CD4,CHI3L2,UC_vs_HC,3.0177,1.333e-06
CD4__CD160__UC_vs_HC,CD4,CD160,UC_vs_HC,-2.741,0.034017
CD4__ACP6__UC_vs_HC,CD4,ACP6,UC_vs_HC,1.546,0.012204
CD4__AC245297.3__UC_vs_HC,CD4,AC245297.3,UC_vs_HC,-1.4326,0.0027054
CD4__MCL1__UC_vs_HC,CD4,MCL1,UC_vs_HC,-1.141,0.02072
CD4__SELENBP1__UC_vs_HC,CD4,SELENBP1,UC_vs_HC,-3.8927,0.042661
CD4__PMVK__UC_vs_HC,CD4,PMVK,UC_vs_HC,1.0415,0.010151
CD4__SYT11__UC_vs_HC,CD4,SYT11,UC_vs_HC,1.6332,0.0010717
CD4__LMNA__UC_vs_HC,CD4,LMNA,UC_vs_HC,-2.8697,5.7831e-17
CD4__ETV3__UC_vs_HC,CD4,ETV3,UC_vs_HC,-1.2413,0.011446
CD4__SLAMF7__UC_vs_HC,CD4,SLAMF7,UC_vs_HC,-1.4941,0.027271
CD4__F5__UC_vs_HC,CD4,F5,UC_vs_HC,1.956,0.019447
CD4__SELL__UC_vs_HC,CD4,SELL,UC_vs_HC,1.5951,0.0045006
CD4__RGS16__UC_vs_HC,CD4,RGS16,UC_vs_HC,-2.4021,0.00088942
CD4__IVNS1ABP__UC_vs_HC,CD4,IVNS1ABP,UC_vs_HC,-1.2728,0.0023533
CD4__RGS2__UC_vs_HC,CD4,RGS2,UC_vs_HC,-1.0961,0.019311
CD4__ZNF281__UC_vs_HC,CD4,ZNF281,UC_vs_HC,1.2401,0.0026546
CD4__AL359834.1__UC_vs_HC,CD4,AL359834.1,UC_vs_HC,4.6675,0.020587
CD4__ELF3__UC_vs_HC,CD4,ELF3,UC_vs_HC,-4.625,0.00011178
CD4__G0S2__UC_vs_HC,CD4,G0S2,UC_vs_HC,5.4913,0.01172
CD4__LINC00467__UC_vs_HC,CD4,LINC00467,UC_vs_HC,2.3539,0.045542
CD4__CENPF__UC_vs_HC,CD4,CENPF,UC_vs_HC,1.4927,0.039323
CD4__GNG4__UC_vs_HC,CD4,GNG4,UC_vs_HC,3.07,0.02202
CD4__EDARADD__UC_vs_HC,CD4,EDARADD,UC_vs_HC,-2.3987,0.004397
CD4__CHML__UC_vs_HC,CD4,CHML,UC_vs_HC,-1.6809,0.029268
CD4__KLF11__UC_vs_HC,CD4,KLF11,UC_vs_HC,-1.592,0.018081
CD4__TRIB2__UC_vs_HC,CD4,TRIB2,UC_vs_HC,1.1794,0.00041926
CD4__TOGARAM2__UC_vs_HC,CD4,TOGARAM2,UC_vs_HC,2.079,0.021317
CD4__YPEL5__UC_vs_HC,CD4,YPEL5,UC_vs_HC,-1.1002,0.0060696
CD4__THADA__UC_vs_HC,CD4,THADA,UC_vs_HC,1.5369,0.0022237
CD4__LINC01943__UC_vs_HC,CD4,LINC01943,UC_vs_HC,1.3378,0.035522
CD4__RGPD2__UC_vs_HC,CD4,RGPD2,UC_vs_HC,-2.2741,0.049211
CD4__FABP1__UC_vs_HC,CD4,FABP1,UC_vs_HC,-5.7249,2.0042e-10
CD4__IL1R2__UC_vs_HC,CD4,IL1R2,UC_vs_HC,2.7778,2.9103e-05
CD4__IL1R1__UC_vs_HC,CD4,IL1R1,UC_vs_HC,2.0308,0.001851
CD4__MIR4435-2HG__UC_vs_HC,CD4,MIR4435-2HG,UC_vs_HC,1.8212,0.0021687
CD4__AC108463.3__UC_vs_HC,CD4,AC108463.3,UC_vs_HC,2.389,0.012722
CD4__AC068491.3__UC_vs_HC,CD4,AC068491.3,UC_vs_HC,1.9438,0.012722
CD4__AC017002.3__UC_vs_HC,CD4,AC017002.3,UC_vs_HC,3.2562,1.1025e-07
CD4__CHCHD5__UC_vs_HC,CD4,CHCHD5,UC_vs_HC,1.0432,0.015275
CD4__CXCR4__UC_vs_HC,CD4,CXCR4,UC_vs_HC,-1.129,0.018317
CD4__ZEB2__UC_vs_HC,CD4,ZEB2,UC_vs_HC,1.1725,0.048614
CD4__NR4A2__UC_vs_HC,CD4,NR4A2,UC_vs_HC,-1.2663,0.0093556
CD4__LY75__UC_vs_HC,CD4,LY75,UC_vs_HC,1.3557,0.0024958
CD4__INPP1__UC_vs_HC,CD4,INPP1,UC_vs_HC,1.4801,0.020141
CD4__NAB1__UC_vs_HC,CD4,NAB1,UC_vs_HC,1.557,0.00059198
CD4__PGAP1__UC_vs_HC,CD4,PGAP1,UC_vs_HC,-2.1767,0.011868
CD4__CTLA4__UC_vs_HC,CD4,CTLA4,UC_vs_HC,1.2583,0.00052224
CD4__STK16__UC_vs_HC,CD4,STK16,UC_vs_HC,1.1583,0.028185
CD4__CCL20__UC_vs_HC,CD4,CCL20,UC_vs_HC,2.5214,0.00023488
CD4__PASK__UC_vs_HC,CD4,PASK,UC_vs_HC,1.0751,0.037237
CD4__ANKRD28__UC_vs_HC,CD4,ANKRD28,UC_vs_HC,-1.373,0.0085484
CD4__SGO1__UC_vs_HC,CD4,SGO1,UC_vs_HC,2.284,0.036862
CD4__CSRNP1__UC_vs_HC,CD4,CSRNP1,UC_vs_HC,-1.399,0.00035546
CD4__SIDT1-AS1__UC_vs_HC,CD4,SIDT1-AS1,UC_vs_HC,-2.3573,0.018434
CD4__TSC22D2__UC_vs_HC,CD4,TSC22D2,UC_vs_HC,-1.2031,0.013608
CD4__MLF1__UC_vs_HC,CD4,MLF1,UC_vs_HC,-2.1552,0.00093733
CD4__TRIM59__UC_vs_HC,CD4,TRIM59,UC_vs_HC,1.2665,0.02202
CD4__CCDC50__UC_vs_HC,CD4,CCDC50,UC_vs_HC,2.0299,0.0052245
CD4__ZBTB49__UC_vs_HC,CD4,ZBTB49,UC_vs_HC,-1.7512,0.0043992
CD4__CD38__UC_vs_HC,CD4,CD38,UC_vs_HC,2.1911,0.00011899
CD4__TBC1D19__UC_vs_HC,CD4,TBC1D19,UC_vs_HC,-1.0222,0.018081
CD4__TXK__UC_vs_HC,CD4,TXK,UC_vs_HC,1.6468,0.0077569
CD4__HOPX__UC_vs_HC,CD4,HOPX,UC_vs_HC,-1.5487,0.012133
CD4__SPINK2__UC_vs_HC,CD4,SPINK2,UC_vs_HC,-2.2792,8.0458e-06
CD4__CXCL8__UC_vs_HC,CD4,CXCL8,UC_vs_HC,5.8706,0.037237
CD4__CCNG2__UC_vs_HC,CD4,CCNG2,UC_vs_HC,1.5392,0.012007
CD4__CXCL13__UC_vs_HC,CD4,CXCL13,UC_vs_HC,6.2919,0.039323
CD4__PTPN13__UC_vs_HC,CD4,PTPN13,UC_vs_HC,2.5709,2.4038e-05
CD4__FAM13A__UC_vs_HC,CD4,FAM13A,UC_vs_HC,-1.9335,0.0049586
CD4__TIFA__UC_vs_HC,CD4,TIFA,UC_vs_HC,1.6125,0.0063228
CD4__TNIP3__UC_vs_HC,CD4,TNIP3,UC_vs_HC,1.5322,0.001389
CD4__SPRY1__UC_vs_HC,CD4,SPRY1,UC_vs_HC,-1.1827,0.045205
CD4__OTULIN__UC_vs_HC,CD4,OTULIN,UC_vs_HC,1.3502,0.04989
CD4__AC025171.3__UC_vs_HC,CD4,AC025171.3,UC_vs_HC,-1.8047,0.0045539
CD4__MSH3__UC_vs_HC,CD4,MSH3,UC_vs_HC,-1.0106,0.017717
