feature,perm_importance_mean,perm_importance_std
PC_IgG__ZSCAN18__UC_vs_HC,0.0,0.0
B_cell__NUDT1__UC_vs_CD,0.0,0.0
CD4__AARSD1__CD_vs_HC,0.0,0.0
CD4__AC004585.1__UC_vs_HC,0.0,0.0
CD4__AC005224.3__CD_vs_HC,0.0,0.0
CD4__AC005224.3__UC_vs_HC,0.0,0.0
CD4__AC017002.3__CD_vs_HC,0.0,0.0
CD4__AC017002.3__UC_vs_HC,0.0,0.0
PC_IgG__WNT10A__UC_vs_HC,0.0,0.0
PC_IgG__WIPF1__UC_vs_HC,0.0,0.0
PC_IgG__WIPF1__UC_vs_CD,0.0,0.0
PC_IgG__WHRN__UC_vs_HC,0.0,0.0
PC_IgG__WASHC3__UC_vs_HC,0.0,0.0
PC_IgG__WAPL__UC_vs_CD,0.0,0.0
PC_IgG__VPS26C__UC_vs_HC,0.0,0.0
PC_IgG__VIM__UC_vs_HC,0.0,0.0
PC_IgG__VCP__CD_vs_HC,0.0,0.0
PC_IgG__VAPB__UC_vs_CD,0.0,0.0
PC_IgG__UTRN__UC_vs_HC,0.0,0.0
PC_IgG__UTP3__UC_vs_HC,0.0,0.0
PC_IgG__UQCRQ__UC_vs_HC,0.0,0.0
PC_IgG__UQCC2__UC_vs_HC,0.0,0.0
PC_IgG__UBE2L6__UC_vs_HC,0.0,0.0
PC_IgG__UBE2L6__CD_vs_HC,0.0,0.0
CD4__ANKRD28__CD_vs_HC,0.0,0.0
CD4__ANK1__UC_vs_HC,0.0,0.0
CD4__AMPD2__UC_vs_HC,0.0,0.0
CD4__ALDOC__UC_vs_HC,0.0,0.0
CD4__ALDOC__UC_vs_CD,0.0,0.0
CD4__AL606807.1__UC_vs_HC,0.0,0.0
CD4__AL606807.1__CD_vs_HC,0.0,0.0
CD4__AL441992.1__UC_vs_HC,0.0,0.0
CD4__AL359834.1__UC_vs_HC,0.0,0.0
CD4__AL359834.1__CD_vs_HC,0.0,0.0
CD4__AL355075.4__UC_vs_HC,0.0,0.0
CD4__AL121944.1__UC_vs_HC,0.0,0.0
CD4__AL121944.1__CD_vs_HC,0.0,0.0
CD4__AKIP1__UC_vs_HC,0.0,0.0
CD4__AHR__UC_vs_HC,0.0,0.0
CD4__AHNAK__UC_vs_HC,0.0,0.0
CD4__ATP2B1__UC_vs_HC,0.0,0.0
CD4__ATOX1__UC_vs_HC,0.0,0.0
CD4__ARL4D__UC_vs_HC,0.0,0.0
CD4__ARL4D__CD_vs_HC,0.0,0.0
CD4__ARL4A__UC_vs_HC,0.0,0.0
CD4__ARL4A__CD_vs_HC,0.0,0.0
CD4__ARL3__UC_vs_HC,0.0,0.0
CD4__ARHGEF40__UC_vs_HC,0.0,0.0
CD4__ARHGEF40__CD_vs_HC,0.0,0.0
CD4__AQP8__UC_vs_HC,0.0,0.0
