feature,mean_abs_shap
Colonocytes__DPY30__CD_vs_HC,0.013367161662915225
Colonocytes__CYP3A4__CD_vs_HC,0.013184584875121443
PC_IgA__TLE1__CD_vs_HC,0.013180156131941172
Colonocytes__APOBEC3C__CD_vs_HC,0.011820231140436874
CD4__UBXN10-AS1__UC_vs_HC,0.01132897457176462
Monocyte_(subtipo_indeterminado)__PLA2G12A__UC_vs_HC,0.01046671153950683
Monocyte_(subtipo_indeterminado)__PIM1__UC_vs_HC,0.00915985125917662
Monocyte_(subtipo_indeterminado)__S100A8__CD_vs_HC,0.009063666065217179
Monocyte_(subtipo_indeterminado)__CTTNBP2__UC_vs_HC,0.008697255960939168
PC_IgA__TLE1__UC_vs_HC,0.007576985041554165
Colonocytes__DPY30__UC_vs_HC,0.007498204113562073
Goblet__LGALS4__CD_vs_HC,0.007269533073824623
Monocyte_(subtipo_indeterminado)__VCAN__UC_vs_HC,0.007214163579304839
Epithelium_Ribhi__OLFM4__UC_vs_HC,0.007183822300342254
Monocyte_(subtipo_indeterminado)__FPR1__UC_vs_HC,0.007076356310876892
Epithelium_Ribhi__OTOP2__CD_vs_HC,0.006972307570690299
PC_IgA__EPN2-AS1__CD_vs_HC,0.006688966295297477
Colonocytes__SLC25A37__CD_vs_HC,0.00646030203256777
Monocyte_(subtipo_indeterminado)__PIM1__CD_vs_HC,0.006322855021775539
Colonocytes__SLC25A37__UC_vs_HC,0.0061653938210694224
Monocyte_(subtipo_indeterminado)__VCAN__CD_vs_HC,0.005992258853546558
Goblet__LGALS4__UC_vs_HC,0.005884877943796257
CD8__CTSH__UC_vs_HC,0.0057545744037910546
PC_IgA__ARHGEF38__UC_vs_HC,0.005347803541539083
Goblet__ITGB8__CD_vs_HC,0.005305058848013114
CD4__UBXN10-AS1__CD_vs_HC,0.0052722436332271125
Colonocytes__CCNJL__CD_vs_HC,0.005252506454017143
Colonocytes__DDAH2__CD_vs_HC,0.004893223999324405
Monocyte_(subtipo_indeterminado)__FPR1__CD_vs_HC,0.004776100573263501
Colonocytes__CREB3L3__UC_vs_HC,0.004698253487553997
Colonocytes__DDAH2__UC_vs_HC,0.004404768130104968
Monocyte_(subtipo_indeterminado)__S100A12__UC_vs_HC,0.004391818259524591
Monocyte_(subtipo_indeterminado)__S100A12__CD_vs_HC,0.004215106694975442
PC_IgA__BTBD3__UC_vs_HC,0.004063539550425956
PC_IgA__EPN2-AS1__UC_vs_HC,0.004060125308924486
Monocyte_(subtipo_indeterminado)__S100A8__UC_vs_HC,0.003334339250401048
Colonocytes__APOBEC3C__UC_vs_HC,0.003123160187662803
CD8__CTSH__CD_vs_HC,0.0029631382404970335
CD4__LMNA__UC_vs_HC,0.0029212470034877085
Monocyte_(subtipo_indeterminado)__AQP9__CD_vs_HC,0.0028455625948406644
Colonocytes__CYP3A4__UC_vs_HC,0.002750277782324058
CD4__LMNA__CD_vs_HC,0.0027443841639401352
Monocyte_(subtipo_indeterminado)__CCL20__UC_vs_HC,0.002458743289905161
Monocyte_(subtipo_indeterminado)__CCL20__CD_vs_HC,0.0019792804270318868
Colonocytes__FAU__UC_vs_HC,0.001292701210626477
Colonocytes__CREB3L3__CD_vs_HC,0.0009499374691366038
PC_IgA__KYNU__UC_vs_HC,0.0009229231993833012
Epithelium_Ribhi__OLFM4__CD_vs_HC,0.0007180299894420256
Monocyte_(subtipo_indeterminado)__RHOBTB1__UC_vs_HC,0.0006619736467677021
Monocyte_(subtipo_indeterminado)__AQP9__UC_vs_HC,0.0004401394241862829
